City,Population_2021,Population_2024,EmpPopRatio_2021,EmpPopRatio_2024,LFPR_2021,LFPR_2024,Median_HH_Income_2021,Median_HH_Income_2024,Unemployment_Rate_2021,Unemployment_Rate_2024
"Yuma city, Arizona","97,097","103,561",51.2%,52.2%,61.1%,60.8%,"54,260","71,828",8.3%,7.8%
"Conway city, Arkansas","65,126","70,704",,66.5%,,69.0%,"53,029","65,896",,3.2%
"Fayetteville city, Arkansas","95,231","103,124",65.9%,62.9%,68.4%,64.4%,"61,428","66,237",3.6%,2.0%
"Fort Smith city, Arkansas","89,574","90,517",54.6%,59.4%,59.0%,62.9%,"44,718","60,306",7.3%,5.4%
"Jonesboro city, Arkansas","79,330","82,386",54.6%,56.6%,59.3%,59.9%,"45,497","51,672",7.4%,5.5%
"Little Rock city, Arkansas","201,984","204,793",61.4%,61.4%,64.8%,64.2%,"53,565","66,553",5.1%,4.0%
"Rogers city, Arkansas","71,114","75,648",68.3%,,72.8%,,"67,408","82,834",6.2%,
"Springdale city, Arkansas","87,255","89,641",65.1%,66.6%,66.4%,68.0%,"63,396","72,997",1.9%,1.8%
"Alameda city, California","76,352","78,807",62.2%,64.9%,67.5%,69.4%,"115,468","151,346",6.5%,6.1%
"Alhambra city, California","81,219","80,289",56.3%,66.4%,62.2%,68.4%,"72,222","93,659",9.3%,2.9%
"Anaheim city, California","345,935","344,579",59.9%,64.9%,65.0%,68.4%,"81,747","101,145",7.7%,5.0%
"Antioch city, California","114,801","118,455",57.3%,58.2%,62.9%,65.2%,"81,008","97,998",8.7%,10.2%
"Apple Valley town, California","76,217","75,039",,55.0%,,58.4%,"63,031","82,170",,5.3%
"Arden-Arcade CDP, California","100,613","90,375",62.2%,61.0%,67.9%,67.5%,"62,145","80,277",8.3%,9.4%
"Bakersfield city, California","407,581","417,461",57.1%,58.5%,62.4%,62.5%,"66,666","82,093",8.3%,6.2%
"Baldwin Park city, California","70,634","69,244",56.2%,59.1%,61.1%,61.6%,"69,854","79,496",7.9%,4.1%
"Bellflower city, California","77,407","75,720",59.8%,64.5%,65.2%,68.4%,"67,909","80,800",8.2%,5.6%
"Berkeley city, California","117,147","121,730",56.6%,54.0%,62.5%,56.8%,"101,048","103,727",9.4%,4.3%
"Buena Park city, California","83,017","82,597",62.8%,,68.8%,,"101,346","106,666",8.6%,
"Burbank city, California","105,407","103,543",59.1%,64.1%,65.0%,69.0%,"81,177","85,517",9.2%,7.0%
"Camarillo city, California","70,838","69,868",56.0%,58.6%,60.4%,63.6%,"100,238","112,301",7.0%,6.6%
"Carlsbad city, California","115,291","113,575",56.4%,62.3%,61.5%,65.3%,"124,669","144,444",5.6%,3.9%
"Carmichael CDP, California","81,039","78,540",55.8%,55.0%,60.9%,59.5%,"71,656","88,573",8.4%,7.6%
"Carson city, California","93,526","91,370",54.1%,56.7%,59.8%,62.3%,"92,609","105,234",9.6%,8.9%
"Castro Valley CDP, California","66,408","65,947",,,,,"121,384","145,276",,
"Chico city, California","102,340","102,907",58.5%,61.1%,63.9%,65.8%,"61,850","65,422",8.3%,7.2%
"Chino city, California","92,988","94,006",60.3%,60.6%,65.8%,63.3%,"97,473","97,461",8.3%,4.2%
"Chino Hills city, California","78,675","77,412",60.0%,59.2%,66.5%,62.8%,"113,811","121,839",9.8%,5.2%
"Chula Vista city, California","277,211","278,548",58.9%,58.6%,67.4%,63.9%,"91,949","105,101",9.7%,4.7%
"Citrus Heights city, California","87,411","86,910",58.0%,60.0%,63.3%,64.7%,"66,607","91,036",8.4%,7.2%
"Clovis city, California","122,985","127,994",62.1%,59.1%,67.1%,63.2%,"84,837","92,949",7.1%,5.6%
"Compton city, California","93,584","91,122",56.3%,60.5%,60.3%,67.6%,"62,050","83,125",6.6%,10.6%
"Concord city, California","124,091","124,030",60.9%,62.0%,65.3%,66.0%,"96,961","107,318",6.7%,5.9%
"Corona city, California","159,749","161,540",62.2%,65.3%,66.9%,68.7%,"92,606","103,507",7.0%,4.8%
"Costa Mesa city, California","110,750","109,140",69.5%,72.4%,73.7%,75.5%,"97,904","112,288",5.5%,4.1%
"Daly City city, California","101,221","101,424",61.4%,65.4%,67.4%,67.9%,"95,424","117,911",8.8%,3.4%
"Davis city, California","66,798","67,129",55.5%,53.3%,58.4%,59.8%,"84,074","76,706",4.9%,9.7%
"Downey city, California","111,637","109,365",59.6%,63.6%,63.9%,66.5%,"72,556","92,613",6.8%,4.3%
"Dublin city, California","71,680","70,544",,,,,"205,219","202,216",,
"East Los Angeles CDP, California","115,803","114,544",58.9%,59.4%,63.3%,64.1%,"65,971","67,303",7.1%,7.4%
"Eastvale city, California","71,374","70,739",,63.5%,,66.7%,"136,834","151,850",,4.5%
"El Cajon city, California","105,431","103,287",53.9%,54.3%,63.0%,58.4%,"61,356","77,462",13.5%,6.4%
"Elk Grove city, California","178,988","182,779",60.7%,59.9%,66.3%,63.0%,"109,242","120,958",8.3%,4.7%
"El Monte city, California","106,913","104,621",55.0%,62.0%,60.1%,65.2%,"55,609","70,450",8.4%,5.0%
"Escondido city, California","150,656","148,852",61.2%,62.9%,65.4%,66.8%,"80,749","102,145",5.9%,5.4%
"Fairfield city, California","119,710","122,654",55.3%,56.6%,62.0%,62.7%,"90,346","97,676",7.6%,6.3%
"Folsom city, California","81,212","88,096",54.4%,57.0%,56.9%,60.2%,"125,010","135,855",4.4%,5.4%
"Fontana city, California","210,786","218,453",62.3%,62.8%,68.6%,66.4%,"93,851","108,735",9.0%,5.3%
"Fremont city, California","227,523","228,191",63.8%,66.0%,66.8%,69.2%,"155,968","175,816",4.4%,4.6%
"Fresno city, California","544,500","550,091",56.1%,58.2%,62.1%,64.3%,"61,250","74,491",9.3%,9.2%
"Fullerton city, California","141,875","140,051",59.4%,62.9%,65.7%,65.4%,"95,431","94,261",9.6%,3.9%
"Garden Grove city, California","170,492","172,331",57.6%,60.9%,63.1%,64.2%,"74,109","92,509",8.4%,5.2%
"Glendale city, California","192,376","187,802",56.8%,60.7%,62.3%,65.1%,"79,633","89,055",8.8%,6.8%
"Hawthorne city, California","86,093","83,629",63.4%,63.7%,71.4%,67.1%,"70,122","69,044",11.0%,4.8%
"Hayward city, California","159,839","158,433",60.9%,62.7%,65.9%,66.5%,"96,386","110,406",7.3%,5.6%
"Hemet city, California","90,446","92,908",43.9%,53.4%,49.5%,57.5%,"45,042","62,386",10.7%,7.2%
"Hesperia city, California","100,959","101,844",53.1%,50.6%,59.8%,55.6%,"67,950","72,059",11.1%,8.3%
"Huntington Beach city, California","196,650","193,171",61.2%,62.6%,66.1%,65.1%,"107,808","118,105",7.3%,3.8%
"Indio city, California","90,421","94,283",52.8%,57.0%,56.7%,59.0%,"66,841","76,579",6.8%,3.3%
"Inglewood city, California","105,179","102,765",60.8%,60.3%,68.0%,64.4%,"68,135","69,362",10.6%,6.4%
"Irvine city, California","309,014","318,693",63.0%,62.9%,67.7%,66.5%,"105,774","145,731",6.8%,5.3%
"Jurupa Valley city, California","106,937","108,158",58.8%,61.1%,63.7%,64.4%,"81,052","94,942",7.8%,4.9%
"Lake Elsinore city, California","71,573","73,594",,,,,"76,707","102,034",,
"Lake Forest city, California","85,732","87,164",60.9%,71.0%,65.3%,73.6%,"108,838","140,661",6.3%,3.5%
"Lakewood city, California","80,607","78,488",65.9%,65.3%,70.4%,67.7%,"104,534","116,517",6.2%,3.5%
"Lancaster city, California","170,134","167,426",49.9%,56.2%,55.2%,60.8%,"64,242","87,324",9.1%,7.2%
"Livermore city, California","86,812","84,849",63.8%,,68.7%,,"130,111","169,251",7.0%,
"Lodi city, California","67,020","68,639",56.5%,,61.6%,,"76,874","88,584",8.3%,
"Long Beach city, California","456,063","450,917",61.6%,63.3%,66.7%,66.9%,"73,905","91,318",7.7%,5.3%
"Los Angeles city, California","3,849,306","3,878,718",58.9%,62.7%,66.0%,67.3%,"70,372","82,263",10.7%,6.7%
"Lynwood city, California","65,502","63,587",52.9%,55.6%,58.1%,60.6%,"61,695","76,687",8.9%,8.2%
"Madera city, California","67,956","69,097",51.2%,55.4%,59.2%,63.3%,"49,358","60,368",13.6%,12.5%
"Manteca city, California","85,799","94,283",54.9%,57.5%,58.5%,60.0%,"82,068","111,790",5.7%,3.7%
"Menifee city, California","106,396","117,045",53.8%,57.3%,58.8%,61.8%,"85,175","103,609",8.2%,5.9%
"Merced city, California","89,292","96,082",50.9%,56.3%,59.7%,60.6%,"52,127","70,414",14.7%,7.1%
"Milpitas city, California","79,074","79,748",61.6%,63.5%,66.6%,66.4%,"169,460","181,812",7.1%,4.3%
"Mission Viejo city, California","92,449","91,598",59.3%,56.3%,64.6%,61.1%,"124,971","130,939",8.0%,7.8%
"Modesto city, California","218,782","220,617",57.7%,56.2%,62.6%,61.2%,"70,469","79,211",7.9%,7.7%
"Moreno Valley city, California","211,607","213,893",57.4%,61.2%,62.7%,65.8%,"79,840","92,716",8.2%,6.9%
"Mountain View city, California","81,517","87,322",69.6%,71.7%,72.1%,74.9%,"157,243","213,047",3.2%,4.3%
"Murrieta city, California","112,984","112,531",54.3%,60.7%,61.2%,65.3%,"104,708","116,547",9.7%,5.8%
"Napa city, California","78,824","76,913",61.3%,61.3%,65.8%,64.6%,"92,878","118,732",6.7%,5.0%
"Newport Beach city, California","84,784","82,956",58.8%,,64.0%,,"136,588","132,670",8.2%,
"Norwalk city, California","100,369","98,211",55.4%,63.8%,60.6%,67.2%,"79,850","101,959",8.3%,5.1%
"Oakland city, California","433,797","443,575",61.8%,65.3%,67.1%,69.9%,"82,236","102,235",7.7%,6.2%
"Oceanside city, California","172,990","170,942",56.9%,62.0%,64.7%,66.3%,"78,125","104,809",9.4%,3.6%
"Ontario city, California","177,961","185,289",59.0%,63.4%,63.5%,67.8%,"73,872","94,020",7.0%,5.8%
"Orange city, California","137,287","137,957",62.1%,61.7%,66.3%,65.4%,"103,045","111,059",6.4%,5.3%
"Oxnard city, California","201,898","200,637",62.5%,62.5%,68.0%,66.3%,"88,268","101,184",7.5%,5.0%
"Palmdale city, California","165,795","162,526",55.6%,55.8%,60.7%,62.3%,"73,417","73,517",8.3%,10.4%
"Palo Alto city, California","66,666","67,645",59.8%,61.4%,62.6%,63.7%,"195,781","228,517",4.5%,3.6%
"Pasadena city, California","135,745","137,200",63.8%,63.6%,68.3%,66.9%,"86,677","105,048",6.5%,5.0%
"Perris city, California","79,831","83,040",57.5%,62.7%,64.2%,69.6%,"69,843","92,352",10.4%,9.8%
"Pittsburg city, California","76,551","77,125",60.6%,,68.5%,,"92,800","88,761",11.1%,
"Pleasanton city, California","78,250","75,661",61.1%,,65.5%,,"145,263","176,390",6.3%,
"Pomona city, California","148,339","147,966",57.5%,59.7%,64.1%,63.1%,"70,494","89,319",10.1%,5.3%
"Rancho Cordova city, California","80,423","84,099",59.5%,62.8%,64.5%,66.7%,"84,037","84,623",7.7%,5.8%
"Rancho Cucamonga city, California","175,138","176,677",57.6%,63.0%,61.5%,65.7%,"83,850","115,345",6.3%,4.1%
"Redding city, California","93,466","93,509",55.6%,56.1%,59.4%,59.4%,"58,702","70,992",6.2%,5.4%
"Redlands city, California","73,280","74,287",57.2%,62.3%,61.6%,63.7%,"87,634","110,762",6.9%,2.2%
"Redondo Beach city, California","69,779","68,087",58.9%,,63.9%,,"121,445","152,387",7.7%,
"Redwood City city, California","81,653","82,974",66.2%,69.0%,70.8%,72.1%,"145,128","178,188",6.6%,4.3%
"Rialto city, California","104,380","104,912",57.0%,60.3%,63.2%,64.2%,"69,982","90,295",9.1%,6.1%
"Richmond city, California","115,642","115,356",61.2%,59.3%,67.8%,66.1%,"85,754","106,595",9.5%,10.3%
"Riverside city, California","317,257","323,792",60.9%,60.9%,66.9%,65.2%,"76,558","90,004",8.8%,6.4%
"Rocklin city, California","72,986","75,119",60.3%,,63.8%,,"107,520","125,795",4.7%,
"Roseville city, California","151,902","163,299",63.4%,62.6%,66.7%,65.9%,"107,714","116,323",4.2%,4.9%
"Sacramento city, California","525,028","535,787",58.0%,61.9%,63.0%,66.3%,"75,311","91,387",7.5%,6.2%
"Salinas city, California","162,780","160,779",57.8%,60.3%,60.9%,63.2%,"80,154","87,837",5.0%,4.6%
"San Bernardino city, California","222,194","224,785",55.0%,58.6%,59.3%,61.4%,"65,311","67,753",7.0%,4.5%
"San Buenaventura (Ventura) city, California","109,938","109,815",58.9%,59.0%,63.8%,62.1%,"97,816","102,238",7.7%,4.0%
"San Diego city, California","1,381,600","1,404,461",59.8%,61.8%,68.9%,68.2%,"93,042","111,032",8.2%,5.8%
"San Francisco city, California","815,201","827,526",62.8%,65.9%,68.6%,70.0%,"121,826","139,801",8.4%,5.8%
"San Jose city, California","983,530","997,395",62.9%,63.5%,67.4%,67.3%,"126,377","148,226",6.6%,5.5%
"San Leandro city, California","88,878","86,568",61.1%,64.1%,66.7%,66.4%,"84,017","105,655",8.5%,3.5%
"San Marcos city, California","94,927","96,615",58.0%,65.2%,64.3%,67.8%,"89,239","109,520",9.0%,3.3%
"San Mateo city, California","102,175","103,013",64.3%,64.9%,68.8%,67.0%,"129,957","162,100",6.6%,3.1%
"San Ramon city, California","86,939","85,932",66.2%,65.9%,69.0%,69.9%,"162,388","227,209",4.0%,5.5%
"Santa Ana city, California","309,468","316,188",60.9%,65.2%,65.5%,67.5%,"80,265","95,118",7.0%,3.4%
"Santa Barbara city, California","88,252","87,291",62.3%,60.3%,66.6%,66.2%,"90,711","106,800",6.3%,9.0%
"Santa Clara city, California","127,155","133,151",66.5%,69.2%,70.9%,73.5%,"155,238","180,631",6.2%,5.8%
"Santa Clarita city, California","224,588","229,175",61.9%,64.8%,67.0%,68.1%,"109,336","123,011",7.5%,4.8%
"Santa Maria city, California","109,709","111,347",59.3%,59.0%,65.2%,63.9%,"69,714","74,986",7.3%,7.6%
"Santa Monica city, California","91,103","90,740",64.0%,69.1%,69.4%,73.9%,"94,906","130,928",7.7%,6.5%
"Santa Rosa city, California","176,942","177,531",59.6%,61.5%,64.5%,65.1%,"86,459","99,681",7.4%,5.5%
"Simi Valley city, California","125,967","125,773",63.4%,65.3%,67.8%,68.4%,"101,621","132,408",6.2%,4.5%
"South Gate city, California","91,148","90,809",59.2%,58.4%,64.4%,64.4%,"65,351","76,200",7.8%,9.4%
"Stockton city, California","322,107","324,980",54.3%,56.3%,60.8%,63.0%,"69,844","78,627",10.5%,10.6%
"Sunnyvale city, California","152,258","156,776",65.5%,70.4%,70.2%,73.9%,"156,059","181,022",6.3%,4.7%
"Temecula city, California","110,863","112,438",56.4%,63.8%,64.6%,67.7%,"99,805","120,768",10.8%,4.2%
"Thousand Oaks city, California","125,766","124,243",58.0%,59.6%,61.9%,62.5%,"114,791","138,411",6.2%,4.6%
"Torrance city, California","143,589","139,568",59.8%,59.2%,64.2%,63.4%,"100,392","113,095",6.9%,6.2%
"Tracy city, California","95,384","100,136",56.2%,63.2%,59.9%,67.7%,"102,263","120,776",5.8%,5.8%
"Tulare city, California","70,724","72,604",52.5%,,57.1%,,"63,668","79,192",8.1%,
"Turlock city, California","72,673","72,879",55.0%,57.8%,63.2%,62.3%,"74,032","75,835",12.9%,7.2%
"Tustin city, California","79,428","78,864",65.0%,,71.7%,,"98,092","117,342",9.1%,
"Union City city, California","68,668","66,206",59.9%,60.3%,63.5%,62.9%,"114,700","121,605",5.6%,4.2%
"Upland city, California","79,264","79,685",58.7%,65.5%,63.5%,68.0%,"88,346","105,366",7.4%,3.6%
"Vacaville city, California","103,092","103,992",57.4%,52.9%,62.5%,59.5%,"97,777","112,497",5.3%,5.8%
"Vallejo city, California","124,869","123,481",55.6%,58.3%,61.7%,63.0%,"77,711","80,115",9.9%,7.5%
"Victorville city, California","135,952","140,706",49.1%,50.6%,56.6%,56.3%,"65,478","80,407",13.1%,9.4%
"Visalia city, California","142,976","146,263",55.6%,62.1%,61.1%,67.6%,"64,165","84,781",8.4%,7.8%
"Vista city, California","98,671","99,330",63.1%,67.9%,71.8%,72.2%,"84,262","105,671",9.8%,5.4%
"Walnut Creek city, California","69,705","70,800",57.1%,,59.4%,,"118,483","125,221",3.0%,
"West Covina city, California","107,031","106,923",55.9%,59.8%,61.8%,63.2%,"88,476","101,296",9.5%,5.1%
"Westminster city, California","90,213","89,547",52.3%,55.2%,58.6%,57.8%,"66,862","81,403",10.8%,4.4%
"Whittier city, California","85,306","85,594",58.7%,60.4%,63.1%,62.6%,"84,320","104,425",7.0%,3.6%
"Yorba Linda city, California","67,992","66,487",54.3%,57.2%,59.1%,58.6%,"133,365","151,768",8.0%,2.4%
"Yuba City city, California","69,544","69,150",52.9%,,60.7%,,"61,443","80,072",10.7%,
"Arvada city, Colorado","123,829","122,529",67.3%,67.6%,70.5%,70.2%,"92,647","124,317",4.5%,3.5%
"Aurora city, Colorado","389,675","402,452",66.5%,67.7%,71.1%,72.9%,"71,647","93,837",5.8%,5.8%
"Boulder city, Colorado","104,178","106,802",59.7%,60.9%,63.3%,64.3%,"84,167","85,761",5.5%,5.3%
"Broomfield city, Colorado","75,325","78,323",66.8%,68.6%,69.4%,72.6%,"107,638","125,055",3.7%,5.1%
"Castle Rock town, Colorado","76,366","83,198",70.6%,72.8%,75.0%,74.4%,"125,657","139,427",5.0%,2.1%
"Centennial city, Colorado","106,957","108,860",63.9%,63.5%,68.2%,67.7%,"108,531","135,629",5.3%,6.0%
"Colorado Springs city, Colorado","483,969","493,540",60.7%,61.1%,67.9%,67.7%,"74,579","83,672",6.3%,5.3%
"Denver city, Colorado","711,463","729,019",69.3%,70.4%,74.2%,73.8%,"81,630","92,504",6.2%,4.3%
"Fort Collins city, Colorado","168,535","170,927",68.2%,67.2%,71.4%,70.2%,"73,945","81,199",4.1%,4.2%
"Grand Junction city, Colorado","66,951","70,556",57.7%,58.6%,59.9%,62.7%,"59,201","78,788",3.7%,6.6%
"Greeley city, Colorado","109,340","114,366",60.6%,62.9%,65.2%,66.5%,"64,853","76,462",6.3%,5.1%
"Highlands Ranch CDP, Colorado","98,239","99,056",69.4%,66.4%,72.4%,69.4%,"137,241","152,987",4.0%,4.2%
"Lakewood city, Colorado","156,612","156,865",62.3%,67.8%,66.2%,70.7%,"77,122","90,852",5.9%,4.0%
"Longmont city, Colorado","100,427","100,764",63.8%,68.5%,68.8%,71.5%,"72,911","91,696",6.9%,4.1%
"Loveland city, Colorado","77,185","81,103",53.9%,61.1%,58.2%,64.7%,"66,535","92,376",7.3%,5.5%
"Pueblo city, Colorado","112,358","111,156",50.2%,52.7%,55.2%,54.3%,"49,598","55,194",7.6%,2.9%
"Thornton city, Colorado","142,599","146,689",69.2%,69.6%,74.1%,73.9%,"93,873","101,096",6.6%,5.6%
"Westminster city, Colorado","114,573","115,301",69.3%,70.1%,72.8%,72.0%,"86,688","108,877",4.6%,2.6%
"Bridgeport city, Connecticut","148,345","151,616",61.8%,61.5%,67.5%,67.6%,"46,445","57,394",8.3%,9.1%
"Danbury city, Connecticut","86,749","88,683",66.0%,63.4%,71.3%,66.5%,"79,079","80,243",7.4%,4.2%
"Hartford city, Connecticut","120,593","122,136",53.5%,54.9%,61.3%,62.4%,"42,468","50,418",12.0%,12.0%
"New Britain city, Connecticut","73,835","75,861",61.8%,63.7%,67.8%,67.6%,"51,586","62,152",8.7%,5.7%
"New Haven city, Connecticut","135,076","137,556",55.9%,57.9%,60.8%,65.5%,"50,569","59,705",8.0%,11.5%
"Norwalk city, Connecticut","91,203","93,666",64.0%,68.6%,69.0%,71.6%,"89,047","108,460",7.2%,4.2%
"Stamford city, Connecticut","136,312","139,112",68.6%,70.1%,71.7%,74.5%,"100,543","117,627",4.4%,5.9%
"Waterbury city, Connecticut","113,820","115,902",56.3%,56.1%,63.4%,60.9%,"48,793","47,881",11.3%,6.9%
"Wilmington city, Delaware","70,750","73,173",57.2%,62.3%,62.5%,68.1%,"55,136","65,389",8.4%,8.5%
"Washington city, District of Columbia","670,050","702,250",64.2%,66.6%,70.7%,71.3%,"90,088","109,707",8.2%,5.6%
"Alafaya CDP, Florida","95,779","98,873",,66.1%,,70.3%,"74,796","94,438",,6.0%
"Boca Raton city, Florida","95,785","102,235",56.1%,60.1%,60.6%,62.4%,"85,194","121,629",7.2%,3.5%
"Boynton Beach city, Florida","80,083","83,095",59.7%,58.4%,62.1%,62.7%,"61,293","67,197",3.7%,6.9%
"Brandon CDP, Florida","116,994","127,048",62.5%,65.9%,67.4%,69.1%,"64,357","80,980",5.8%,4.0%
"Cape Coral city, Florida","204,519","233,025",56.3%,57.8%,59.4%,59.9%,"66,425","85,584",5.1%,3.4%
"Clearwater city, Florida","116,667","116,821",53.5%,57.8%,56.4%,59.9%,"56,626","66,357",5.1%,3.5%
"Coral Springs city, Florida","132,822","140,816",66.2%,65.1%,70.2%,68.0%,"81,067","98,926",5.7%,4.0%
"Davie town, Florida","104,873","112,040",63.3%,62.5%,66.7%,65.9%,"73,332","86,560",5.1%,5.2%
"Daytona Beach city, Florida","74,435","86,007",50.7%,49.9%,52.8%,51.8%,"43,864","57,583",3.3%,3.6%
"Deerfield Beach city, Florida","86,355","90,487",58.0%,,63.7%,,"49,865","66,028",8.4%,
"Delray Beach city, Florida","66,579","70,133",,,,,"64,730","78,643",,
"Deltona city, Florida","95,771","100,515",59.0%,61.2%,61.7%,63.7%,"63,727","76,446",4.3%,3.8%
"Doral city, Florida","75,954","83,620",65.8%,72.2%,70.0%,75.1%,"84,956","101,495",3.9%,3.2%
"Fort Lauderdale city, Florida","181,666","190,640",61.5%,61.3%,66.2%,64.1%,"64,912","90,734",6.9%,4.4%
"Fort Myers city, Florida","92,244","99,929",48.1%,56.3%,51.4%,59.1%,"53,583","70,480",6.3%,4.9%
"Gainesville city, Florida","140,406","148,716",56.6%,56.0%,58.9%,59.3%,"40,822","46,165",4.0%,5.3%
"Hialeah city, Florida","220,479","235,384",57.9%,60.3%,60.9%,62.5%,"46,674","57,151",4.9%,3.4%
"Hollywood city, Florida","152,139","159,072",62.2%,60.5%,66.5%,65.1%,"60,490","71,067",6.0%,7.1%
"Homestead city, Florida","80,523","85,806",58.5%,,63.9%,,"52,365","61,452",7.8%,
"Horizon West CDP, Florida","72,283","69,149",,,,,"121,007","112,110",,
"Jacksonville city, Florida","954,624","1,009,831",59.9%,62.5%,64.9%,67.3%,"58,621","72,389",4.7%,5.0%
"Kendall CDP, Florida","81,524","82,704",60.1%,60.9%,63.8%,63.0%,"76,255","90,934",4.4%,3.1%
"Kissimmee city, Florida","79,440","84,767",62.6%,,67.3%,,"42,615","65,503",7.0%,
"Lakeland city, Florida","115,401","124,997",53.4%,56.6%,56.7%,60.0%,"55,029","63,859",5.7%,5.5%
"Largo city, Florida","82,333","82,343",55.7%,54.3%,58.7%,57.3%,"55,228","58,486",5.2%,5.0%
"Lauderhill city, Florida","73,461","76,623",55.9%,62.9%,61.0%,67.5%,"44,975","58,494",8.3%,6.5%
"Lehigh Acres CDP, Florida","126,557","151,444",57.6%,63.7%,60.8%,65.3%,"58,422","70,800",5.3%,2.3%
"Melbourne city, Florida","85,091","87,572",56.5%,56.7%,59.8%,59.4%,"57,132","66,356",5.0%,3.8%
"Miami city, Florida","439,906","487,006",60.4%,64.9%,64.5%,67.8%,"48,789","66,337",5.9%,4.2%
"Miami Beach city, Florida","80,673","83,264",61.3%,68.2%,65.6%,73.2%,"55,512","91,178",6.4%,5.8%
"Miami Gardens city, Florida","110,881","116,155",53.9%,57.6%,59.1%,63.8%,"54,276","63,908",8.9%,9.3%
"Miramar city, Florida","135,066","143,244",71.2%,69.3%,74.6%,72.1%,"79,282","88,280",4.6%,3.8%
"North Port city, Florida","80,027","92,866",,51.2%,,52.9%,"68,583","77,318",,3.2%
"Orlando city, Florida","309,193","334,871",63.7%,72.4%,69.3%,75.2%,"54,167","77,597",7.8%,3.5%
"Palm Bay city, Florida","122,932","142,035",57.2%,55.9%,60.3%,60.9%,"54,746","77,638",5.0%,7.3%
"Palm Coast city, Florida","93,845","106,726",47.4%,49.8%,50.6%,54.1%,"60,648","82,083",5.8%,7.5%
"Pembroke Pines city, Florida","169,388","179,331",61.4%,61.9%,64.4%,65.2%,"76,439","87,537",4.8%,4.4%
"Pine Hills CDP, Florida","85,927","76,047",59.5%,,70.6%,,"42,153","57,278",15.7%,
"Plantation city, Florida","92,981","100,690",63.9%,69.5%,66.5%,71.8%,"72,955","101,843",3.9%,3.1%
"Poinciana CDP, Florida","65,257","81,260",,,,,"57,296","73,556",,
"Pompano Beach city, Florida","111,356","118,110",56.4%,59.9%,62.0%,63.3%,"53,737","72,224",9.0%,5.1%
