City,Pct_30_35_2021,Pct_30_35_2024,Pct_35_40_2021,Pct_35_40_2024,Pct_40_50_2021,Pct_40_50_2024,Pct_50plus_2021,Pct_50plus_2024,Total_Burdened_2021,Total_Burdened_2024,Median gross rent (2021),Median gross rent (2024),Median value (2021),Median value (2024),Total_Units_2021,Total_Units_2024,Occupancy_2021,Occupancy_2024,Vacant_2021,Vacant_2024,Owner_Occupied_2021,Owner_Occupied_2024,Renter_Occupied_2021,Renter_Occupied_2024,Units_Built_2021,Units_Built_2024,UIS_Total_2021,UIS_Total_2024,Detached_1_Unit_2021,Detached_1_Unit_2024,Units_10_19_2021,Units_10_19_2024,Units_20_49_2021,Units_20_49_2024,Units_50plus_2021,Units_50plus_2024,Population_2021,Population_2024,EmpPopRatio_2021,EmpPopRatio_2024,LFPR_2021,LFPR_2024,Median_HH_Income_2021,Median_HH_Income_2024,Unemployment_Rate_2021,Unemployment_Rate_2024
"Fresno city, California","6,689","7,817","6,144","5,105","7,363","8,769","24,188","27,432","88,362","90,608","1,166","1,552","321,300","396,300","188,756","189,450","181,841","181,398","6,915","8,052","91,233","93,036","90,608","88,362","188,756","189,450","188,756","189,450","111,454","116,969","6,883","7,900","6,485","6,536","14,185","9,601",544500.0,550091.0,56.1%,58.2%,62.1%,64.3%,"61,250","74,491",9.3%,9.2%
"Irvine city, California","5,983","4,489","3,215","3,679","5,530","6,836","15,775","16,335","61,124","61,787","2,467","3,091","970,500","1,510,300","122,260","121,814","111,648","115,091","10,612","6,723","49,861","53,967","61,787","61,124","122,260","121,814","122,260","121,814","45,588","47,287","6,273","4,982","6,069","3,199","24,490","29,588",309014.0,318693.0,63.0%,62.9%,67.7%,66.5%,"105,774","145,731",6.8%,5.3%
"Long Beach city, California","10,878","9,871","6,244","6,477","9,900","12,440","29,150","26,864","100,647","103,129","1,634","1,962","693,600","849,500","179,856","181,216","172,599","170,773","7,257","10,443","69,470","70,126","103,129","100,647","179,856","181,216","179,856","181,216","72,311","72,728","19,386","19,589","14,344","10,793","19,129","20,499",456063.0,450917.0,61.6%,63.3%,66.7%,66.9%,"73,905","91,318",7.7%,5.3%
"Los Angeles city, California","75,097","86,883","56,104","67,881","87,032","88,392","291,578","286,484","949,439","889,109","1,703","1,958","812,800","947,900","1,542,391","1,587,311","1,410,594","1,480,869","131,797","106,442","521,485","531,430","889,109","949,439","1,542,391","1,587,311","1,542,391","1,587,311","573,520","565,981","146,180","149,786","201,951","209,285","245,049","276,761",3849306.0,3878718.0,58.9%,62.7%,66.0%,67.3%,"70,372","82,263",10.7%,6.7%
"Oakland city, California","10,398","7,810","5,270","5,037","7,546","9,793","26,544","28,513","105,093","97,705","1,737","2,008","848,600","884,000","186,660","201,061","170,366","186,476","16,294","14,585","72,661","81,383","97,705","105,093","186,660","201,061","186,660","201,061","79,024","82,561","12,848","12,938","18,517","17,845","21,814","28,625",433797.0,443575.0,61.8%,65.3%,67.1%,69.9%,"82,236","102,235",7.7%,6.2%
"Riverside city, California","3,962","5,851","3,006","2,520","4,636","5,016","11,159","13,140","45,724","39,899","1,586","2,060","483,300","616,400","94,246","107,868","91,110","102,894","3,136","4,974","51,211","57,170","39,899","45,724","94,246","107,868","94,246","107,868","59,487","65,327","6,556","5,674","4,288","8,126","6,007","9,447",317257.0,323792.0,60.9%,60.9%,66.9%,65.2%,"76,558","90,004",8.8%,6.4%
"Sacramento city, California","8,506","8,922","8,056","6,179","9,350","8,810","26,268","24,645","97,804","98,099","1,549","1,846","449,600","515,800","210,715","211,869","202,093","198,965","8,622","12,904","103,994","101,161","98,099","97,804","210,715","211,869","210,715","211,869","129,937","124,498","10,426","9,051","7,329","9,170","16,026","18,317",525028.0,535787.0,58.0%,61.9%,63.0%,66.3%,"75,311","91,387",7.5%,6.2%
"San Diego city, California","24,987","29,842","20,503","21,639","22,998","27,076","73,755","75,111","290,395","269,493","1,962","2,414","768,800","980,700","555,456","588,866","521,000","542,590","34,456","46,276","251,507","252,195","269,493","290,395","555,456","588,866","555,456","588,866","240,967","250,408","41,283","37,876","35,186","37,161","81,170","91,975",1381600.0,1404461.0,59.8%,61.8%,68.9%,68.2%,"93,042","111,032",8.2%,5.8%
"San Francisco city, California","15,887","17,373","9,395","12,515","16,380","14,423","42,477","42,935","235,275","209,987","2,167","2,448","1,306,400","1,314,700","412,269","420,054","350,796","371,841","61,473","48,213","140,809","136,566","209,987","235,275","412,269","420,054","412,269","420,054","78,770","73,949","38,452","37,498","46,616","40,815","76,941","85,907",815201.0,827526.0,62.8%,65.9%,68.6%,70.0%,"121,826","139,801",8.4%,5.8%
"San Jose city, California","15,425","12,388","11,169","10,479","12,623","13,224","29,575","33,842","147,542","143,084","2,328","2,674","1,119,500","1,271,200","340,561","345,884","322,881","331,653","17,680","14,231","179,797","184,111","143,084","147,542","340,561","345,884","340,561","345,884","173,419","179,228","15,454","15,068","15,339","13,410","48,386","50,083",983530.0,997395.0,62.9%,63.5%,67.4%,67.3%,"126,377","148,226",6.6%,5.5%
"Santa Ana city, California","4,580","3,501","2,896","3,483","3,772","5,287","12,404","10,986","48,042","43,357","1,760","2,184","623,000","772,600","80,604","87,405","78,674","84,625","1,930","2,780","35,317","36,583","43,357","48,042","80,604","87,405","80,604","87,405","37,386","37,747","7,126","6,246","5,115","4,467","8,887","11,499",309468.0,316188.0,60.9%,65.2%,65.5%,67.5%,"80,265","95,118",7.0%,3.4%
"Stockton city, California","4,446","3,152","2,681","2,546","4,325","5,511","12,500","12,743","45,582","44,366","1,342","1,635","382,900","456,800","102,642","104,027","97,447","98,473","5,195","5,554","53,081","52,891","44,366","45,582","102,642","104,027","102,642","104,027","69,805","66,678","4,443","3,186","3,342","2,161","4,673","10,732",322107.0,324980.0,54.3%,56.3%,60.8%,63.0%,"69,844","78,627",10.5%,10.6%
"Aurora city, Colorado","4,584","4,390","4,533","4,578","5,532","7,212","16,765","15,381","59,143","50,388","1,486","1,932","411,400","494,600","149,636","160,276","140,003","153,310","9,633","6,966","89,615","94,167","50,388","59,143","149,636","160,276","149,636","160,276","78,676","82,602","16,484","15,958","8,303","8,798","8,567","10,910",389675.0,402452.0,66.5%,67.7%,71.1%,72.9%,"71,647","93,837",5.8%,5.8%
"Colorado Springs city, Colorado","8,740","9,209","4,499","6,000","7,380","13,095","17,667","19,153","89,885","74,144","1,380","1,699","390,500","479,500","205,380","218,794","197,542","209,874","7,838","8,920","123,398","119,989","74,144","89,885","205,380","218,794","205,380","218,794","127,851","129,519","13,684","14,844","12,587","14,458","8,130","13,636",483969.0,493540.0,60.7%,61.1%,67.9%,67.7%,"74,579","83,672",6.3%,5.3%
"Denver city, Colorado","14,910","18,058","11,720","10,591","13,355","18,004","34,041","40,197","181,698","162,205","1,549","1,870","541,500","636,400","351,829","372,123","326,634","349,785","25,195","22,338","164,429","168,087","162,205","181,698","351,829","372,123","351,829","372,123","150,994","148,082","24,665","33,822","36,731","31,831","77,551","90,173",711463.0,729019.0,69.3%,70.4%,74.2%,73.8%,"81,630","92,504",6.2%,4.3%
"Washington city, District of Columbia","16,123","16,392","11,779","12,897","14,864","12,843","41,482","46,467","194,851","186,629","1,668","1,931","669,900","733,400","357,482","368,700","319,565","329,687","37,917","39,013","132,936","134,836","186,629","194,851","357,482","368,700","357,482","368,700","39,867","39,380","30,257","29,764","27,183","30,516","120,090","132,243",670050.0,702250.0,64.2%,66.6%,70.7%,71.3%,"90,088","109,707",8.2%,5.6%
"Jacksonville city, Florida","16,092","20,679","9,555","10,991","15,347","19,769","45,275","46,260","173,411","159,854","1,194","1,568","239,400","325,300","422,315","449,941","386,283","413,620","36,032","36,321","226,429","240,209","159,854","173,411","422,315","449,941","422,315","449,941","250,660","264,174","33,553","34,964","20,752","20,515","22,419","40,432",954624.0,1009831.0,59.9%,62.5%,64.9%,67.3%,"58,621","72,389",4.7%,5.0%
"Miami city, Florida","13,871","12,356","10,888","10,547","14,294","13,353","43,290","49,787","136,551","133,756","1,446","1,975","411,300","598,200","219,775","229,852","192,219","202,757","27,556","27,095","58,463","66,206","133,756","136,551","219,775","229,852","219,775","229,852","49,627","49,360","15,183","15,735","18,249","19,758","86,184","99,923",439906.0,487006.0,60.4%,64.9%,64.5%,67.8%,"48,789","66,337",5.9%,4.2%
"Orlando city, Florida","8,424","8,347","5,676","4,965","8,703","10,202","22,311","24,157","86,348","80,989","1,415","1,841","319,800","430,200","149,940","151,487","130,037","137,393","19,903","14,094","49,048","51,045","80,989","86,348","149,940","151,487","149,940","151,487","46,591","48,699","21,621","21,694","18,713","15,174","18,137","22,615",309193.0,334871.0,63.7%,72.4%,69.3%,75.2%,"54,167","77,597",7.8%,3.5%
"Port St. Lucie city, Florida","1,201","2,203","1,050",555,"1,471","2,876","3,792","3,301","16,661","12,700","1,564","2,133","284,800","420,600","84,820","99,750","77,190","94,324","7,630","5,426","64,490","77,663","12,700","16,661","84,820","99,750","84,820","99,750","74,502","86,291","1,499","3,148","1,122",963,799,511,217535.0,258578.0,56.0%,55.8%,60.3%,59.2%,"71,381","86,241",6.8%,5.2%
"St. Petersburg city, Florida","4,456","4,680","3,254","5,380","4,425","6,864","9,957","11,215","46,903","41,200","1,330","1,805","315,200","436,200","137,046","141,689","111,349","123,734","25,697","17,955","70,149","76,831","41,200","46,903","137,046","141,689","137,046","141,689","76,385","76,612","10,375","11,805","9,538","8,036","15,399","18,816",258214.0,267073.0,61.1%,63.0%,64.7%,65.6%,"64,141","73,048",5.3%,3.5%
"Tampa city, Florida","8,427","8,746","3,567","6,399","6,457","11,195","21,025","22,943","87,990","75,265","1,327","1,898","336,200","494,400","172,886","194,129","159,925","176,004","12,961","18,125","84,660","88,014","75,265","87,990","172,886","194,129","172,886","194,129","93,959","96,696","9,530","14,039","9,591","10,969","26,045","32,030",387037.0,414575.0,62.0%,65.2%,66.2%,69.0%,"63,404","84,114",5.3%,4.8%
"Atlanta city, Georgia","9,155","12,792","7,132","7,234","9,780","10,109","32,275","33,040","127,924","119,628","1,446","1,765","375,500","462,200","253,355","284,949","232,720","244,482","20,635","40,467","113,092","116,558","119,628","127,924","253,355","284,949","253,355","284,949","94,921","97,091","14,481","19,793","17,131","15,383","77,809","103,713",496480.0,520066.0,62.7%,66.6%,66.4%,70.4%,"74,107","88,165",5.2%,5.1%
"Urban Honolulu CDP, Hawaii","7,179","5,670","3,869","4,030","6,421","7,333","18,313","17,663","71,039","69,940","1,659","1,815","733,000","850,100","157,427","160,881","138,398","136,908","19,029","23,973","68,458","65,869","69,940","71,039","157,427","160,881","157,427","160,881","41,307","42,239","9,737","10,865","17,943","18,309","59,850","62,746",345532.0,344977.0,55.0%,60.4%,62.8%,65.7%,"73,434","86,169",8.0%,2.9%
"Chicago city, Illinois","49,354","59,168","32,518","38,796","44,081","46,806","156,141","148,681","626,859","608,560","1,240","1,486","297,300","341,200","1,272,191","1,282,248","1,139,537","1,172,455","132,654","109,793","530,977","545,596","608,560","626,859","1,272,191","1,282,248","1,272,191","1,282,248","335,412","326,271","58,048","63,927","82,410","88,314","261,506","276,794",2696561.0,2721326.0,60.4%,64.1%,67.2%,69.2%,"66,576","80,613",10.1%,7.3%
"Fort Wayne city, Indiana","5,341","3,152","2,090","2,560","3,115","4,043","8,305","9,066","41,677","41,636",856,"1,051","155,600","219,900","117,245","120,521","109,640","112,191","7,605","8,330","68,004","70,514","41,636","41,677","117,245","120,521","117,245","120,521","81,136","81,242","6,622","4,992","3,287","4,354","4,281","6,242",263814.0,273425.0,60.9%,64.5%,64.9%,67.1%,"54,737","61,436",6.0%,4.0%
"Indianapolis city (balance), Indiana","14,010","12,477","12,183","9,141","12,476","15,131","34,118","39,649","162,321","157,001",963,"1,219","188,700","241,500","399,820","405,450","358,150","370,768","41,670","34,682","201,149","208,447","157,001","162,321","399,820","405,450","399,820","405,450","235,716","241,910","25,013","23,156","12,592","15,616","20,047","25,682",882327.0,890315.0,63.6%,66.5%,67.8%,69.6%,"58,479","66,900",6.0%,4.4%
"Wichita city, Kansas","4,262","6,886","3,081","3,499","5,351","3,925","14,248","12,975","64,252","65,141",844,989,"165,700","212,900","176,357","178,820","156,668","162,078","19,689","16,742","91,527","97,826","65,141","64,252","176,357","178,820","176,357","178,820","114,882","115,072","9,428","10,178","7,537","7,560","8,130","8,508",395707.0,400993.0,60.7%,62.6%,65.9%,67.0%,"56,293","65,855",7.2%,5.7%
"Lexington-Fayette urban county, Kentucky","5,352","6,552","2,975","2,630","5,476","4,737","15,725","16,966","66,787","64,174",968,"1,281","242,400","318,400","147,590","151,485","139,303","143,160","8,287","8,325","75,129","76,373","64,174","66,787","147,590","151,485","147,590","151,485","86,669","89,564","12,328","11,604","6,277","6,894","8,222","8,478",321793.0,329437.0,63.8%,66.8%,67.5%,69.9%,"60,942","69,989",5.4%,4.4%
"Louisville/Jefferson County metro government (balance), Kentucky","9,319","7,578","5,875","9,373","9,204","6,646","22,566","25,413","106,866","102,627",948,"1,144","203,900","241,700","288,859","295,381","264,336","269,328","24,523","26,053","161,709","162,462","102,627","106,866","288,859","295,381","288,859","295,381","190,354","181,953","13,700","21,564","8,802","13,560","13,115","17,589",628577.0,640793.0,60.8%,60.7%,64.4%,65.3%,"57,182","67,251",5.3%,6.7%
"New Orleans city, Louisiana","4,794","6,412","5,198","4,435","7,320","7,514","25,279","22,419","74,293","75,311","1,082","1,310","279,100","305,100","194,701","196,906","158,827","157,535","35,874","39,371","83,516","83,242","75,311","74,293","194,701","196,906","194,701","196,906","93,519","93,626","7,367","9,876","7,560","7,250","15,860","17,081",376971.0,362701.0,53.6%,57.5%,59.9%,61.6%,"46,942","58,821",9.4%,6.0%
"Baltimore city, Maryland","12,620","14,394","7,718","7,672","11,249","14,374","37,110","33,441","137,374","131,121","1,167","1,345","193,100","247,400","293,487","297,571","254,370","265,998","39,117","31,573","123,249","128,624","131,121","137,374","293,487","297,571","293,487","297,571","48,023","45,426","14,038","12,310","8,114","7,759","33,486","39,692",576498.0,568271.0,57.2%,61.8%,62.3%,66.4%,"54,652","64,778",7.9%,6.8%
"Boston city, Massachusetts","17,544","23,461","12,557","12,834","13,981","16,254","43,140","41,790","189,050","177,444","1,808","2,196","659,700","722,800","307,025","318,010","271,941","294,977","35,084","23,033","94,497","105,927","177,444","189,050","307,025","318,010","307,025","318,010","36,969","36,490","22,082","25,269","24,650","27,222","58,477","66,158",654281.0,673822.0,63.6%,65.7%,69.3%,69.2%,"79,283","97,791",8.0%,4.8%
"Detroit city, Michigan","11,029","8,438","8,648","9,547","9,234","10,010","37,389","44,015","131,427","122,645",925,"1,091","69,300","95,900","322,906","343,649","251,729","268,048","71,177","75,601","129,084","136,621","122,645","131,427","322,906","343,649","322,906","343,649","212,961","219,621","8,825","15,144","12,594","15,230","30,484","31,032",632589.0,645702.0,45.3%,48.8%,54.9%,54.6%,"36,140","39,209",17.4%,10.5%
"Minneapolis city, Minnesota","9,883","8,651","5,655","7,783","8,592","7,206","21,594","22,751","104,117","94,700","1,225","1,340","319,100","368,300","203,633","216,155","188,681","194,480","14,952","21,675","93,981","90,363","94,700","104,117","203,633","216,155","203,633","216,155","85,170","85,943","12,636","15,014","19,951","21,668","47,350","57,955",425338.0,428572.0,67.4%,68.4%,73.8%,72.4%,"69,397","77,732",8.4%,5.5%
"St. Paul city, Minnesota","5,559","6,823","2,561","3,734","4,399","4,934","11,436","14,699","64,586","54,322","1,115","1,247","267,700","301,800","131,275","135,910","121,964","128,572","9,311","7,338","67,642","63,986","54,322","64,586","131,275","135,910","131,275","135,910","65,601","61,674","7,918","11,328","9,904","11,655","22,542","25,267",307176.0,307484.0,65.5%,65.8%,70.0%,69.1%,"66,098","70,182",6.3%,4.7%
"Kansas City city, Missouri","9,959","10,132","4,567","5,644","8,565","7,621","22,000","25,009","94,284","100,636","1,071","1,292","213,400","261,600","243,950","246,544","219,020","222,248","24,930","24,296","118,384","127,964","100,636","94,284","243,950","246,544","243,950","246,544","148,138","152,524","15,242","13,181","14,220","12,120","22,693","24,793",508415.0,516045.0,65.3%,67.0%,70.1%,69.2%,"63,396","69,958",6.2%,2.7%
"St. Louis city, Missouri","4,878","6,639","4,470","6,470","5,041","5,457","17,732","20,675","80,327","76,083",843,"1,044","170,800","214,500","173,493","174,694","139,736","148,637","33,757","26,057","63,653","68,310","76,083","80,327","173,493","174,694","173,493","174,694","74,991","76,390","3,883","6,673","6,610","7,555","23,485","25,427",293310.0,279695.0,60.3%,63.6%,64.7%,67.2%,"49,965","53,374",6.3%,5.0%
"Lincoln city, Nebraska","3,508","4,937","3,255","4,558","4,926","5,198","11,572","11,711","54,096","50,404",904,"1,122","228,000","278,200","126,262","133,537","120,407","127,640","5,855","5,897","70,003","73,544","50,404","54,096","126,262","133,537","126,262","133,537","73,562","75,486","9,298","10,824","9,571","10,294","8,056","11,420",292648.0,300626.0,69.0%,67.2%,71.1%,69.8%,"62,294","72,008",2.8%,3.4%
"Omaha city, Nebraska","7,196","10,240","5,603","4,852","6,766","8,542","21,346","18,873","87,463","84,065",992,"1,229","211,900","269,500","212,802","214,685","201,469","202,635","11,333","12,050","117,404","115,172","84,065","87,463","212,802","214,685","212,802","214,685","134,400","131,517","17,636","18,262","11,377","14,252","17,246","22,713",487299.0,489263.0,65.8%,65.6%,69.1%,69.1%,"62,948","71,640",4.1%,4.7%
"Enterprise CDP, Nevada","2,098","2,651","2,295","2,063","2,710","2,967","9,126","7,750","32,970","30,963","1,640","2,090","401,900","500,800","88,599","96,620","83,983","90,603","4,616","6,017","53,020","57,633","30,963","32,970","88,599","96,620","88,599","96,620","66,129","70,676","2,124","1,316",944,"2,428","7,076","9,277",245286.0,250461.0,64.5%,68.0%,71.9%,71.9%,"84,902","111,128",9.8%,4.6%
"Henderson city, Nevada","3,342","4,950","3,060","3,274","5,382","3,994","9,819","13,255","46,283","43,908","1,501","1,863","421,300","520,400","132,088","149,552","124,470","141,762","7,618","7,790","80,562","95,479","43,908","46,283","132,088","149,552","132,088","149,552","90,317","100,272","6,758","7,346","2,521","2,282","6,593","7,433",322202.0,350020.0,57.3%,59.8%,63.1%,64.2%,"77,924","95,415",8.5%,6.4%
"Las Vegas city, Nevada","9,319","9,330","8,657","10,182","10,571","13,570","32,490","32,384","109,942","111,673","1,249","1,688","362,400","458,300","269,602","276,629","250,350","253,523","19,252","23,106","138,677","143,581","111,673","109,942","269,602","276,629","269,602","276,629","165,785","171,297","12,850","14,584","7,529","9,945","18,222","20,096",646776.0,678924.0,54.6%,59.8%,62.0%,64.9%,"59,746","78,556",10.9%,6.6%
"North Las Vegas city, Nevada","4,284","2,834","2,084","2,935","3,684","2,640","9,621","10,268","33,851","34,523","1,410","1,902","335,200","418,300","91,034","99,283","85,966","94,459","5,068","4,824","51,443","60,608","34,523","33,851","91,034","99,283","91,034","99,283","69,127","75,311","2,740","2,131","2,097","1,378","3,262","3,523",274146.0,294042.0,55.9%,60.8%,64.0%,67.7%,"67,035","78,969",11.2%,8.2%
"Reno city, Nevada","5,623","5,226","4,278","5,146","5,389","6,516","12,702","12,509","60,874","56,835","1,276","1,654","469,100","567,700","116,918","131,752","110,993","120,293","5,925","11,459","54,158","59,419","56,835","60,874","116,918","131,752","116,918","131,752","60,244","65,055","10,755","8,530","6,678","6,421","9,484","18,517",268843.0,281684.0,62.3%,67.2%,65.6%,70.5%,"67,478","85,605",4.7%,4.5%
"Jersey City city, New Jersey","5,901","9,309","4,609","4,230","6,637","8,006","21,144","18,130","94,317","84,800","1,739","2,182","487,400","571,700","131,609","139,835","119,158","129,336","12,451","10,499","34,358","35,019","84,800","94,317","131,609","139,835","131,609","139,835","9,949","9,364","7,650","9,861","13,698","11,639","38,693","44,899",283943.0,302822.0,61.5%,68.3%,67.3%,71.4%,"81,958","100,751",8.6%,4.4%
"Newark city, New Jersey","9,481","7,897","6,659","5,005","8,297","8,124","26,346","20,488","82,638","91,143","1,215","1,475","323,200","396,600","122,145","118,991","115,145","108,018","7,000","10,973","24,002","25,380","91,143","82,638","122,145","118,991","122,145","118,991","13,047","15,498","7,286","9,507","7,923","9,977","19,238","17,005",307216.0,317303.0,50.4%,56.9%,59.5%,64.5%,"43,242","58,490",15.3%,11.8%
"Albuquerque city, New Mexico","8,474","7,107","6,335","6,564","7,659","6,332","23,837","23,373","91,341","95,618",946,"1,227","251,500","324,600","256,814","261,899","243,582","243,739","13,232","18,160","147,964","152,398","95,618","91,341","256,814","261,899","256,814","261,899","157,573","162,207","12,186","12,686","12,451","12,240","16,304","17,669",562591.0,560333.0,59.6%,59.9%,64.0%,63.2%,"58,512","71,494",6.1%,4.7%
"Buffalo city, New York","5,462","4,748","5,370","3,536","6,080","3,386","20,397","18,925","63,875","68,461",877,"1,142","155,200","187,000","137,222","136,533","122,569","119,620","14,653","16,913","54,108","55,745","68,461","63,875","137,222","136,533","137,222","136,533","54,098","49,990","3,530","3,343","4,670","6,058","8,410","9,451",276804.0,276618.0,53.6%,57.6%,59.7%,62.1%,"40,669","52,211",10.2%,7.2%
"New York city, New York","191,875","189,126","136,148","124,482","171,024","178,136","623,792","622,867","2,275,300","2,177,959","1,602","1,811","685,700","778,600","3,641,931","3,737,632","3,263,895","3,379,651","378,036","357,981","1,085,936","1,104,351","2,177,959","2,275,300","3,641,931","3,737,632","3,641,931","3,737,632","350,360","326,708","234,613","248,273","573,237","607,555","1,213,187","1,233,995",8467513.0,8478072.0,55.1%,59.3%,62.5%,63.7%,"67,997","81,228",11.8%,6.9%
"Charlotte city, North Carolina","16,696","15,697","11,822","11,290","17,490","18,912","34,366","46,459","188,835","171,339","1,301","1,720","321,400","431,900","393,631","415,975","365,269","381,274","28,362","34,701","193,930","192,439","171,339","188,835","393,631","415,975","393,631","415,975","207,293","206,709","37,582","43,115","24,213","26,275","40,615","57,140",879697.0,943474.0,68.3%,70.8%,72.2%,74.1%,"70,869","86,416",5.0%,4.3%
"Durham city, North Carolina","7,006","6,903","2,410","5,768","4,186","6,586","14,473","14,803","62,536","59,862","1,182","1,670","325,000","439,400","131,917","146,201","122,412","133,270","9,505","12,931","62,550","70,734","59,862","62,536","131,917","146,201","131,917","146,201","66,133","72,632","14,592","16,334","5,910","8,671","10,619","12,118",285439.0,301877.0,63.5%,67.2%,67.2%,69.4%,"71,343","82,916",5.2%,3.1%
"Greensboro city, North Carolina","6,611","5,940","4,211","6,123","4,072","7,781","13,462","16,142","65,079","54,121","1,003","1,314","186,200","290,200","139,565","139,194","123,955","129,645","15,610","9,549","69,834","64,566","54,121","65,079","139,565","139,194","139,565","139,194","77,333","72,822","12,005","11,586","9,745","9,632","5,977","5,616",298250.0,307372.0,60.3%,61.8%,64.4%,64.4%,"51,825","63,516",6.4%,4.0%
