Geographic Area Name,Median gross rent (2021),Median gross rent (2024),Median value (2021),Median value (2024)
"Carmichael CDP, California","1,410","1,802","495,600","597,200"
"Carson city, California","1,573","1,963","595,900","768,200"
"Castro Valley CDP, California","2,211","2,440","1,004,800","1,141,100"
"Chico city, California","1,300","1,475","420,100","467,900"
"Chino city, California","2,015","2,354","589,200","708,000"
"Chino Hills city, California","2,439","2,961","787,400","890,200"
"Chula Vista city, California","1,894","2,338","655,100","839,000"
"Citrus Heights city, California","1,539","1,940","406,500","471,800"
"Clovis city, California","1,410","1,795","418,000","503,700"
"Compton city, California","1,331","1,729","537,700","610,400"
"Concord city, California","1,992","2,300","719,000","788,800"
"Corona city, California","1,810","2,307","620,600","746,500"
"Costa Mesa city, California","2,025","2,477","930,500","1,166,800"
"Daly City city, California","2,245","2,618","1,052,800","1,111,300"
"Davis city, California","1,908","2,248","752,300","901,500"
"Downey city, California","1,707","2,017","686,000","844,000"
"Dublin city, California","2,852","3,092","1,114,800","1,371,300"
"East Los Angeles CDP, California","1,317","1,577","592,100","649,500"
"Eastvale city, California","2,638","3,369","686,100","884,800"
"El Cajon city, California","1,574","2,013","591,600","772,200"
"Elk Grove city, California","2,051","2,352","569,900","648,700"
"El Monte city, California","1,462","1,787","566,600","668,200"
"Escondido city, California","1,830","2,230","620,200","777,600"
"Fairfield city, California","1,963","2,294","552,300","638,700"
"Folsom city, California","2,003","2,363","671,000","770,500"
"Fontana city, California","1,576","2,185","511,000","615,800"
"Fremont city, California","2,545","2,914","1,175,600","1,478,200"
"Fresno city, California","1,166","1,552","321,300","396,300"
"Fullerton city, California","1,876","2,215","790,900","924,900"
"Garden Grove city, California","1,809","2,184","663,900","870,000"
"Glendale city, California","1,900","2,221","995,700","1,182,800"
"Hawthorne city, California","1,530","1,853","738,000","855,700"
"Hayward city, California","2,109","2,333","735,000","884,700"
"Hemet city, California","1,381","1,683","266,700","410,300"
"Hesperia city, California","1,543","1,724","344,000","438,700"
"Huntington Beach city, California","2,175","2,507","937,200","1,163,800"
"Indio city, California","1,255","1,596","381,300","514,700"
"Inglewood city, California","1,488","1,856","684,500","798,300"
"Irvine city, California","2,467","3,091","970,500","1,510,300"
"Jurupa Valley city, California","1,369","1,921","447,500","626,600"
"Lake Elsinore city, California","1,894","2,193","473,600","603,100"
"Lake Forest city, California","2,280","2,791","804,400","1,087,500"
"Lakewood city, California","1,875","2,263","704,700","847,800"
"Lancaster city, California","1,524","1,931","377,200","473,800"
"Livermore city, California","2,340","2,722","942,300","1,157,100"
"Lodi city, California","1,391","1,755","427,900","517,600"
"Long Beach city, California","1,634","1,962","693,600","849,500"
"Los Angeles city, California","1,703","1,958","812,800","947,900"
"Lynwood city, California","1,440","1,664","543,800","646,200"
"Madera city, California","1,100","1,440","290,700","394,200"
"Manteca city, California","1,718","2,127","505,500","617,300"
"Menifee city, California","1,825","2,100","442,700","586,100"
"Merced city, California","1,154","1,628","325,000","369,300"
"Milpitas city, California","2,745","2,968","1,146,600","1,456,200"
"Mission Viejo city, California","2,273","3,193","859,500","1,110,600"
"Modesto city, California","1,419","1,822","389,500","467,600"
"Moreno Valley city, California","1,788","2,206","422,500","581,500"
"Mountain View city, California","2,760","3,325","1,636,100","1,947,100"
"Murrieta city, California","2,144","2,448","573,700","677,600"
"Napa city, California","1,851","2,752","718,700","866,700"
"Newport Beach city, California","2,815","3,208",,
"Norwalk city, California","1,694","2,239","585,200","679,500"
"Oakland city, California","1,737","2,008","848,600","884,000"
"Oceanside city, California","1,934","2,370","631,300","820,800"
"Ontario city, California","1,685","2,250","545,200","654,200"
"Orange city, California","2,038","2,411","827,200","1,069,700"
"Oxnard city, California","1,823","2,111","569,700","698,000"
"Palmdale city, California","1,658","1,869","399,000","508,300"
"Palo Alto city, California","3,063","3,326",,
"Pasadena city, California","1,940","2,191","905,900","1,209,600"
"Perris city, California","1,536","1,845","415,400","535,600"
"Pittsburg city, California","1,909","2,330","563,700","595,700"
"Pleasanton city, California","2,430","3,197","1,230,600","1,534,600"
"Pomona city, California","1,598","1,967","525,300","636,700"
"Rancho Cordova city, California","1,413","1,923","438,800","529,400"
"Rancho Cucamonga city, California","2,047","2,370","632,700","766,300"
"Redding city, California","1,156","1,471","346,900","395,100"
"Redlands city, California","1,656","2,115","542,500","613,600"
"Redondo Beach city, California","2,305","2,632","1,110,800","1,302,800"
"Redwood City city, California","2,950","2,982","1,567,400","1,875,600"
"Rialto city, California","1,526","1,895","431,500","543,300"
"Richmond city, California","1,737","2,134","641,500","663,900"
"Riverside city, California","1,586","2,060","483,300","616,400"
"Rocklin city, California","2,050","2,314","622,100","693,100"
"Roseville city, California","1,809","2,146","605,300","668,600"
"Sacramento city, California","1,549","1,846","449,600","515,800"
"Salinas city, California","1,702","1,972","585,100","687,700"
"San Bernardino city, California","1,341","1,621","350,000","461,400"
"San Buenaventura (Ventura) city, California","1,911","2,251","702,500","873,100"
"San Diego city, California","1,962","2,414","768,800","980,700"
"San Francisco city, California","2,167","2,448","1,306,400","1,314,700"
"San Jose city, California","2,328","2,674","1,119,500","1,271,200"
"San Leandro city, California","1,746","2,114","775,000","851,400"
"San Marcos city, California","1,820","2,616","710,500","969,000"
"San Mateo city, California","2,475","2,838","1,518,800","1,639,400"
"San Ramon city, California","2,848","3,041","1,233,100","1,758,600"
"Santa Ana city, California","1,760","2,184","623,000","772,600"
"Santa Barbara city, California","2,167","2,313","1,476,800","1,732,200"
"Santa Clara city, California","2,600","2,900","1,382,300","1,648,300"
"Santa Clarita city, California","2,198","2,596","656,000","813,900"
"Santa Maria city, California","1,682","2,010","426,100","580,000"
"Santa Monica city, California","2,157","2,450","1,582,300",
"Santa Rosa city, California","1,936","2,133","638,500","710,700"
"Simi Valley city, California","2,360","2,652","685,500","868,900"
"South Gate city, California","1,269","1,602","559,900","675,300"
"Stockton city, California","1,342","1,635","382,900","456,800"
"Sunnyvale city, California","2,618","2,889","1,575,200","1,719,600"
"Temecula city, California","1,937","2,575","613,300","737,700"
"Thousand Oaks city, California","2,283","2,793","858,200","1,063,500"
"Torrance city, California","1,918","2,263","930,500","1,105,900"
"Tracy city, California","2,126","2,498","643,700","739,900"
"Tulare city, California","1,107","1,633","280,200","366,200"
"Turlock city, California","1,345","1,652","401,900","469,300"
"Tustin city, California","2,126","2,604","727,000","1,104,700"
"Union City city, California","2,409","2,522","995,200","1,173,400"
"Upland city, California","1,750","1,959","621,700","802,100"
"Vacaville city, California","2,225","2,381","566,300","637,500"
"Vallejo city, California","1,667","2,104","505,400","597,100"
"Victorville city, California","1,337","1,798","323,400","428,700"
"Visalia city, California","1,210","1,628","315,100","407,800"
"Vista city, California","1,896","2,305","634,600","837,800"
"Walnut Creek city, California","2,372","2,509","1,004,800","1,037,600"
"West Covina city, California","2,040","2,296","636,300","841,100"
"Westminster city, California","1,798","2,159","762,300","892,400"
"Whittier city, California","1,647","2,047","718,300","862,000"
"Yorba Linda city, California","1,951","2,568","1,012,900","1,241,100"
"Yuba City city, California","1,249","1,532","355,200","450,600"
"Arvada city, Colorado","1,592","1,901","537,900","659,100"
"Aurora city, Colorado","1,486","1,932","411,400","494,600"
"Boulder city, Colorado","1,892","2,068","941,100","1,115,300"
"Broomfield city, Colorado","1,931","2,141","576,200","686,200"
"Castle Rock town, Colorado","1,863","2,010","577,700","695,900"
"Centennial city, Colorado","1,926","2,213","578,200","681,900"
"Colorado Springs city, Colorado","1,380","1,699","390,500","479,500"
"Denver city, Colorado","1,549","1,870","541,500","636,400"
"Fort Collins city, Colorado","1,435","1,720","485,500","612,600"
"Grand Junction city, Colorado",931,"1,208","339,800","420,700"
"Greeley city, Colorado","1,141","1,441","347,100","428,700"
"Highlands Ranch CDP, Colorado","2,143","2,833","629,200","739,500"
"Lakewood city, Colorado","1,488","1,853","483,300","592,200"
"Longmont city, Colorado","1,471","1,834","465,500","601,700"
"Loveland city, Colorado","1,487","1,755","412,300","509,000"
"Pueblo city, Colorado",872,"1,117","214,500","257,900"
"Thornton city, Colorado","1,700","2,075","449,200","548,600"
"Westminster city, Colorado","1,641","2,044","457,500","580,600"
"Bridgeport city, Connecticut","1,209","1,563","222,800","312,200"
"Danbury city, Connecticut","1,641","1,865","352,700","440,200"
"Hartford city, Connecticut","1,107","1,283","174,100","247,100"
"New Britain city, Connecticut","1,073","1,364","183,300","268,200"
"New Haven city, Connecticut","1,273","1,574","205,500","348,900"
"Norwalk city, Connecticut","1,825","2,031","478,100","602,900"
"Stamford city, Connecticut","2,045","2,442","576,000","671,000"
"Waterbury city, Connecticut","1,040","1,305","184,300","248,500"
"Wilmington city, Delaware","1,010","1,325","200,900","245,100"
"Washington city, District of Columbia","1,668","1,931","669,900","733,400"
"Alafaya CDP, Florida","1,565","2,113","346,300","476,700"
"Boca Raton city, Florida","1,941","2,690","518,200","853,200"
"Boynton Beach city, Florida","1,604","2,322","284,200","372,800"
"Brandon CDP, Florida","1,409","1,832","276,300","373,900"
"Cape Coral city, Florida","1,482","1,998","291,600","401,800"
"Clearwater city, Florida","1,189","1,752","298,000","415,600"
"Coral Springs city, Florida","1,649","2,248","455,000","602,700"
"Davie town, Florida","1,568","2,176","421,300","538,100"
"Daytona Beach city, Florida","1,068","1,533","218,600","331,500"
"Deerfield Beach city, Florida","1,372","2,084","233,400","399,000"
"Delray Beach city, Florida","1,576","2,196","368,900","471,800"
"Deltona city, Florida","1,355","2,019","229,700","330,800"
"Doral city, Florida","2,175","2,781","462,200","633,300"
"Fort Lauderdale city, Florida","1,519","1,953","395,500","579,300"
"Fort Myers city, Florida","1,156","1,765","334,800","416,200"
"Gainesville city, Florida","1,103","1,366","195,300","270,800"
"Hialeah city, Florida","1,368","1,913","324,000","446,800"
"Hollywood city, Florida","1,325","1,886","322,400","475,200"
"Homestead city, Florida","1,401","1,764","275,200","409,600"
"Horizon West CDP, Florida","2,089","2,753","478,100","600,600"
"Jacksonville city, Florida","1,194","1,568","239,400","325,300"
"Kendall CDP, Florida","1,697","2,155","423,700","655,700"
"Kissimmee city, Florida","1,361","1,673","258,900","355,600"
"Lakeland city, Florida","1,124","1,447","186,700","274,800"
"Largo city, Florida","1,214","1,722","201,700","271,300"
"Lauderhill city, Florida","1,316","1,892","251,700","323,200"
"Lehigh Acres CDP, Florida","1,279","1,937","235,300","332,800"
"Melbourne city, Florida","1,167","1,669","234,400","348,700"
"Miami city, Florida","1,446","1,975","411,300","598,200"
"Miami Beach city, Florida","1,522","2,148","581,200","598,200"
"Miami Gardens city, Florida","1,456","2,022","320,600","433,200"
"Miramar city, Florida","1,580","2,360","374,600","520,400"
"North Port city, Florida","1,291","2,020","277,100","387,100"
"Orlando city, Florida","1,415","1,841","319,800","430,200"
"Palm Bay city, Florida","1,304","1,735","228,400","334,400"
"Palm Coast city, Florida","1,403","1,831","274,000","379,800"
"Pembroke Pines city, Florida","1,581","2,373","368,400","517,000"
"Pine Hills CDP, Florida","1,266","1,595","205,900","293,800"
"Plantation city, Florida","1,763","2,479","409,400","608,900"
"Poinciana CDP, Florida","1,480","2,021","233,400","320,100"
"Pompano Beach city, Florida","1,406","2,059","304,000","361,400"
"Port Charlotte CDP, Florida","1,176","1,859","234,400","289,000"
"Port St. Lucie city, Florida","1,564","2,133","284,800","420,600"
"Riverview CDP, Florida","1,727","2,071","291,900","427,100"
"St. Petersburg city, Florida","1,330","1,805","315,200","436,200"
"Spring Hill CDP, Florida","1,174","1,665","230,900","329,700"
"Sunrise city, Florida","1,690","2,224","311,500","394,400"
"Tallahassee city, Florida","1,147","1,369","246,100","294,500"
"Tamarac city, Florida","1,518","2,137","264,200","329,500"
"Tampa city, Florida","1,327","1,898","336,200","494,400"
"The Villages CDP, Florida","1,173",,"339,700","410,900"
"Town 'n' Country CDP, Florida","1,374","1,827","275,200","392,200"
"Wesley Chapel CDP, Florida","1,847","2,070","335,000","454,400"
"Weston city, Florida","2,274","3,013","568,600","850,600"
"West Palm Beach city, Florida","1,490","1,897","311,000","480,700"
"Albany city, Georgia",801,964,"100,800","136,600"
"Alpharetta city, Georgia","1,685","2,161","538,400","737,000"
"Athens-Clarke County unified government (balance), Georgia","1,047","1,249","237,100","347,100"
"Atlanta city, Georgia","1,446","1,765","375,500","462,200"
"Augusta-Richmond County consolidated government (balance), Georgia",942,"1,328","131,900","203,100"
"Columbus city, Georgia",923,"1,177","170,900","219,700"
"Johns Creek city, Georgia","1,751","2,431","506,100","679,200"
"Macon-Bibb County, Georgia",896,"1,132","155,800","207,100"
"Roswell city, Georgia","1,510","1,853","480,800","677,700"
"Sandy Springs city, Georgia","1,503","1,921","588,300","732,100"
"Savannah city, Georgia","1,143","1,519","196,900","302,200"
"South Fulton city, Georgia","1,391","1,828","252,500","342,300"
"Warner Robins city, Georgia",999,"1,306","147,900","226,000"
"Urban Honolulu CDP, Hawaii","1,659","1,815","733,000","850,100"
"Boise City city, Idaho","1,210","1,535","460,200","498,500"
"Idaho Falls city, Idaho",853,"1,237","311,100","356,600"
"Meridian city, Idaho","1,424","1,873","448,100","557,400"
"Nampa city, Idaho","1,138","1,497","350,800","382,700"
"Arlington Heights village, Illinois","1,452","1,813","376,800","441,400"
"Aurora city, Illinois","1,332","1,632","232,400","289,100"
"Bloomington city, Illinois",896,"1,081","185,400","225,300"
"Bolingbrook village, Illinois","1,484","1,760","263,000","334,000"
"Champaign city, Illinois","1,001","1,190","176,700","253,300"
"Chicago city, Illinois","1,240","1,486","297,300","341,200"
"Cicero town, Illinois","1,021","1,278","220,100","261,000"
"Decatur city, Illinois",718,892,"87,000","115,600"
"Elgin city, Illinois","1,148","1,597","233,200","318,400"
"Evanston city, Illinois","1,627","1,737","440,100","489,700"
"Joliet city, Illinois","1,104","1,278","227,500","280,500"
"Naperville city, Illinois","1,654","1,913","456,400","579,200"
"Palatine village, Illinois","1,374","1,673","319,400","349,600"
"Peoria city, Illinois",813,"1,105","124,500","177,900"
"Rockford city, Illinois",853,985,"101,700","153,500"
"Schaumburg village, Illinois","1,625","1,870","278,100","349,900"
"Skokie village, Illinois","1,419","1,570","363,500","420,600"
"Springfield city, Illinois",858,"1,071","140,100","189,800"
"Waukegan city, Illinois",976,"1,322","166,500","219,700"
"Bloomington city, Indiana",966,"1,196","249,900","372,000"
"Carmel city, Indiana","1,401","1,782","391,300","561,200"
"Evansville city, Indiana",853,"1,010","111,800","159,800"
"Fishers city, Indiana","1,429","1,712","333,300","420,300"
"Fort Wayne city, Indiana",856,"1,051","155,600","219,900"
"Hammond city, Indiana",959,"1,232","131,700","173,300"
"Indianapolis city (balance), Indiana",963,"1,219","188,700","241,500"
"Lafayette city, Indiana",882,"1,132","152,400","202,800"
"Noblesville city, Indiana","1,244","1,475","266,300","373,700"
"South Bend city, Indiana",871,"1,113","114,100","159,400"
"Ames city, Iowa",902,956,"237,200","298,500"
"Ankeny city, Iowa","1,109","1,398","283,900","343,700"
"Cedar Rapids city, Iowa",880,"1,005","165,500","206,500"
"Davenport city, Iowa",811,"1,041","146,000","179,800"
"Des Moines city, Iowa",916,"1,107","165,100","213,300"
"Iowa City city, Iowa",967,"1,106","255,000","304,100"
"Sioux City city, Iowa",830,992,"153,800","186,100"
"Waterloo city, Iowa",801,"1,005","133,700","160,200"
"West Des Moines city, Iowa",981,"1,325","267,500","320,200"
"Kansas City city, Kansas",976,"1,232","140,200","192,800"
"Lawrence city, Kansas",869,"1,106","229,400","315,100"
"Olathe city, Kansas","1,170","1,295","314,300","396,400"
"Overland Park city, Kansas","1,249","1,591","352,000","452,800"
"Shawnee city, Kansas","1,068","1,449","312,800","402,900"
"Topeka city, Kansas",842,"1,018","123,400","163,300"
"Wichita city, Kansas",844,989,"165,700","212,900"
"Bowling Green city, Kentucky",826,"1,092","233,500","248,300"
"Lexington-Fayette urban county, Kentucky",968,"1,281","242,400","318,400"
"Louisville/Jefferson County metro government (balance), Kentucky",948,"1,144","203,900","241,700"
"Baton Rouge city, Louisiana",943,"1,081","199,600","251,100"
"Kenner city, Louisiana","1,092","1,212","214,300","241,600"
"Lafayette city, Louisiana",906,"1,042","214,800","263,600"
"Lake Charles city, Louisiana",981,"1,026","178,800","203,000"
"Metairie CDP, Louisiana","1,048","1,186","283,200","329,800"
"New Orleans city, Louisiana","1,082","1,310","279,100","305,100"
"Shreveport city, Louisiana",868,964,"161,500","182,100"
"Portland city, Maine","1,305","1,711","443,000","555,100"
"Baltimore city, Maryland","1,167","1,345","193,100","247,400"
"Bethesda CDP, Maryland","2,222","2,364","1,023,800","1,247,600"
"Columbia CDP, Maryland","1,750","2,139","448,300","539,200"
"Ellicott City CDP, Maryland","1,757","1,996","593,400","658,300"
"Frederick city, Maryland","1,552","1,837","339,200","453,600"
"Gaithersburg city, Maryland","1,792","2,002","418,000","530,500"
"Germantown CDP, Maryland","1,768","2,188","373,500","448,200"
"Glen Burnie CDP, Maryland","1,436","1,657","316,600","365,300"
"Rockville city, Maryland","2,014","2,291","605,600","708,400"
"Silver Spring CDP, Maryland","1,662","1,914","545,500","668,500"
"Waldorf CDP, Maryland","1,721","1,723","354,000","432,000"
"Boston city, Massachusetts","1,808","2,196","659,700","722,800"
"Brockton city, Massachusetts","1,401","1,700","367,500","459,400"
"Cambridge city, Massachusetts","2,317","2,746","1,006,100","1,149,800"
"Fall River city, Massachusetts",954,"1,273","347,600","417,700"
"Framingham city, Massachusetts","1,655","2,112","575,400","637,700"
"Haverhill city, Massachusetts","1,426","1,822","420,900","521,100"
"Lawrence city, Massachusetts","1,391","1,737","377,500","517,200"
"Lowell city, Massachusetts","1,480","1,614","380,400","468,700"
"Lynn city, Massachusetts","1,475","1,789","423,800","560,700"
"Malden city, Massachusetts","1,812","2,314","586,200","616,200"
"New Bedford city, Massachusetts",969,"1,225","305,600","395,400"
"Newton city, Massachusetts","2,210","2,324","1,147,300","1,303,100"
"Quincy city, Massachusetts","1,779","2,162","563,500","641,500"
"Somerville city, Massachusetts","2,190","2,575","818,100","894,300"
"Springfield city, Massachusetts",966,"1,080","198,200","278,300"
"Worcester city, Massachusetts","1,253","1,614","317,800","411,700"
"Ann Arbor city, Michigan","1,375","1,723","398,600","479,800"
"Dearborn city, Michigan","1,113","1,384","180,900","234,100"
"Detroit city, Michigan",925,"1,091","69,300","95,900"
"Farmington Hills city, Michigan","1,264","1,554","301,600","374,100"
"Flint city, Michigan",794,964,"49,300","63,000"
"Grand Rapids city, Michigan","1,063","1,362","206,200","286,500"
"Kalamazoo city, Michigan",833,"1,107","157,600","196,100"
"Lansing city, Michigan",863,"1,003","109,900","142,800"
"Livonia city, Michigan","1,133","1,324","251,500","292,700"
"Novi city, Michigan","1,472","1,696","358,400","474,900"
"Rochester Hills city, Michigan","1,434","1,710","354,000","443,600"
"Southfield city, Michigan","1,174","1,388","208,000","248,800"
"Sterling Heights city, Michigan","1,110","1,443","237,300","287,600"
"Troy city, Michigan","1,426","1,615","375,600","439,200"
"Warren city, Michigan","1,064","1,258","170,000","207,300"
"Westland city, Michigan",957,"1,202","164,700","198,100"
"Wyoming city, Michigan","1,021","1,255","192,400","240,000"
"Blaine city, Minnesota","1,459","1,479","297,300","356,100"
"Bloomington city, Minnesota","1,304","1,560","319,600","377,600"
"Brooklyn Park city, Minnesota","1,192","1,279","297,500","338,500"
"Duluth city, Minnesota",948,"1,077","211,300","268,700"
"Eagan city, Minnesota","1,445","1,689","345,500","426,200"
"Lakeville city, Minnesota","1,695","1,896","398,700","474,400"
"Maple Grove city, Minnesota","1,767","1,822","373,100","420,700"
"Minneapolis city, Minnesota","1,225","1,340","319,100","368,300"
"Plymouth city, Minnesota","1,459","1,907","439,100","517,000"
"Rochester city, Minnesota","1,167","1,500","273,800","326,100"
"St. Cloud city, Minnesota",851,"1,000","181,700","245,200"
"St. Paul city, Minnesota","1,115","1,247","267,700","301,800"
"Woodbury city, Minnesota","1,741","2,121","407,000","455,300"
"Gulfport city, Mississippi",873,"1,131","141,700","185,200"
"Jackson city, Mississippi",930,"1,101","101,500","110,200"
"Columbia city, Missouri",955,"1,161","245,800","311,700"
"Independence city, Missouri",890,"1,177","154,700","200,900"
"Kansas City city, Missouri","1,071","1,292","213,400","261,600"
"Lee's Summit city, Missouri","1,284","1,464","303,700","357,500"
"O'Fallon city, Missouri","1,200","1,528","281,700","348,200"
"St. Charles city, Missouri","1,019","1,380","269,200","302,800"
"St. Joseph city, Missouri",781,890,"132,600","173,800"
"St. Louis city, Missouri",843,"1,044","170,800","214,500"
"Springfield city, Missouri",790,"1,007","154,600","207,900"
"Billings city, Montana",928,"1,182","290,000","360,900"
"Missoula city, Montana","1,058","1,331","406,800","562,000"
"Lincoln city, Nebraska",904,"1,122","228,000","278,200"
"Omaha city, Nebraska",992,"1,229","211,900","269,500"
"Enterprise CDP, Nevada","1,640","2,090","401,900","500,800"
"Henderson city, Nevada","1,501","1,863","421,300","520,400"
"Las Vegas city, Nevada","1,249","1,688","362,400","458,300"
"North Las Vegas city, Nevada","1,410","1,902","335,200","418,300"
"Paradise CDP, Nevada","1,116","1,419","334,500","388,100"
"Reno city, Nevada","1,276","1,654","469,100","567,700"
"Sparks city, Nevada","1,482","1,781","423,400","515,500"
"Spring Valley CDP, Nevada","1,444","1,814","382,400","440,200"
"Sunrise Manor CDP, Nevada","1,130","1,579","262,500","331,500"
"Manchester city, New Hampshire","1,277","1,705","321,300","413,800"
"Nashua city, New Hampshire","1,555","1,772","355,000","460,400"
"Bayonne city, New Jersey","1,389","1,799","404,100","491,200"
"Camden city, New Jersey","1,060","1,284","106,000","159,800"
"Clifton city, New Jersey","1,553","1,774","427,100","483,800"
"East Orange city, New Jersey","1,286","1,446","283,800","372,600"
"Elizabeth city, New Jersey","1,253","1,632","405,800","518,100"
"Jersey City city, New Jersey","1,739","2,182","487,400","571,700"
"Lakewood CDP, New Jersey","1,739","1,763","481,300","851,300"
"Newark city, New Jersey","1,215","1,475","323,200","396,600"
"Passaic city, New Jersey","1,256","1,586","350,800","433,500"
"Paterson city, New Jersey","1,302","1,650","311,700","387,400"
"Toms River CDP, New Jersey","1,405","1,855","378,300","447,500"
"Trenton city, New Jersey",964,"1,390","95,400","232,100"
"Union City city, New Jersey","1,410","1,593","400,700","488,300"
"Albuquerque city, New Mexico",946,"1,227","251,500","324,600"
"Las Cruces city, New Mexico",787,"1,121","182,000","260,400"
"Rio Rancho city, New Mexico","1,223","1,479","247,200","354,000"
"Santa Fe city, New Mexico","1,245","1,693","349,900","467,100"
"Albany city, New York","1,086","1,317","206,800","258,000"
"Buffalo city, New York",877,"1,142","155,200","187,000"
"Cheektowaga CDP, New York",863,"1,113","162,500","219,500"
"Mount Vernon city, New York","1,534","1,735","439,100","513,300"
"New Rochelle city, New York","1,811","1,972","615,300","762,000"
"New York city, New York","1,602","1,811","685,700","778,600"
"Rochester city, New York",910,"1,090","109,700","164,300"
"Schenectady city, New York",944,"1,212","156,800","222,100"
"Syracuse city, New York",874,"1,081","123,000","158,100"
"Yonkers city, New York","1,511","1,789","424,100","521,700"
"Asheville city, North Carolina","1,150","1,611","363,800","500,400"
"Cary town, North Carolina","1,426","1,820","463,200","649,600"
"Charlotte city, North Carolina","1,301","1,720","321,400","431,900"
"Concord city, North Carolina","1,152","1,596","298,600","373,400"
"Durham city, North Carolina","1,182","1,670","325,000","439,400"
"Fayetteville city, North Carolina","1,065","1,372","150,200","211,300"
"Gastonia city, North Carolina","1,027","1,362","231,300","317,500"
"Greensboro city, North Carolina","1,003","1,314","186,200","290,200"
"Greenville city, North Carolina",844,"1,000","198,800","273,100"
"High Point city, North Carolina",939,"1,199","180,300","260,900"
"Jacksonville city, North Carolina","1,064","1,398","175,800","225,100"
"Raleigh city, North Carolina","1,256","1,661","340,200","450,300"
"Wilmington city, North Carolina","1,142","1,541","334,900","428,900"
"Winston-Salem city, North Carolina",877,"1,271","197,300","281,200"
"Bismarck city, North Dakota",834,928,"254,800","315,900"
"Fargo city, North Dakota",784,976,"238,600","292,900"
"Akron city, Ohio",791,968,"106,300","142,200"
"Canton city, Ohio",759,844,"88,300","101,200"
"Cincinnati city, Ohio",841,"1,115","190,300","263,300"
"Cleveland city, Ohio",799,961,"83,400","109,600"
"Columbus city, Ohio","1,098","1,383","219,200","279,900"
"Dayton city, Ohio",792,"1,042","85,000","117,500"
"Lorain city, Ohio",783,"1,004","113,700","152,500"
"Parma city, Ohio",891,"1,090","148,000","193,500"
"Toledo city, Ohio",769,908,"100,100","122,600"
"Broken Arrow city, Oklahoma","1,100","1,367","211,600","278,700"
"Edmond city, Oklahoma","1,233","1,276","283,800","376,800"
"Lawton city, Oklahoma",791,999,"129,400","148,700"
"Norman city, Oklahoma",893,"1,090","228,600","276,800"
"Oklahoma City city, Oklahoma",936,"1,178","190,900","259,300"
"Tulsa city, Oklahoma",881,"1,099","172,000","234,400"
"Beaverton city, Oregon","1,541","1,934","490,600","586,900"
