"Region","Total:","MoE"
"Boston-Cambridge-Newton, MA-NH Metro Area","2,128,447","± 8,594"
"Boulder, CO Metro Area","125,854","± 2,298"
"Bowling Green, KY Metro Area","80,021","± 1,413"
"Bozeman, MT Metro Area","58,683","± 1,390"
"Bremerton-Silverdale-Port Orchard, WA Metro Area","114,452","± 1,506"
"Bridgeport-Stamford-Danbury, CT Metro Area","393,411","± 4,435"
"Brownsville-Harlingen, TX Metro Area","156,697","± 2,343"
"Brunswick-St. Simons, GA Metro Area","43,933","± 1,513"
"Buffalo-Cheektowaga, NY Metro Area","492,094","± 3,881"
"Burlington, NC Metro Area","74,662","± 1,305"
"Burlington-South Burlington, VT Metro Area","102,707","± 1,653"
"Canton-Massillon, OH Metro Area","169,068","± 2,094"
"Cape Coral-Fort Myers, FL Metro Area","289,927","± 3,490"
"Cape Girardeau, MO-IL Metro Area","43,846","± 1,034"
"Carson City, NV Metro Area","24,368","± 576"
"Casper, WY Metro Area","36,088","± 970"
"Cedar Rapids, IA Metro Area","122,241","± 1,683"
"Chambersburg, PA Metro Area","67,117","± 1,413"
"Champaign-Urbana, IL Metro Area","98,707","± 1,609"
"Charleston, WV Metro Area","78,594","± 1,523"
"Charleston-North Charleston, SC Metro Area","357,454","± 3,752"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","1,100,588","± 6,496"
"Charlottesville, VA Metro Area","88,804","± 1,537"
"Chattanooga, TN-GA Metro Area","235,894","± 2,940"
"Cheyenne, WY Metro Area","46,328","± 1,002"
"Chicago-Naperville-Elgin, IL-IN Metro Area","3,904,219","± 13,248"
"Chico, CA Metro Area","80,569","± 1,671"
"Cincinnati, OH-KY-IN Metro Area","963,317","± 5,858"
"Clarksville, TN-KY Metro Area","139,067","± 1,995"
"Cleveland, OH Metro Area","909,175","± 4,842"
"Cleveland, TN Metro Area","52,838","± 1,430"
"Coeur d'Alene, ID Metro Area","70,407","± 1,664"
"College Station-Bryan, TX Metro Area","117,130","± 1,771"
"Colorado Springs, CO Metro Area","326,737","± 3,189"
"Columbia, MO Metro Area","98,198","± 1,610"
"Columbia, SC Metro Area","361,113","± 3,621"
"Columbus, GA-AL Metro Area","127,948","± 2,095"
"Columbus, IN Metro Area","36,116","± 981"
"Columbus, OH Metro Area","905,233","± 5,758"
"Corpus Christi, TX Metro Area","187,354","± 2,325"
"Corvallis, OR Metro Area","38,333","± 1,201"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","126,723","± 2,096"
"Dallas-Fort Worth-Arlington, TX Metro Area","3,308,528","± 11,972"
"Dalton, GA Metro Area","62,891","± 1,375"
"Daphne-Fairhope-Foley, AL Metro Area","97,455","± 1,981"
"Davenport-Moline-Rock Island, IA-IL Metro Area","165,741","± 1,703"
"Dayton-Kettering-Beavercreek, OH Metro Area","343,019","± 3,251"
"Decatur, AL Metro Area","64,797","± 1,496"
"Decatur, IL Metro Area","39,866","± 1,054"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","256,029","± 3,094"
"Denver-Aurora-Centennial, CO Metro Area","1,284,586","± 6,697"
"Des Moines-West Des Moines, IA Metro Area","321,985","± 3,353"
"Detroit-Warren-Dearborn, MI Metro Area","1,739,893","± 7,750"
"Dothan, AL Metro Area","61,656","± 927"
"Dover, DE Metro Area","78,137","± 1,563"
"Dubuque, IA Metro Area","45,229","± 931"
"Duluth, MN-WI Metro Area","121,643","± 1,156"
"Durham-Chapel Hill, NC Metro Area","235,599","± 3,479"
"Eagle Pass, TX Metro Area","21,022","± 870"
"Eau Claire, WI Metro Area","79,635","± 1,161"
"El Centro, CA Metro Area","56,248","± 1,608"
"Elizabethtown, KY Metro Area","52,671","± 1,153"
"Elkhart-Goshen, IN Metro Area","91,769","± 1,657"
"Elmira, NY Metro Area","33,060","± 790"
"El Paso, TX Metro Area","352,631","± 3,980"
"Enid, OK Metro Area","27,622","± 605"
"Erie, PA Metro Area","110,869","± 1,544"
"Eugene-Springfield, OR Metro Area","154,044","± 2,424"
"Evansville, IN Metro Area","122,733","± 1,888"
"Fairbanks-College, AK Metro Area","44,932","± 2,236"
"Fargo, ND-MN Metro Area","129,572","± 1,610"
"Farmington, NM Metro Area","42,534","± 1,217"
"Fayetteville, NC Metro Area","165,912","± 1,494"
"Fayetteville-Springdale-Rogers, AR Metro Area","241,230","± 3,148"
"Flagstaff, AZ Metro Area","59,204","± 1,313"
"Flint, MI Metro Area","154,581","± 2,589"
"Florence, SC Metro Area","79,405","± 1,615"
"Florence-Muscle Shoals, AL Metro Area","63,786","± 1,475"
"Fond du Lac, WI Metro Area","48,121","± 1,014"
"Fort Collins-Loveland, CO Metro Area","156,131","± 2,321"
"Fort Smith, AR-OK Metro Area","91,134","± 1,483"
"Fort Wayne, IN Metro Area","200,688","± 1,696"
"Fresno, CA Metro Area","427,578","± 3,741"
"Gadsden, AL Metro Area","40,923","± 1,278"
"Gainesville, FL Metro Area","139,291","± 2,722"
"Gainesville, GA Metro Area","88,049","± 1,576"
"Gettysburg, PA Metro Area","46,396","± 1,037"
"Glens Falls, NY Metro Area","54,478","± 1,045"
"Goldsboro, NC Metro Area","50,401","± 1,449"
"Grand Forks, ND-MN Metro Area","51,708","± 841"
"Grand Island, NE Metro Area","36,238","± 763"
"Grand Junction, CO Metro Area","63,657","± 1,461"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","513,070","± 3,867"
"Grants Pass, OR Metro Area","29,070","± 1,063"
"Great Falls, MT Metro Area","37,826","± 799"
"Greeley, CO Metro Area","149,018","± 1,932"
"Green Bay, WI Metro Area","151,905","± 1,689"
"Greensboro-High Point, NC Metro Area","328,818","± 4,075"
"Greenville, NC Metro Area","71,671","± 1,695"
"Greenville-Anderson-Greer, SC Metro Area","397,873","± 3,851"
"Guayama, PR Metro Area","17,630","± 1,024"
"Gulfport-Biloxi, MS Metro Area","171,175","± 2,340"
"Hagerstown-Martinsburg, MD-WV Metro Area","126,656","± 1,883"
"Hammond, LA Metro Area","53,624","± 1,591"
"Hanford-Corcoran, CA Metro Area","54,658","± 1,391"
"Harrisburg-Carlisle, PA Metro Area","249,188","± 2,751"
"Harrisonburg, VA Metro Area","59,930","± 1,069"
"Hartford-West Hartford-East Hartford, CT Metro Area","489,826","± 4,125"
"Hattiesburg, MS Metro Area","67,424","± 1,402"
"Helena, MT Metro Area","39,275","± 1,084"
"Hickory-Lenoir-Morganton, NC Metro Area","155,147","± 2,339"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","88,751","± 1,903"
"Hinesville, GA Metro Area","35,374","± 925"
"Homosassa Springs, FL Metro Area","44,027","± 1,682"
"Hot Springs, AR Metro Area","38,892","± 1,192"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","83,163","± 1,808"
"Houston-Pasadena-The Woodlands, TX Metro Area","3,016,015","± 12,046"
"Huntington-Ashland, WV-KY-OH Metro Area","142,064","± 2,013"
"Huntsville, AL Metro Area","213,725","± 2,670"
"Idaho Falls, ID Metro Area","66,238","± 1,259"
"Indianapolis-Carmel-Greenwood, IN Metro Area","906,504","± 5,400"
"Iowa City, IA Metro Area","83,789","± 1,500"
"Ithaca, NY Metro Area","39,188","± 1,138"
"Jackson, MI Metro Area","62,421","± 1,376"
"Jackson, MS Metro Area","251,647","± 2,838"
"Jackson, TN Metro Area","72,764","± 1,289"
"Jacksonville, FL Metro Area","665,800","± 5,451"
"Jacksonville, NC Metro Area","96,028","± 1,670"
"Janesville-Beloit, WI Metro Area","73,933","± 1,039"
"Jefferson City, MO Metro Area","65,263","± 1,141"
"Johnson City, TN Metro Area","84,410","± 1,736"
"Johnstown, PA Metro Area","50,788","± 834"
"Jonesboro, AR Metro Area","56,148","± 1,346"
"Joplin, MO-KS Metro Area","85,462","± 1,383"
"Kahului-Wailuku, HI Metro Area","71,563","± 1,420"
"Kalamazoo-Portage, MI Metro Area","115,103","± 1,694"
"Kankakee, IL Metro Area","45,334","± 979"
"Kansas City, MO-KS Metro Area","945,297","± 4,790"
"Kennewick-Richland, WA Metro Area","122,458","± 1,983"
"Kenosha, WI Metro Area","77,299","± 1,246"
"Killeen-Temple, TX Metro Area","197,443","± 2,474"
"Kingsport-Bristol, TN-VA Metro Area","117,638","± 1,650"
"Kingston, NY Metro Area","70,490","± 1,609"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","288,377","± 3,505"
"Knoxville, TN Metro Area","381,188","± 3,327"
"Kokomo, IN Metro Area","33,884","± 1,036"
"La Crosse-Onalaska, WI-MN Metro Area","77,263","± 1,149"
"Lafayette, LA Metro Area","171,035","± 2,785"
"Lafayette-West Lafayette, IN Metro Area","98,117","± 1,914"
"Lake Charles, LA Metro Area","100,675","± 2,138"
"Lake Havasu City-Kingman, AZ Metro Area","68,621","± 1,592"
"Lakeland-Winter Haven, FL Metro Area","293,107","± 2,751"
"Lancaster, PA Metro Area","246,599","± 2,279"
"Lansing-East Lansing, MI Metro Area","196,059","± 2,569"
"Laredo, TX Metro Area","106,097","± 1,766"
"Las Cruces, NM Metro Area","84,656","± 1,895"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","944,092","± 5,672"
"Lawrence, KS Metro Area","56,148","± 1,310"
"Lawton, OK Metro Area","50,125","± 939"
"Lebanon, PA Metro Area","61,360","± 1,218"
"Lewiston, ID-WA Metro Area","26,648","± 829"
"Lewiston-Auburn, ME Metro Area","48,226","± 1,013"
"Lexington-Fayette, KY Metro Area","229,693","± 2,755"
"Lexington Park, MD Metro Area","89,965","± 1,397"
"Lima, OH Metro Area","43,083","± 968"
"Lincoln, NE Metro Area","163,579","± 1,828"
"Little Rock-North Little Rock-Conway, AR Metro Area","318,699","± 3,480"
"Logan, UT-ID Metro Area","64,908","± 1,092"
"Longview, TX Metro Area","118,443","± 1,646"
"Longview-Kelso, WA Metro Area","42,180","± 1,154"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","5,293,768","± 15,408"
"Louisville/Jefferson County, KY-IN Metro Area","587,373","± 4,113"
"Lubbock, TX Metro Area","158,707","± 2,370"
"Lynchburg, VA Metro Area","108,257","± 1,806"
"Macon-Bibb County, GA Metro Area","89,599","± 2,016"
"Madison, WI Metro Area","314,266","± 2,972"
"Manchester-Nashua, NH Metro Area","196,849","± 2,358"
"Manhattan, KS Metro Area","64,472","± 1,266"
"Mankato, MN Metro Area","49,805","± 918"
"Mansfield, OH Metro Area","50,644","± 1,356"
"Mayagüez, PR Metro Area","59,050","± 1,828"
"McAllen-Edinburg-Mission, TX Metro Area","307,771","± 3,680"
"Medford, OR Metro Area","84,912","± 1,754"
"Memphis, TN-MS-AR Metro Area","560,005","± 4,750"
"Merced, CA Metro Area","100,491","± 1,732"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","2,605,715","± 9,904"
"Michigan City-La Porte, IN Metro Area","45,501","± 995"
"Midland, MI Metro Area","33,380","± 914"
"Midland, TX Metro Area","82,272","± 1,587"
"Milwaukee-Waukesha, WI Metro Area","676,158","± 4,585"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","1,583,885","± 7,219"
"Minot, ND Metro Area","37,941","± 814"
"Missoula, MT Metro Area","58,563","± 1,324"
"Mobile, AL Metro Area","162,900","± 2,216"
"Modesto, CA Metro Area","216,809","± 2,607"
"Monroe, LA Metro Area","85,749","± 1,935"
"Monroe, MI Metro Area","64,471","± 1,652"
"Montgomery, AL Metro Area","155,745","± 2,384"
"Morgantown, WV Metro Area","59,828","± 1,287"
"Morristown, TN Metro Area","50,208","± 1,541"
"Mount Vernon-Anacortes, WA Metro Area","51,063","± 991"
"Muncie, IN Metro Area","48,204","± 1,040"
"Muskegon-Norton Shores, MI Metro Area","71,393","± 1,333"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","142,248","± 2,588"
"Napa, CA Metro Area","58,148","± 1,246"
"Naples-Marco Island, FL Metro Area","137,251","± 2,784"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","887,035","± 5,111"
"New Haven, CT Metro Area","245,723","± 2,876"
"New Orleans-Metairie, LA Metro Area","408,700","± 4,515"
"New York-Newark-Jersey City, NY-NJ Metro Area","8,074,340","± 17,970"
"Niles, MI Metro Area","61,553","± 1,113"
"North Port-Bradenton-Sarasota, FL Metro Area","305,344","± 3,516"
"Norwich-New London-Willimantic, CT Metro Area","122,762","± 1,814"
"Ocala, FL Metro Area","130,586","± 2,581"
"Odessa, TX Metro Area","71,687","± 1,528"
"Ogden, UT Metro Area","273,232","± 2,610"
"Oklahoma City, OK Metro Area","626,825","± 3,823"
"Olympia-Lacey-Tumwater, WA Metro Area","114,663","± 1,906"
"Omaha, NE-IA Metro Area","438,030","± 3,019"
"Orlando-Kissimmee-Sanford, FL Metro Area","1,127,802","± 6,918"
"Oshkosh-Neenah, WI Metro Area","80,106","± 1,168"
"Owensboro, KY Metro Area","47,929","± 1,092"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","344,187","± 3,008"
"Paducah, KY-IL Metro Area","41,999","± 1,025"
"Palm Bay-Melbourne-Titusville, FL Metro Area","239,582","± 2,868"
"Panama City-Panama City Beach, FL Metro Area","88,486","± 1,358"
"Parkersburg-Vienna, WV Metro Area","33,983","± 908"
"Pensacola-Ferry Pass-Brent, FL Metro Area","205,619","± 2,713"
"Peoria, IL Metro Area","151,119","± 1,815"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","2,548,293","± 9,120"
"Phoenix-Mesa-Chandler, AZ Metro Area","1,928,142","± 8,323"
"Pinehurst-Southern Pines, NC Metro Area","39,547","± 1,153"
"Pittsburgh, PA Metro Area","1,004,988","± 5,418"
"Pittsfield, MA Metro Area","53,440","± 1,303"
"Pocatello, ID Metro Area","35,590","± 929"
"Ponce, PR Metro Area","75,959","± 1,834"
"Portland-South Portland, ME Metro Area","245,302","± 2,755"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","1,013,870","± 4,796"
"Port St. Lucie, FL Metro Area","192,096","± 3,298"
"Prescott Valley-Prescott, AZ Metro Area","82,702","± 1,737"
"Providence-Warwick, RI-MA Metro Area","738,662","± 5,766"
"Provo-Orem-Lehi, UT Metro Area","279,546","± 2,650"
"Pueblo, CO Metro Area","65,183","± 1,372"
"Punta Gorda, FL Metro Area","57,925","± 1,714"
"Racine-Mount Pleasant, WI Metro Area","85,681","± 1,309"
"Raleigh-Cary, NC Metro Area","570,996","± 5,425"
"Rapid City, SD Metro Area","68,347","± 1,284"
"Reading, PA Metro Area","185,026","± 2,491"
"Redding, CA Metro Area","68,029","± 1,514"
"Reno, NV Metro Area","244,165","± 2,480"
"Richmond, VA Metro Area","560,149","± 4,523"
"Riverside-San Bernardino-Ontario, CA Metro Area","1,804,843","± 8,723"
"Roanoke, VA Metro Area","128,418","± 1,959"
"Rochester, MN Metro Area","102,947","± 1,219"
"Rochester, NY Metro Area","443,708","± 3,348"
"Rockford, IL Metro Area","137,976","± 1,802"
"Rocky Mount, NC Metro Area","56,514","± 1,430"
"Rome, GA Metro Area","40,469","± 1,065"
"Sacramento-Roseville-Folsom, CA Metro Area","908,790","± 6,780"
"Saginaw, MI Metro Area","72,975","± 1,482"
"St. Cloud, MN Metro Area","94,601","± 1,243"
"St. George, UT Metro Area","70,475","± 1,712"
"St. Joseph, MO-KS Metro Area","50,483","± 995"
"St. Louis, MO-IL Metro Area","1,200,194","± 6,161"
"Salem, OR Metro Area","171,977","± 2,272"
"Salinas, CA Metro Area","170,792","± 2,075"
"Salisbury, MD Metro Area","55,391","± 1,408"
"Salt Lake City-Murray, UT Metro Area","547,113","± 4,128"
"San Angelo, TX Metro Area","52,991","± 1,114"
"San Antonio-New Braunfels, TX Metro Area","1,078,417","± 7,055"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","1,352,810","± 7,308"
"Sandusky, OH Metro Area","50,622","± 1,060"
"San Francisco-Oakland-Fremont, CA Metro Area","1,820,313","± 7,374"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","786,930","± 5,274"
"San Juan-Bayamón-Caguas, PR Metro Area","691,650","± 4,555"
"San Luis Obispo-Paso Robles, CA Metro Area","110,449","± 1,985"
"Santa Cruz-Watsonville, CA Metro Area","105,731","± 1,877"
"Santa Fe, NM Metro Area","59,063","± 1,324"
"Santa Maria-Santa Barbara, CA Metro Area","177,398","± 2,536"
"Santa Rosa-Petaluma, CA Metro Area","205,272","± 2,324"
"Savannah, GA Metro Area","179,604","± 2,295"
"Scranton--Wilkes-Barre, PA Metro Area","237,629","± 2,685"
"Seattle-Tacoma-Bellevue, WA Metro Area","1,638,023","± 8,413"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","56,786","± 1,586"
"Sebring, FL Metro Area","32,493","± 1,118"
"Sheboygan, WI Metro Area","54,238","± 1,058"
"Sherman-Denison, TX Metro Area","58,079","± 1,327"
"Shreveport-Bossier City, LA Metro Area","152,334","± 2,442"
"Sierra Vista-Douglas, AZ Metro Area","41,110","± 1,153"
"Sioux City, IA-NE-SD Metro Area","66,706","± 1,077"
"Sioux Falls, SD-MN Metro Area","144,861","± 1,591"
"Slidell-Mandeville-Covington, LA Metro Area","108,314","± 2,177"
"South Bend-Mishawaka, IN-MI Metro Area","136,604","± 1,832"
"Spartanburg, SC Metro Area","153,918","± 2,136"
"Spokane-Spokane Valley, WA Metro Area","230,182","± 2,829"
"Springfield, IL Metro Area","84,877","± 1,561"
"Springfield, MA Metro Area","191,547","± 2,409"
"Springfield, MO Metro Area","204,880","± 2,398"
"Springfield, OH Metro Area","53,818","± 1,053"
"State College, PA Metro Area","62,046","± 1,444"
"Staunton-Stuarts Draft, VA Metro Area","56,024","± 1,291"
"Stockton-Lodi, CA Metro Area","300,879","± 3,702"
"Sumter, SC Metro Area","42,494","± 1,126"
"Syracuse, NY Metro Area","275,378","± 2,726"
"Tallahassee, FL Metro Area","164,413","± 2,472"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","1,259,108","± 7,249"
"Terre Haute, IN Metro Area","70,162","± 1,388"
"Texarkana, TX-AR Metro Area","56,314","± 1,263"
"Toledo, OH Metro Area","260,597","± 2,831"
"Topeka, KS Metro Area","99,373","± 1,681"
"Traverse City, MI Metro Area","63,762","± 1,070"
"Trenton-Princeton, NJ Metro Area","148,653","± 2,240"
"Tucson, AZ Metro Area","403,138","± 3,554"
"Tulsa, OK Metro Area","429,641","± 2,549"
"Tuscaloosa, AL Metro Area","115,145","± 2,253"
"Twin Falls, ID Metro Area","49,898","± 1,173"
"Tyler, TX Metro Area","98,177","± 1,636"
"Urban Honolulu, HI Metro Area","456,305","± 3,432"
"Utica-Rome, NY Metro Area","114,456","± 1,775"
"Valdosta, GA Metro Area","62,596","± 1,526"
"Vallejo, CA Metro Area","184,393","± 2,407"
"Victoria, TX Metro Area","41,316","± 1,008"
"Vineland, NJ Metro Area","58,474","± 1,154"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","798,599","± 4,089"
"Visalia, CA Metro Area","176,005","± 2,530"
"Waco, TX Metro Area","122,125","± 1,859"
"Walla Walla, WA Metro Area","24,562","± 774"
"Warner Robins, GA Metro Area","83,117","± 1,923"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","2,571,149","± 10,011"
"Waterbury-Shelton, CT Metro Area","198,589","± 2,586"
"Waterloo-Cedar Falls, IA Metro Area","76,541","± 1,120"
"Watertown-Fort Drum, NY Metro Area","50,563","± 850"
"Wausau, WI Metro Area","62,826","± 923"
"Weirton-Steubenville, WV-OH Metro Area","45,763","± 1,047"
"Wenatchee-East Wenatchee, WA Metro Area","52,394","± 1,311"
"Wheeling, WV-OH Metro Area","56,032","± 988"
"Wichita, KS Metro Area","286,412","± 2,557"
"Wichita Falls, TX Metro Area","66,970","± 1,251"
"Wildwood-The Villages, FL Metro Area","25,880","± 1,139"
"Williamsport, PA Metro Area","47,926","± 904"
"Wilmington, NC Metro Area","172,223","± 2,104"
"Winchester, VA-WV Metro Area","60,701","± 1,390"
"Winston-Salem, NC Metro Area","277,798","± 2,877"
"Worcester, MA Metro Area","371,649","± 3,674"
"Yakima, WA Metro Area","100,356","± 1,855"
"York-Hanover, PA Metro Area","203,790","± 2,344"
"Youngstown-Warren, OH Metro Area","170,695","± 2,087"
"Yuba City, CA Metro Area","69,807","± 1,533"
"Yuma, AZ Metro Area","73,298","± 1,547"
