"Region","Finance and insurance","MoE"
"Brownsville-Harlingen, TX Metro Area","1,743","± 353"
"Brunswick-St. Simons, GA Metro Area","368","± 128"
"Buffalo-Cheektowaga, NY Metro Area","16,005","± 1,009"
"Burlington, NC Metro Area","987","± 225"
"Burlington-South Burlington, VT Metro Area","1,856","± 350"
"Canton-Massillon, OH Metro Area","2,293","± 366"
"Cape Coral-Fort Myers, FL Metro Area","5,445","± 724"
"Cape Girardeau, MO-IL Metro Area","852","± 219"
"Carson City, NV Metro Area","169","± 132"
"Casper, WY Metro Area","420","± 197"
"Cedar Rapids, IA Metro Area","3,739","± 416"
"Chambersburg, PA Metro Area","849","± 234"
"Champaign-Urbana, IL Metro Area","1,628","± 288"
"Charleston, WV Metro Area","1,570","± 384"
"Charleston-North Charleston, SC Metro Area","6,435","± 811"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","62,257","± 1,993"
"Charlottesville, VA Metro Area","2,139","± 410"
"Chattanooga, TN-GA Metro Area","6,944","± 661"
"Cheyenne, WY Metro Area","667","± 201"
"Chicago-Naperville-Elgin, IL-IN Metro Area","141,455","± 2,733"
"Chico, CA Metro Area","948","± 288"
"Cincinnati, OH-KY-IN Metro Area","30,556","± 1,470"
"Clarksville, TN-KY Metro Area","893","± 234"
"Cleveland, OH Metro Area","26,435","± 1,090"
"Cleveland, TN Metro Area","525","± 165"
"Coeur d'Alene, ID Metro Area","1,937","± 520"
"College Station-Bryan, TX Metro Area","1,437","± 329"
"Colorado Springs, CO Metro Area","7,918","± 822"
"Columbia, MO Metro Area","3,215","± 460"
"Columbia, SC Metro Area","8,078","± 713"
"Columbus, GA-AL Metro Area","3,718","± 486"
"Columbus, IN Metro Area","479","± 164"
"Columbus, OH Metro Area","40,248","± 1,551"
"Corpus Christi, TX Metro Area","2,250","± 431"
"Corvallis, OR Metro Area","516","± 149"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","1,994","± 395"
"Dallas-Fort Worth-Arlington, TX Metro Area","129,899","± 2,974"
"Dalton, GA Metro Area","386","± 211"
"Daphne-Fairhope-Foley, AL Metro Area","2,001","± 541"
"Davenport-Moline-Rock Island, IA-IL Metro Area","2,615","± 321"
"Dayton-Kettering-Beavercreek, OH Metro Area","5,491","± 552"
"Decatur, AL Metro Area","440","± 129"
"Decatur, IL Metro Area","737","± 244"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","5,296","± 624"
"Denver-Aurora-Centennial, CO Metro Area","47,309","± 1,765"
"Des Moines-West Des Moines, IA Metro Area","23,184","± 1,083"
"Detroit-Warren-Dearborn, MI Metro Area","43,907","± 1,358"
"Dothan, AL Metro Area","652","± 145"
"Dover, DE Metro Area","1,282","± 326"
"Dubuque, IA Metro Area","1,376","± 232"
"Duluth, MN-WI Metro Area","1,857","± 258"
"Durham-Chapel Hill, NC Metro Area","5,728","± 653"
"Eagle Pass, TX Metro Area","129","± 109"
"Eau Claire, WI Metro Area","1,756","± 275"
"El Centro, CA Metro Area","362","± 181"
"Elizabethtown, KY Metro Area","430","± 176"
"Elkhart-Goshen, IN Metro Area","1,090","± 243"
"Elmira, NY Metro Area","299","± 118"
"El Paso, TX Metro Area","4,616","± 690"
"Enid, OK Metro Area","114","± 76"
"Erie, PA Metro Area","2,756","± 434"
"Eugene-Springfield, OR Metro Area","2,211","± 342"
"Evansville, IN Metro Area","1,940","± 364"
"Fairbanks-College, AK Metro Area","305","± 150"
"Fargo, ND-MN Metro Area","4,157","± 537"
"Farmington, NM Metro Area","223","± 103"
"Fayetteville, NC Metro Area","920","± 240"
"Fayetteville-Springdale-Rogers, AR Metro Area","3,959","± 522"
"Flagstaff, AZ Metro Area","461","± 155"
"Flint, MI Metro Area","2,172","± 352"
"Florence, SC Metro Area","975","± 249"
"Florence-Muscle Shoals, AL Metro Area","484","± 153"
"Fond du Lac, WI Metro Area","617","± 204"
"Fort Collins-Loveland, CO Metro Area","3,135","± 441"
"Fort Smith, AR-OK Metro Area","1,173","± 249"
"Fort Wayne, IN Metro Area","4,074","± 492"
"Fresno, CA Metro Area","4,617","± 555"
"Gadsden, AL Metro Area","473","± 158"
"Gainesville, FL Metro Area","2,168","± 431"
"Gainesville, GA Metro Area","1,418","± 336"
"Gettysburg, PA Metro Area","488","± 125"
"Glens Falls, NY Metro Area","740","± 181"
"Goldsboro, NC Metro Area","429","± 163"
"Grand Forks, ND-MN Metro Area","902","± 215"
"Grand Island, NE Metro Area","524","± 133"
"Grand Junction, CO Metro Area","835","± 258"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","9,720","± 767"
"Grants Pass, OR Metro Area","228","± 88"
"Great Falls, MT Metro Area","470","± 154"
"Greeley, CO Metro Area","2,102","± 388"
"Green Bay, WI Metro Area","3,720","± 446"
"Greensboro-High Point, NC Metro Area","6,254","± 769"
"Greenville, NC Metro Area","1,220","± 298"
"Greenville-Anderson-Greer, SC Metro Area","6,327","± 538"
"Guayama, PR Metro Area","46","± 56"
"Gulfport-Biloxi, MS Metro Area","1,905","± 491"
"Hagerstown-Martinsburg, MD-WV Metro Area","1,375","± 314"
"Hammond, LA Metro Area","570","± 232"
"Hanford-Corcoran, CA Metro Area","123","± 73"
"Harrisburg-Carlisle, PA Metro Area","7,489","± 967"
"Harrisonburg, VA Metro Area","524","± 153"
"Hartford-West Hartford-East Hartford, CT Metro Area","24,025","± 1,131"
"Hattiesburg, MS Metro Area","898","± 218"
"Helena, MT Metro Area","1,021","± 261"
"Hickory-Lenoir-Morganton, NC Metro Area","1,447","± 293"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","1,821","± 439"
"Hinesville, GA Metro Area","156","± 88"
"Homosassa Springs, FL Metro Area","709","± 258"
"Hot Springs, AR Metro Area","476","± 203"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","751","± 227"
"Houston-Pasadena-The Woodlands, TX Metro Area","59,360","± 2,605"
"Huntington-Ashland, WV-KY-OH Metro Area","1,695","± 392"
"Huntsville, AL Metro Area","2,278","± 432"
"Idaho Falls, ID Metro Area","1,025","± 252"
"Indianapolis-Carmel-Greenwood, IN Metro Area","24,063","± 1,521"
"Iowa City, IA Metro Area","1,984","± 410"
"Ithaca, NY Metro Area","460","± 169"
"Jackson, MI Metro Area","859","± 328"
"Jackson, MS Metro Area","4,671","± 598"
"Jackson, TN Metro Area","568","± 149"
"Jacksonville, FL Metro Area","29,595","± 2,017"
"Jacksonville, NC Metro Area","537","± 259"
"Janesville-Beloit, WI Metro Area","843","± 229"
"Jefferson City, MO Metro Area","1,850","± 323"
"Johnson City, TN Metro Area","1,217","± 238"
"Johnstown, PA Metro Area","521","± 132"
"Jonesboro, AR Metro Area","755","± 246"
"Joplin, MO-KS Metro Area","833","± 204"
"Kahului-Wailuku, HI Metro Area","360","± 132"
"Kalamazoo-Portage, MI Metro Area","2,694","± 433"
"Kankakee, IL Metro Area","462","± 169"
"Kansas City, MO-KS Metro Area","34,333","± 1,389"
"Kennewick-Richland, WA Metro Area","972","± 230"
"Kenosha, WI Metro Area","1,172","± 274"
"Killeen-Temple, TX Metro Area","1,710","± 354"
"Kingsport-Bristol, TN-VA Metro Area","1,794","± 281"
"Kingston, NY Metro Area","1,143","± 188"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","6,952","± 642"
"Knoxville, TN Metro Area","7,666","± 677"
"Kokomo, IN Metro Area","288","± 117"
"La Crosse-Onalaska, WI-MN Metro Area","1,560","± 274"
"Lafayette, LA Metro Area","2,774","± 472"
"Lafayette-West Lafayette, IN Metro Area","1,297","± 305"
"Lake Charles, LA Metro Area","1,345","± 442"
"Lake Havasu City-Kingman, AZ Metro Area","767","± 262"
"Lakeland-Winter Haven, FL Metro Area","5,962","± 748"
"Lancaster, PA Metro Area","3,624","± 460"
"Lansing-East Lansing, MI Metro Area","6,142","± 580"
"Laredo, TX Metro Area","1,245","± 306"
"Las Cruces, NM Metro Area","685","± 257"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","14,842","± 1,013"
"Lawrence, KS Metro Area","1,424","± 331"
"Lawton, OK Metro Area","413","± 101"
"Lebanon, PA Metro Area","626","± 193"
"Lewiston, ID-WA Metro Area","211","± 89"
"Lewiston-Auburn, ME Metro Area","1,280","± 265"
"Lexington-Fayette, KY Metro Area","4,051","± 462"
"Lexington Park, MD Metro Area","455","± 125"
"Lima, OH Metro Area","377","± 139"
"Lincoln, NE Metro Area","5,317","± 488"
"Little Rock-North Little Rock-Conway, AR Metro Area","7,033","± 855"
"Logan, UT-ID Metro Area","941","± 218"
"Longview, TX Metro Area","1,355","± 310"
"Longview-Kelso, WA Metro Area","420","± 151"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","129,229","± 3,646"
"Louisville/Jefferson County, KY-IN Metro Area","16,573","± 920"
"Lubbock, TX Metro Area","3,217","± 507"
"Lynchburg, VA Metro Area","1,493","± 275"
"Macon-Bibb County, GA Metro Area","2,145","± 391"
"Madison, WI Metro Area","10,801","± 857"
"Manchester-Nashua, NH Metro Area","5,938","± 642"
"Manhattan, KS Metro Area","1,028","± 314"
"Mankato, MN Metro Area","715","± 169"
"Mansfield, OH Metro Area","662","± 194"
"Mayagüez, PR Metro Area","766","± 232"
"McAllen-Edinburg-Mission, TX Metro Area","3,068","± 542"
"Medford, OR Metro Area","1,337","± 332"
"Memphis, TN-MS-AR Metro Area","7,943","± 797"
"Merced, CA Metro Area","724","± 233"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","73,416","± 2,339"
"Michigan City-La Porte, IN Metro Area","356","± 136"
"Midland, MI Metro Area","475","± 156"
"Midland, TX Metro Area","1,033","± 304"
"Milwaukee-Waukesha, WI Metro Area","20,476","± 892"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","69,377","± 2,120"
"Minot, ND Metro Area","383","± 142"
"Missoula, MT Metro Area","814","± 236"
"Mobile, AL Metro Area","2,192","± 341"
"Modesto, CA Metro Area","1,868","± 353"
"Monroe, LA Metro Area","1,307","± 281"
"Monroe, MI Metro Area","561","± 139"
"Montgomery, AL Metro Area","1,787","± 332"
"Morgantown, WV Metro Area","756","± 247"
"Morristown, TN Metro Area","227","± 101"
"Mount Vernon-Anacortes, WA Metro Area","481","± 134"
"Muncie, IN Metro Area","591","± 175"
"Muskegon-Norton Shores, MI Metro Area","685","± 225"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","2,629","± 461"
"Napa, CA Metro Area","568","± 161"
"Naples-Marco Island, FL Metro Area","4,208","± 636"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","25,227","± 1,395"
"New Haven, CT Metro Area","5,834","± 639"
"New Orleans-Metairie, LA Metro Area","5,983","± 687"
"New York-Newark-Jersey City, NY-NJ Metro Area","380,621","± 5,454"
"Niles, MI Metro Area","869","± 164"
"North Port-Bradenton-Sarasota, FL Metro Area","7,803","± 830"
"Norwich-New London-Willimantic, CT Metro Area","1,540","± 263"
"Ocala, FL Metro Area","1,664","± 433"
"Odessa, TX Metro Area","613","± 268"
"Ogden, UT Metro Area","7,854","± 753"
"Oklahoma City, OK Metro Area","13,257","± 873"
"Olympia-Lacey-Tumwater, WA Metro Area","1,475","± 319"
"Omaha, NE-IA Metro Area","21,339","± 1,084"
"Orlando-Kissimmee-Sanford, FL Metro Area","27,427","± 1,653"
"Oshkosh-Neenah, WI Metro Area","1,414","± 287"
"Owensboro, KY Metro Area","899","± 270"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","8,076","± 641"
"Paducah, KY-IL Metro Area","798","± 256"
"Palm Bay-Melbourne-Titusville, FL Metro Area","3,938","± 686"
"Panama City-Panama City Beach, FL Metro Area","1,147","± 302"
"Parkersburg-Vienna, WV Metro Area","290","± 112"
"Pensacola-Ferry Pass-Brent, FL Metro Area","6,473","± 912"
"Peoria, IL Metro Area","3,167","± 455"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","101,790","± 2,896"
"Phoenix-Mesa-Chandler, AZ Metro Area","88,064","± 3,089"
"Pinehurst-Southern Pines, NC Metro Area","615","± 168"
"Pittsburgh, PA Metro Area","32,722","± 1,460"
"Pittsfield, MA Metro Area","1,156","± 262"
"Pocatello, ID Metro Area","1,263","± 243"
"Ponce, PR Metro Area","604","± 179"
"Portland-South Portland, ME Metro Area","8,079","± 638"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","23,085","± 1,116"
"Port St. Lucie, FL Metro Area","2,929","± 572"
"Prescott Valley-Prescott, AZ Metro Area","1,146","± 300"
"Providence-Warwick, RI-MA Metro Area","19,953","± 1,273"
"Provo-Orem-Lehi, UT Metro Area","9,629","± 809"
"Pueblo, CO Metro Area","572","± 173"
"Punta Gorda, FL Metro Area","951","± 278"
"Racine-Mount Pleasant, WI Metro Area","1,137","± 214"
"Raleigh-Cary, NC Metro Area","22,272","± 1,633"
"Rapid City, SD Metro Area","1,219","± 286"
"Reading, PA Metro Area","2,794","± 414"
"Redding, CA Metro Area","886","± 207"
"Reno, NV Metro Area","3,464","± 445"
"Richmond, VA Metro Area","21,060","± 1,164"
"Riverside-San Bernardino-Ontario, CA Metro Area","23,337","± 1,389"
"Roanoke, VA Metro Area","3,301","± 476"
"Rochester, MN Metro Area","1,436","± 286"
"Rochester, NY Metro Area","8,371","± 795"
"Rockford, IL Metro Area","1,084","± 181"
"Rocky Mount, NC Metro Area","901","± 232"
"Rome, GA Metro Area","440","± 175"
"Sacramento-Roseville-Folsom, CA Metro Area","21,564","± 1,180"
"Saginaw, MI Metro Area","1,082","± 219"
"St. Cloud, MN Metro Area","1,698","± 252"
"St. George, UT Metro Area","1,344","± 274"
"St. Joseph, MO-KS Metro Area","717","± 202"
"St. Louis, MO-IL Metro Area","41,256","± 1,676"
"Salem, OR Metro Area","2,828","± 436"
"Salinas, CA Metro Area","1,495","± 305"
"Salisbury, MD Metro Area","300","± 132"
"Salt Lake City-Murray, UT Metro Area","23,379","± 1,225"
"San Angelo, TX Metro Area","521","± 160"
"San Antonio-New Braunfels, TX Metro Area","36,166","± 1,920"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","27,713","± 1,294"
"Sandusky, OH Metro Area","596","± 232"
"San Francisco-Oakland-Fremont, CA Metro Area","62,499","± 2,036"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","12,414","± 796"
"San Juan-Bayamón-Caguas, PR Metro Area","14,334","± 1,068"
"San Luis Obispo-Paso Robles, CA Metro Area","1,255","± 348"
"Santa Cruz-Watsonville, CA Metro Area","1,431","± 305"
"Santa Fe, NM Metro Area","951","± 212"
"Santa Maria-Santa Barbara, CA Metro Area","2,458","± 375"
"Santa Rosa-Petaluma, CA Metro Area","3,295","± 481"
"Savannah, GA Metro Area","2,156","± 420"
"Scranton--Wilkes-Barre, PA Metro Area","4,409","± 450"
"Seattle-Tacoma-Bellevue, WA Metro Area","32,855","± 1,590"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","1,526","± 346"
"Sebring, FL Metro Area","498","± 161"
"Sheboygan, WI Metro Area","1,060","± 245"
"Sherman-Denison, TX Metro Area","911","± 306"
"Shreveport-Bossier City, LA Metro Area","1,477","± 296"
"Sierra Vista-Douglas, AZ Metro Area","238","± 145"
"Sioux City, IA-NE-SD Metro Area","976","± 252"
"Sioux Falls, SD-MN Metro Area","6,264","± 548"
"Slidell-Mandeville-Covington, LA Metro Area","3,006","± 582"
"South Bend-Mishawaka, IN-MI Metro Area","1,981","± 348"
"Spartanburg, SC Metro Area","1,726","± 359"
"Spokane-Spokane Valley, WA Metro Area","5,108","± 545"
"Springfield, IL Metro Area","2,094","± 345"
"Springfield, MA Metro Area","4,098","± 562"
"Springfield, MO Metro Area","4,949","± 565"
"Springfield, OH Metro Area","600","± 167"
"State College, PA Metro Area","857","± 221"
"Staunton-Stuarts Draft, VA Metro Area","452","± 164"
"Stockton-Lodi, CA Metro Area","3,822","± 456"
"Sumter, SC Metro Area","192","± 122"
"Syracuse, NY Metro Area","5,562","± 618"
"Tallahassee, FL Metro Area","2,669","± 371"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","50,268","± 1,592"
"Terre Haute, IN Metro Area","632","± 161"
"Texarkana, TX-AR Metro Area","480","± 145"
"Toledo, OH Metro Area","3,240","± 540"
"Topeka, KS Metro Area","2,704","± 437"
"Traverse City, MI Metro Area","1,312","± 260"
"Trenton-Princeton, NJ Metro Area","7,528","± 733"
"Tucson, AZ Metro Area","6,668","± 683"
"Tulsa, OK Metro Area","7,674","± 506"
"Tuscaloosa, AL Metro Area","916","± 233"
"Twin Falls, ID Metro Area","632","± 334"
"Tyler, TX Metro Area","1,890","± 442"
"Urban Honolulu, HI Metro Area","7,379","± 712"
"Utica-Rome, NY Metro Area","2,544","± 301"
"Valdosta, GA Metro Area","455","± 212"
"Vallejo, CA Metro Area","2,757","± 467"
"Victoria, TX Metro Area","388","± 137"
"Vineland, NJ Metro Area","495","± 189"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","11,468","± 977"
"Visalia, CA Metro Area","882","± 218"
"Waco, TX Metro Area","1,777","± 327"
"Walla Walla, WA Metro Area","297","± 131"
"Warner Robins, GA Metro Area","1,512","± 376"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","64,750","± 2,164"
"Waterbury-Shelton, CT Metro Area","5,138","± 674"
"Waterloo-Cedar Falls, IA Metro Area","1,722","± 323"
"Watertown-Fort Drum, NY Metro Area","517","± 181"
"Wausau, WI Metro Area","1,249","± 205"
"Weirton-Steubenville, WV-OH Metro Area","526","± 135"
"Wenatchee-East Wenatchee, WA Metro Area","436","± 160"
"Wheeling, WV-OH Metro Area","838","± 191"
"Wichita, KS Metro Area","4,419","± 553"
"Wichita Falls, TX Metro Area","879","± 227"
"Wildwood-The Villages, FL Metro Area","453","± 152"
"Williamsport, PA Metro Area","591","± 179"
"Wilmington, NC Metro Area","3,789","± 516"
"Winchester, VA-WV Metro Area","965","± 230"
"Winston-Salem, NC Metro Area","6,942","± 740"
"Worcester, MA Metro Area","9,587","± 831"
"Yakima, WA Metro Area","437","± 155"
"York-Hanover, PA Metro Area","3,824","± 584"
"Youngstown-Warren, OH Metro Area","2,815","± 503"
"Yuba City, CA Metro Area","788","± 211"
"Yuma, AZ Metro Area","579","± 212"
