"Region","Information","MoE"
"La Crosse-Onalaska, WI-MN Metro Area","741","± 228"
"Lafayette, LA Metro Area","1,695","± 442"
"Lafayette-West Lafayette, IN Metro Area","774","± 245"
"Lake Charles, LA Metro Area","786","± 290"
"Lake Havasu City-Kingman, AZ Metro Area","418","± 184"
"Lakeland-Winter Haven, FL Metro Area","2,560","± 472"
"Lancaster, PA Metro Area","1,938","± 424"
"Lansing-East Lansing, MI Metro Area","1,575","± 302"
"Laredo, TX Metro Area","517","± 176"
"Las Cruces, NM Metro Area","728","± 268"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","11,549","± 1,048"
"Lawrence, KS Metro Area","576","± 205"
"Lawton, OK Metro Area","336","± 115"
"Lebanon, PA Metro Area","544","± 192"
"Lewiston, ID-WA Metro Area","321","± 153"
"Lewiston-Auburn, ME Metro Area","556","± 167"
"Lexington-Fayette, KY Metro Area","2,009","± 370"
"Lexington Park, MD Metro Area","734","± 200"
"Lima, OH Metro Area","389","± 125"
"Lincoln, NE Metro Area","1,908","± 404"
"Little Rock-North Little Rock-Conway, AR Metro Area","3,845","± 495"
"Logan, UT-ID Metro Area","414","± 157"
"Longview, TX Metro Area","961","± 272"
"Longview-Kelso, WA Metro Area","289","± 142"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","151,635","± 3,508"
"Louisville/Jefferson County, KY-IN Metro Area","6,050","± 720"
"Lubbock, TX Metro Area","1,992","± 478"
"Lynchburg, VA Metro Area","658","± 159"
"Macon-Bibb County, GA Metro Area","592","± 238"
"Madison, WI Metro Area","6,362","± 656"
"Manchester-Nashua, NH Metro Area","3,098","± 449"
"Manhattan, KS Metro Area","544","± 213"
"Mankato, MN Metro Area","459","± 155"
"Mansfield, OH Metro Area","346","± 131"
"Mayagüez, PR Metro Area","343","± 158"
"McAllen-Edinburg-Mission, TX Metro Area","2,474","± 472"
"Medford, OR Metro Area","1,238","± 312"
"Memphis, TN-MS-AR Metro Area","3,548","± 566"
"Merced, CA Metro Area","560","± 208"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","34,428","± 1,722"
"Michigan City-La Porte, IN Metro Area","273","± 104"
"Midland, MI Metro Area","194","± 90"
"Midland, TX Metro Area","443","± 164"
"Milwaukee-Waukesha, WI Metro Area","7,168","± 564"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","18,700","± 1,086"
"Minot, ND Metro Area","246","± 127"
"Missoula, MT Metro Area","629","± 190"
"Mobile, AL Metro Area","1,646","± 489"
"Modesto, CA Metro Area","1,348","± 293"
"Monroe, LA Metro Area","1,393","± 356"
"Monroe, MI Metro Area","533","± 153"
"Montgomery, AL Metro Area","1,076","± 272"
"Morgantown, WV Metro Area","569","± 189"
"Morristown, TN Metro Area","300","± 132"
"Mount Vernon-Anacortes, WA Metro Area","438","± 213"
"Muncie, IN Metro Area","476","± 161"
"Muskegon-Norton Shores, MI Metro Area","442","± 161"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","1,276","± 273"
"Napa, CA Metro Area","509","± 155"
"Naples-Marco Island, FL Metro Area","1,388","± 471"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","15,018","± 976"
"New Haven, CT Metro Area","3,171","± 460"
"New Orleans-Metairie, LA Metro Area","3,680","± 456"
"New York-Newark-Jersey City, NY-NJ Metro Area","172,577","± 3,621"
"Niles, MI Metro Area","469","± 133"
"North Port-Bradenton-Sarasota, FL Metro Area","3,406","± 514"
"Norwich-New London-Willimantic, CT Metro Area","906","± 234"
"Ocala, FL Metro Area","772","± 270"
"Odessa, TX Metro Area","558","± 268"
"Ogden, UT Metro Area","2,851","± 505"
"Oklahoma City, OK Metro Area","5,781","± 595"
"Olympia-Lacey-Tumwater, WA Metro Area","905","± 198"
"Omaha, NE-IA Metro Area","5,300","± 501"
"Orlando-Kissimmee-Sanford, FL Metro Area","15,748","± 1,373"
"Oshkosh-Neenah, WI Metro Area","557","± 171"
"Owensboro, KY Metro Area","215","± 100"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","6,584","± 675"
"Paducah, KY-IL Metro Area","452","± 246"
"Palm Bay-Melbourne-Titusville, FL Metro Area","1,886","± 349"
"Panama City-Panama City Beach, FL Metro Area","601","± 190"
"Parkersburg-Vienna, WV Metro Area","174","± 97"
"Pensacola-Ferry Pass-Brent, FL Metro Area","1,862","± 370"
"Peoria, IL Metro Area","1,183","± 247"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","34,942","± 1,452"
"Phoenix-Mesa-Chandler, AZ Metro Area","26,731","± 1,595"
"Pinehurst-Southern Pines, NC Metro Area","319","± 161"
"Pittsburgh, PA Metro Area","11,579","± 818"
"Pittsfield, MA Metro Area","670","± 195"
"Pocatello, ID Metro Area","167","± 84"
"Ponce, PR Metro Area","581","± 181"
"Portland-South Portland, ME Metro Area","2,812","± 375"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","14,538","± 1,132"
"Port St. Lucie, FL Metro Area","2,057","± 552"
"Prescott Valley-Prescott, AZ Metro Area","986","± 283"
"Providence-Warwick, RI-MA Metro Area","6,512","± 575"
"Provo-Orem-Lehi, UT Metro Area","5,719","± 536"
"Pueblo, CO Metro Area","284","± 109"
"Punta Gorda, FL Metro Area","549","± 173"
"Racine-Mount Pleasant, WI Metro Area","410","± 170"
"Raleigh-Cary, NC Metro Area","11,973","± 1,040"
"Rapid City, SD Metro Area","526","± 167"
"Reading, PA Metro Area","1,486","± 381"
"Redding, CA Metro Area","560","± 176"
"Reno, NV Metro Area","1,893","± 381"
"Richmond, VA Metro Area","5,705","± 720"
"Riverside-San Bernardino-Ontario, CA Metro Area","18,272","± 1,228"
"Roanoke, VA Metro Area","1,081","± 220"
"Rochester, MN Metro Area","942","± 249"
"Rochester, NY Metro Area","5,852","± 519"
"Rockford, IL Metro Area","1,176","± 246"
"Rocky Mount, NC Metro Area","251","± 116"
"Rome, GA Metro Area","205","± 98"
"Sacramento-Roseville-Folsom, CA Metro Area","10,554","± 837"
"Saginaw, MI Metro Area","524","± 152"
"St. Cloud, MN Metro Area","475","± 121"
"St. George, UT Metro Area","511","± 207"
"St. Joseph, MO-KS Metro Area","275","± 91"
"St. Louis, MO-IL Metro Area","13,206","± 891"
"Salem, OR Metro Area","1,170","± 326"
"Salinas, CA Metro Area","1,379","± 310"
"Salisbury, MD Metro Area","520","± 167"
"Salt Lake City-Murray, UT Metro Area","7,134","± 654"
"San Angelo, TX Metro Area","520","± 188"
"San Antonio-New Braunfels, TX Metro Area","12,229","± 1,276"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","20,375","± 1,370"
"Sandusky, OH Metro Area","285","± 115"
"San Francisco-Oakland-Fremont, CA Metro Area","62,122","± 2,206"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","41,501","± 1,302"
"San Juan-Bayamón-Caguas, PR Metro Area","8,566","± 774"
"San Luis Obispo-Paso Robles, CA Metro Area","1,543","± 422"
"Santa Cruz-Watsonville, CA Metro Area","2,045","± 381"
"Santa Fe, NM Metro Area","931","± 265"
"Santa Maria-Santa Barbara, CA Metro Area","2,394","± 367"
"Santa Rosa-Petaluma, CA Metro Area","3,024","± 472"
"Savannah, GA Metro Area","1,876","± 379"
"Scranton--Wilkes-Barre, PA Metro Area","2,478","± 321"
"Seattle-Tacoma-Bellevue, WA Metro Area","48,267","± 1,423"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","757","± 336"
"Sebring, FL Metro Area","263","± 154"
"Sheboygan, WI Metro Area","346","± 117"
"Sherman-Denison, TX Metro Area","423","± 227"
"Shreveport-Bossier City, LA Metro Area","1,194","± 329"
"Sierra Vista-Douglas, AZ Metro Area","325","± 109"
"Sioux City, IA-NE-SD Metro Area","495","± 182"
"Sioux Falls, SD-MN Metro Area","1,620","± 289"
"Slidell-Mandeville-Covington, LA Metro Area","1,598","± 413"
"South Bend-Mishawaka, IN-MI Metro Area","1,089","± 213"
"Spartanburg, SC Metro Area","1,609","± 304"
"Spokane-Spokane Valley, WA Metro Area","2,480","± 373"
"Springfield, IL Metro Area","684","± 188"
"Springfield, MA Metro Area","1,156","± 250"
"Springfield, MO Metro Area","1,571","± 302"
"Springfield, OH Metro Area","392","± 156"
"State College, PA Metro Area","466","± 161"
"Staunton-Stuarts Draft, VA Metro Area","336","± 130"
"Stockton-Lodi, CA Metro Area","3,508","± 579"
"Sumter, SC Metro Area","225","± 111"
"Syracuse, NY Metro Area","2,885","± 396"
"Tallahassee, FL Metro Area","1,123","± 246"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","16,594","± 1,110"
"Terre Haute, IN Metro Area","468","± 157"
"Texarkana, TX-AR Metro Area","276","± 138"
"Toledo, OH Metro Area","1,740","± 320"
"Topeka, KS Metro Area","1,011","± 193"
"Traverse City, MI Metro Area","481","± 123"
"Trenton-Princeton, NJ Metro Area","2,134","± 360"
"Tucson, AZ Metro Area","4,269","± 561"
"Tulsa, OK Metro Area","5,207","± 390"
"Tuscaloosa, AL Metro Area","629","± 238"
"Twin Falls, ID Metro Area","292","± 188"
"Tyler, TX Metro Area","818","± 237"
"Urban Honolulu, HI Metro Area","3,970","± 429"
"Utica-Rome, NY Metro Area","893","± 191"
"Valdosta, GA Metro Area","129","± 77"
"Vallejo, CA Metro Area","2,322","± 377"
"Victoria, TX Metro Area","307","± 155"
"Vineland, NJ Metro Area","322","± 153"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","5,975","± 715"
"Visalia, CA Metro Area","1,370","± 536"
"Waco, TX Metro Area","860","± 209"
"Walla Walla, WA Metro Area","165","± 86"
"Warner Robins, GA Metro Area","431","± 185"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","48,128","± 1,618"
"Waterbury-Shelton, CT Metro Area","2,628","± 418"
"Waterloo-Cedar Falls, IA Metro Area","486","± 158"
"Watertown-Fort Drum, NY Metro Area","382","± 120"
"Wausau, WI Metro Area","312","± 97"
"Weirton-Steubenville, WV-OH Metro Area","378","± 119"
"Wenatchee-East Wenatchee, WA Metro Area","601","± 177"
"Wheeling, WV-OH Metro Area","443","± 136"
"Wichita, KS Metro Area","1,903","± 322"
"Wichita Falls, TX Metro Area","611","± 165"
"Wildwood-The Villages, FL Metro Area","191","± 138"
"Williamsport, PA Metro Area","252","± 109"
"Wilmington, NC Metro Area","3,103","± 617"
"Winchester, VA-WV Metro Area","635","± 213"
"Winston-Salem, NC Metro Area","2,105","± 438"
"Worcester, MA Metro Area","4,165","± 503"
"Yakima, WA Metro Area","521","± 201"
"York-Hanover, PA Metro Area","1,818","± 466"
"Youngstown-Warren, OH Metro Area","1,469","± 357"
"Yuba City, CA Metro Area","552","± 295"
"Yuma, AZ Metro Area","512","± 138"
