"Region","Total:","MoE"
"Lakeland-Winter Haven, FL Metro Area","333,548","± 2,635"
"Lancaster, PA Metro Area","280,073","± 2,106"
"Lansing-East Lansing, MI Metro Area","234,123","± 2,177"
"Laredo, TX Metro Area","113,106","± 1,688"
"Las Cruces, NM Metro Area","93,662","± 1,637"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","1,072,756","± 5,281"
"Lawrence, KS Metro Area","66,407","± 1,048"
"Lawton, OK Metro Area","47,575","± 977"
"Lebanon, PA Metro Area","68,711","± 1,043"
"Lewiston, ID-WA Metro Area","29,721","± 835"
"Lewiston-Auburn, ME Metro Area","56,173","± 848"
"Lexington-Fayette, KY Metro Area","263,041","± 2,366"
"Lexington Park, MD Metro Area","104,748","± 1,602"
"Lima, OH Metro Area","46,096","± 975"
"Lincoln, NE Metro Area","183,950","± 1,518"
"Little Rock-North Little Rock-Conway, AR Metro Area","350,682","± 3,732"
"Logan, UT-ID Metro Area","75,669","± 978"
"Longview, TX Metro Area","127,829","± 1,539"
"Longview-Kelso, WA Metro Area","46,763","± 1,054"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","6,432,731","± 13,079"
"Louisville/Jefferson County, KY-IN Metro Area","675,733","± 3,416"
"Lubbock, TX Metro Area","172,393","± 2,204"
"Lynchburg, VA Metro Area","122,736","± 1,707"
"Macon-Bibb County, GA Metro Area","99,089","± 1,990"
"Madison, WI Metro Area","381,897","± 2,793"
"Manchester-Nashua, NH Metro Area","239,049","± 1,820"
"Manhattan, KS Metro Area","60,036","± 1,309"
"Mankato, MN Metro Area","57,004","± 824"
"Mansfield, OH Metro Area","54,386","± 1,164"
"Mayagüez, PR Metro Area","63,416","± 1,755"
"McAllen-Edinburg-Mission, TX Metro Area","344,351","± 3,576"
"Medford, OR Metro Area","98,844","± 1,584"
"Memphis, TN-MS-AR Metro Area","622,868","± 4,138"
"Merced, CA Metro Area","111,532","± 1,701"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","3,051,566","± 9,194"
"Michigan City-La Porte, IN Metro Area","49,621","± 947"
"Midland, MI Metro Area","38,346","± 804"
"Midland, TX Metro Area","87,985","± 1,595"
"Milwaukee-Waukesha, WI Metro Area","792,998","± 3,882"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","1,990,195","± 5,913"
"Minot, ND Metro Area","37,402","± 814"
"Missoula, MT Metro Area","68,572","± 1,030"
"Mobile, AL Metro Area","179,014","± 1,902"
"Modesto, CA Metro Area","240,228","± 2,488"
"Monroe, LA Metro Area","92,871","± 1,733"
"Monroe, MI Metro Area","71,545","± 1,426"
"Montgomery, AL Metro Area","167,816","± 2,261"
"Morgantown, WV Metro Area","68,068","± 1,273"
"Morristown, TN Metro Area","53,856","± 1,532"
"Mount Vernon-Anacortes, WA Metro Area","58,165","± 990"
"Muncie, IN Metro Area","52,649","± 981"
"Muskegon-Norton Shores, MI Metro Area","77,505","± 1,289"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","160,429","± 2,380"
"Napa, CA Metro Area","68,069","± 1,100"
"Naples-Marco Island, FL Metro Area","163,506","± 2,678"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","1,076,090","± 4,672"
"New Haven, CT Metro Area","287,656","± 2,398"
"New Orleans-Metairie, LA Metro Area","459,976","± 3,872"
"New York-Newark-Jersey City, NY-NJ Metro Area","9,731,475","± 18,202"
"Niles, MI Metro Area","70,170","± 1,323"
"North Port-Bradenton-Sarasota, FL Metro Area","365,668","± 3,242"
"Norwich-New London-Willimantic, CT Metro Area","135,498","± 1,719"
"Ocala, FL Metro Area","148,029","± 2,354"
"Odessa, TX Metro Area","75,536","± 1,584"
"Ogden, UT Metro Area","323,244","± 2,153"
"Oklahoma City, OK Metro Area","694,967","± 4,029"
"Olympia-Lacey-Tumwater, WA Metro Area","135,842","± 1,763"
"Omaha, NE-IA Metro Area","505,378","± 2,558"
"Orlando-Kissimmee-Sanford, FL Metro Area","1,359,780","± 6,086"
"Oshkosh-Neenah, WI Metro Area","91,076","± 1,021"
"Owensboro, KY Metro Area","51,425","± 1,018"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","407,470","± 2,955"
"Paducah, KY-IL Metro Area","45,564","± 915"
"Palm Bay-Melbourne-Titusville, FL Metro Area","279,335","± 2,771"
"Panama City-Panama City Beach, FL Metro Area","96,032","± 1,433"
"Parkersburg-Vienna, WV Metro Area","37,571","± 912"
"Pensacola-Ferry Pass-Brent, FL Metro Area","226,117","± 2,497"
"Peoria, IL Metro Area","170,599","± 1,484"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","3,122,168","± 8,572"
"Phoenix-Mesa-Chandler, AZ Metro Area","2,396,814","± 7,129"
"Pinehurst-Southern Pines, NC Metro Area","41,485","± 1,344"
"Pittsburgh, PA Metro Area","1,210,525","± 5,042"
"Pittsfield, MA Metro Area","63,154","± 1,160"
"Pocatello, ID Metro Area","40,552","± 843"
"Ponce, PR Metro Area","80,161","± 1,844"
"Portland-South Portland, ME Metro Area","301,174","± 2,582"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","1,297,840","± 5,113"
"Port St. Lucie, FL Metro Area","220,264","± 2,949"
"Prescott Valley-Prescott, AZ Metro Area","96,693","± 1,910"
"Providence-Warwick, RI-MA Metro Area","847,292","± 5,452"
"Provo-Orem-Lehi, UT Metro Area","343,138","± 2,147"
"Pueblo, CO Metro Area","71,066","± 1,339"
"Punta Gorda, FL Metro Area","70,371","± 1,570"
"Racine-Mount Pleasant, WI Metro Area","96,127","± 1,219"
"Raleigh-Cary, NC Metro Area","756,731","± 4,085"
"Rapid City, SD Metro Area","73,935","± 1,260"
"Reading, PA Metro Area","211,518","± 1,962"
"Redding, CA Metro Area","76,845","± 1,534"
"Reno, NV Metro Area","277,950","± 2,324"
"Richmond, VA Metro Area","676,475","± 3,614"
"Riverside-San Bernardino-Ontario, CA Metro Area","2,051,577","± 7,614"
"Roanoke, VA Metro Area","147,885","± 1,915"
"Rochester, MN Metro Area","120,246","± 1,095"
"Rochester, NY Metro Area","518,225","± 2,945"
"Rockford, IL Metro Area","154,272","± 1,599"
"Rocky Mount, NC Metro Area","63,351","± 1,445"
"Rome, GA Metro Area","44,462","± 934"
"Sacramento-Roseville-Folsom, CA Metro Area","1,134,025","± 5,782"
"Saginaw, MI Metro Area","81,321","± 1,292"
"St. Cloud, MN Metro Area","105,910","± 1,168"
"St. George, UT Metro Area","82,248","± 1,500"
"St. Joseph, MO-KS Metro Area","55,097","± 927"
"St. Louis, MO-IL Metro Area","1,411,164","± 5,608"
"Salem, OR Metro Area","200,064","± 1,925"
"Salinas, CA Metro Area","186,050","± 1,895"
"Salisbury, MD Metro Area","60,714","± 1,385"
"Salt Lake City-Murray, UT Metro Area","673,516","± 3,653"
"San Angelo, TX Metro Area","56,084","± 1,130"
"San Antonio-New Braunfels, TX Metro Area","1,236,064","± 6,864"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","1,576,445","± 6,400"
"Sandusky, OH Metro Area","54,673","± 1,034"
"San Francisco-Oakland-Fremont, CA Metro Area","2,440,853","± 7,216"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","1,031,473","± 4,223"
"San Juan-Bayamón-Caguas, PR Metro Area","753,443","± 4,618"
"San Luis Obispo-Paso Robles, CA Metro Area","131,629","± 1,921"
"Santa Cruz-Watsonville, CA Metro Area","133,217","± 1,666"
"Santa Fe, NM Metro Area","72,053","± 1,325"
"Santa Maria-Santa Barbara, CA Metro Area","206,977","± 2,255"
"Santa Rosa-Petaluma, CA Metro Area","246,077","± 2,547"
"Savannah, GA Metro Area","195,614","± 2,040"
"Scranton--Wilkes-Barre, PA Metro Area","266,598","± 2,422"
"Seattle-Tacoma-Bellevue, WA Metro Area","2,111,989","± 6,954"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","65,205","± 1,557"
"Sebring, FL Metro Area","35,736","± 1,140"
"Sheboygan, WI Metro Area","60,796","± 972"
"Sherman-Denison, TX Metro Area","66,269","± 1,255"
"Shreveport-Bossier City, LA Metro Area","159,332","± 2,396"
"Sierra Vista-Douglas, AZ Metro Area","43,088","± 1,307"
"Sioux City, IA-NE-SD Metro Area","71,863","± 912"
"Sioux Falls, SD-MN Metro Area","163,317","± 1,437"
"Slidell-Mandeville-Covington, LA Metro Area","125,648","± 2,234"
"South Bend-Mishawaka, IN-MI Metro Area","153,366","± 1,642"
"Spartanburg, SC Metro Area","169,590","± 1,828"
"Spokane-Spokane Valley, WA Metro Area","270,525","± 2,445"
"Springfield, IL Metro Area","97,074","± 1,324"
"Springfield, MA Metro Area","214,730","± 2,362"
"Springfield, MO Metro Area","230,116","± 2,079"
"Springfield, OH Metro Area","59,841","± 1,059"
"State College, PA Metro Area","73,733","± 1,362"
"Staunton-Stuarts Draft, VA Metro Area","61,301","± 1,111"
"Stockton-Lodi, CA Metro Area","345,069","± 2,893"
"Sumter, SC Metro Area","40,885","± 1,307"
"Syracuse, NY Metro Area","313,263","± 2,630"
"Tallahassee, FL Metro Area","189,569","± 2,581"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","1,550,287","± 5,959"
"Terre Haute, IN Metro Area","75,105","± 1,318"
"Texarkana, TX-AR Metro Area","59,917","± 1,200"
"Toledo, OH Metro Area","290,342","± 2,472"
"Topeka, KS Metro Area","111,320","± 1,508"
"Traverse City, MI Metro Area","74,498","± 945"
"Trenton-Princeton, NJ Metro Area","186,085","± 2,144"
"Tucson, AZ Metro Area","468,800","± 3,810"
"Tulsa, OK Metro Area","484,163","± 2,471"
"Tuscaloosa, AL Metro Area","125,779","± 2,060"
"Twin Falls, ID Metro Area","54,752","± 1,023"
"Tyler, TX Metro Area","109,601","± 1,535"
"Urban Honolulu, HI Metro Area","462,629","± 3,258"
"Utica-Rome, NY Metro Area","129,997","± 1,661"
"Valdosta, GA Metro Area","62,796","± 1,590"
"Vallejo, CA Metro Area","209,241","± 1,964"
"Victoria, TX Metro Area","44,557","± 952"
"Vineland, NJ Metro Area","63,333","± 1,089"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","826,079","± 4,592"
"Visalia, CA Metro Area","192,571","± 2,391"
"Waco, TX Metro Area","136,096","± 1,688"
"Walla Walla, WA Metro Area","28,129","± 748"
"Warner Robins, GA Metro Area","88,532","± 1,971"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","3,338,015","± 6,826"
"Waterbury-Shelton, CT Metro Area","228,532","± 2,332"
"Waterloo-Cedar Falls, IA Metro Area","85,555","± 1,164"
"Watertown-Fort Drum, NY Metro Area","44,454","± 881"
"Wausau, WI Metro Area","72,092","± 745"
"Weirton-Steubenville, WV-OH Metro Area","50,677","± 983"
"Wenatchee-East Wenatchee, WA Metro Area","57,840","± 1,322"
"Wheeling, WV-OH Metro Area","60,384","± 1,005"
"Wichita, KS Metro Area","310,387","± 2,825"
"Wichita Falls, TX Metro Area","67,558","± 1,563"
"Wildwood-The Villages, FL Metro Area","30,456","± 1,223"
"Williamsport, PA Metro Area","52,630","± 832"
"Wilmington, NC Metro Area","206,784","± 2,071"
"Winchester, VA-WV Metro Area","69,078","± 1,287"
"Winston-Salem, NC Metro Area","316,250","± 3,137"
"Worcester, MA Metro Area","443,268","± 3,187"
"Yakima, WA Metro Area","110,162","± 1,887"
"York-Hanover, PA Metro Area","232,712","± 2,063"
"Youngstown-Warren, OH Metro Area","189,481","± 2,012"
"Yuba City, CA Metro Area","74,658","± 1,579"
"Yuma, AZ Metro Area","75,751","± 1,442"
