"Region","Civilian employed population 16 years and over","MoE"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","69.3%","± 0.8%"
"Denver-Aurora-Centennial, CO Metro Area","68.8%","± 0.3%"
"Des Moines-West Des Moines, IA Metro Area","69.9%","± 0.7%"
"Detroit-Warren-Dearborn, MI Metro Area","73.1%","± 0.2%"
"Dothan, AL Metro Area","68.4%","± 1.1%"
"Dover, DE Metro Area","62.2%","± 1.5%"
"Dubuque, IA Metro Area","69.0%","± 1.4%"
"Duluth, MN-WI Metro Area","62.5%","± 0.9%"
"Durham-Chapel Hill, NC Metro Area","60.0%","± 0.9%"
"Eagle Pass, TX Metro Area","63.3%","± 3.3%"
"Eau Claire, WI Metro Area","68.5%","± 1.1%"
"El Centro, CA Metro Area","60.8%","± 1.7%"
"Elizabethtown, KY Metro Area","67.9%","± 2.2%"
"Elkhart-Goshen, IN Metro Area","73.6%","± 1.3%"
"Elmira, NY Metro Area","59.6%","± 1.7%"
"El Paso, TX Metro Area","64.2%","± 0.8%"
"Enid, OK Metro Area","66.2%","± 2.0%"
"Erie, PA Metro Area","65.8%","± 1.1%"
"Eugene-Springfield, OR Metro Area","60.6%","± 0.9%"
"Evansville, IN Metro Area","71.7%","± 1.0%"
"Fairbanks-College, AK Metro Area","52.9%","± 2.6%"
"Fargo, ND-MN Metro Area","65.5%","± 1.0%"
"Farmington, NM Metro Area","63.1%","± 1.7%"
"Fayetteville, NC Metro Area","64.4%","± 0.9%"
"Fayetteville-Springdale-Rogers, AR Metro Area","70.7%","± 0.8%"
"Flagstaff, AZ Metro Area","58.0%","± 1.5%"
"Flint, MI Metro Area","72.6%","± 1.0%"
"Florence, SC Metro Area","66.8%","± 1.6%"
"Florence-Muscle Shoals, AL Metro Area","70.7%","± 1.6%"
"Fond du Lac, WI Metro Area","73.7%","± 1.3%"
"Fort Collins-Loveland, CO Metro Area","63.9%","± 1.0%"
"Fort Smith, AR-OK Metro Area","69.0%","± 1.4%"
"Fort Wayne, IN Metro Area","70.8%","± 0.9%"
"Fresno, CA Metro Area","63.6%","± 0.6%"
"Gadsden, AL Metro Area","69.5%","± 2.0%"
"Gainesville, FL Metro Area","54.9%","± 1.4%"
"Gainesville, GA Metro Area","72.3%","± 1.0%"
"Gettysburg, PA Metro Area","68.2%","± 1.3%"
"Glens Falls, NY Metro Area","59.9%","± 1.8%"
"Goldsboro, NC Metro Area","67.7%","± 1.8%"
"Grand Forks, ND-MN Metro Area","58.9%","± 1.4%"
"Grand Island, NE Metro Area","69.3%","± 1.6%"
"Grand Junction, CO Metro Area","62.9%","± 1.5%"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","70.6%","± 0.5%"
"Grants Pass, OR Metro Area","59.5%","± 2.4%"
"Great Falls, MT Metro Area","58.5%","± 2.0%"
"Greeley, CO Metro Area","68.4%","± 0.9%"
"Green Bay, WI Metro Area","72.7%","± 1.0%"
"Greensboro-High Point, NC Metro Area","70.2%","± 0.7%"
"Greenville, NC Metro Area","64.2%","± 1.8%"
"Greenville-Anderson-Greer, SC Metro Area","70.6%","± 0.7%"
"Guayama, PR Metro Area","66.7%","± 2.8%"
"Gulfport-Biloxi, MS Metro Area","65.2%","± 1.2%"
"Hagerstown-Martinsburg, MD-WV Metro Area","66.6%","± 1.1%"
"Hammond, LA Metro Area","67.0%","± 2.0%"
"Hanford-Corcoran, CA Metro Area","63.6%","± 1.9%"
"Harrisburg-Carlisle, PA Metro Area","64.3%","± 0.7%"
"Harrisonburg, VA Metro Area","66.0%","± 1.4%"
"Hartford-West Hartford-East Hartford, CT Metro Area","67.4%","± 0.6%"
"Hattiesburg, MS Metro Area","66.4%","± 1.6%"
"Helena, MT Metro Area","49.0%","± 1.8%"
"Hickory-Lenoir-Morganton, NC Metro Area","71.0%","± 0.9%"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","65.5%","± 1.8%"
"Hinesville, GA Metro Area","63.7%","± 2.5%"
"Homosassa Springs, FL Metro Area","69.8%","± 1.8%"
"Hot Springs, AR Metro Area","67.9%","± 2.0%"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","70.2%","± 1.5%"
"Houston-Pasadena-The Woodlands, TX Metro Area","71.2%","± 0.3%"
"Huntington-Ashland, WV-KY-OH Metro Area","63.8%","± 1.1%"
"Huntsville, AL Metro Area","66.9%","± 0.9%"
"Idaho Falls, ID Metro Area","65.9%","± 1.6%"
"Indianapolis-Carmel-Greenwood, IN Metro Area","70.0%","± 0.4%"
"Iowa City, IA Metro Area","54.6%","± 1.2%"
"Ithaca, NY Metro Area","44.9%","± 1.9%"
"Jackson, MI Metro Area","69.0%","± 1.4%"
"Jackson, MS Metro Area","63.5%","± 1.0%"
"Jackson, TN Metro Area","68.3%","± 1.4%"
"Jacksonville, FL Metro Area","69.1%","± 0.5%"
"Jacksonville, NC Metro Area","62.7%","± 1.7%"
"Janesville-Beloit, WI Metro Area","71.2%","± 1.1%"
"Jefferson City, MO Metro Area","58.1%","± 1.5%"
"Johnson City, TN Metro Area","65.7%","± 1.5%"
"Johnstown, PA Metro Area","68.1%","± 1.4%"
"Jonesboro, AR Metro Area","64.6%","± 1.6%"
"Joplin, MO-KS Metro Area","68.3%","± 1.1%"
"Kahului-Wailuku, HI Metro Area","63.5%","± 1.4%"
"Kalamazoo-Portage, MI Metro Area","69.4%","± 1.0%"
"Kankakee, IL Metro Area","70.0%","± 1.3%"
"Kansas City, MO-KS Metro Area","69.7%","± 0.4%"
"Kennewick-Richland, WA Metro Area","66.0%","± 1.0%"
"Kenosha, WI Metro Area","71.4%","± 1.3%"
"Killeen-Temple, TX Metro Area","61.8%","± 1.2%"
"Kingsport-Bristol, TN-VA Metro Area","69.5%","± 1.2%"
"Kingston, NY Metro Area","55.4%","± 1.6%"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","61.7%","± 0.7%"
"Knoxville, TN Metro Area","68.4%","± 0.7%"
"Kokomo, IN Metro Area","72.7%","± 2.0%"
"La Crosse-Onalaska, WI-MN Metro Area","65.5%","± 1.4%"
"Lafayette, LA Metro Area","68.6%","± 1.2%"
"Lafayette-West Lafayette, IN Metro Area","64.6%","± 1.2%"
"Lake Charles, LA Metro Area","70.2%","± 1.5%"
"Lake Havasu City-Kingman, AZ Metro Area","67.4%","± 1.4%"
"Lakeland-Winter Haven, FL Metro Area","73.8%","± 0.8%"
"Lancaster, PA Metro Area","69.4%","± 0.7%"
"Lansing-East Lansing, MI Metro Area","60.9%","± 0.9%"
"Laredo, TX Metro Area","69.8%","± 1.4%"
"Las Cruces, NM Metro Area","60.1%","± 1.6%"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","75.0%","± 0.4%"
"Lawrence, KS Metro Area","60.9%","± 2.1%"
"Lawton, OK Metro Area","58.2%","± 1.7%"
"Lebanon, PA Metro Area","67.3%","± 1.5%"
"Lewiston, ID-WA Metro Area","64.8%","± 2.1%"
"Lewiston-Auburn, ME Metro Area","65.8%","± 1.7%"
"Lexington-Fayette, KY Metro Area","65.2%","± 0.8%"
"Lexington Park, MD Metro Area","55.2%","± 1.4%"
"Lima, OH Metro Area","72.9%","± 1.6%"
"Lincoln, NE Metro Area","62.7%","± 0.8%"
"Little Rock-North Little Rock-Conway, AR Metro Area","63.0%","± 0.9%"
"Logan, UT-ID Metro Area","67.2%","± 1.3%"
"Longview, TX Metro Area","69.6%","± 1.4%"
"Longview-Kelso, WA Metro Area","67.4%","± 1.9%"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","66.8%","± 0.1%"
"Louisville/Jefferson County, KY-IN Metro Area","71.4%","± 0.5%"
"Lubbock, TX Metro Area","64.6%","± 1.0%"
"Lynchburg, VA Metro Area","64.8%","± 1.1%"
"Macon-Bibb County, GA Metro Area","66.4%","± 1.6%"
"Madison, WI Metro Area","63.2%","± 0.6%"
"Manchester-Nashua, NH Metro Area","70.3%","± 0.9%"
"Manhattan, KS Metro Area","54.9%","± 1.7%"
"Mankato, MN Metro Area","65.4%","± 1.3%"
"Mansfield, OH Metro Area","70.1%","± 1.9%"
"Mayagüez, PR Metro Area","65.1%","± 1.7%"
"McAllen-Edinburg-Mission, TX Metro Area","65.3%","± 1.0%"
"Medford, OR Metro Area","61.7%","± 1.5%"
"Memphis, TN-MS-AR Metro Area","69.4%","± 0.6%"
"Merced, CA Metro Area","69.7%","± 1.1%"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","69.0%","± 0.3%"
"Michigan City-La Porte, IN Metro Area","73.0%","± 1.6%"
"Midland, MI Metro Area","69.5%","± 1.5%"
"Midland, TX Metro Area","69.8%","± 1.9%"
"Milwaukee-Waukesha, WI Metro Area","70.2%","± 0.4%"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","68.2%","± 0.3%"
"Minot, ND Metro Area","59.1%","± 2.2%"
"Missoula, MT Metro Area","60.2%","± 1.6%"
"Mobile, AL Metro Area","68.6%","± 0.9%"
"Modesto, CA Metro Area","68.8%","± 0.8%"
"Monroe, LA Metro Area","67.7%","± 1.5%"
"Monroe, MI Metro Area","72.2%","± 1.3%"
"Montgomery, AL Metro Area","63.0%","± 1.0%"
"Morgantown, WV Metro Area","59.0%","± 1.6%"
"Morristown, TN Metro Area","73.7%","± 1.9%"
"Mount Vernon-Anacortes, WA Metro Area","65.4%","± 1.5%"
"Muncie, IN Metro Area","67.3%","± 1.6%"
"Muskegon-Norton Shores, MI Metro Area","72.1%","± 1.2%"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","70.1%","± 1.0%"
"Napa, CA Metro Area","64.8%","± 1.2%"
"Naples-Marco Island, FL Metro Area","66.6%","± 1.5%"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","69.5%","± 0.4%"
"New Haven, CT Metro Area","62.7%","± 0.9%"
"New Orleans-Metairie, LA Metro Area","64.3%","± 0.7%"
"New York-Newark-Jersey City, NY-NJ Metro Area","66.0%","± 0.2%"
"Niles, MI Metro Area","67.8%","± 1.1%"
"North Port-Bradenton-Sarasota, FL Metro Area","67.6%","± 0.9%"
"Norwich-New London-Willimantic, CT Metro Area","65.5%","± 1.1%"
"Ocala, FL Metro Area","69.6%","± 1.1%"
"Odessa, TX Metro Area","71.1%","± 1.8%"
"Ogden, UT Metro Area","67.0%","± 0.7%"
"Oklahoma City, OK Metro Area","63.9%","± 0.5%"
"Olympia-Lacey-Tumwater, WA Metro Area","53.4%","± 1.2%"
"Omaha, NE-IA Metro Area","67.4%","± 0.5%"
"Orlando-Kissimmee-Sanford, FL Metro Area","72.0%","± 0.4%"
"Oshkosh-Neenah, WI Metro Area","72.3%","± 1.2%"
"Owensboro, KY Metro Area","69.3%","± 1.6%"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","67.7%","± 0.6%"
"Paducah, KY-IL Metro Area","70.1%","± 2.1%"
"Palm Bay-Melbourne-Titusville, FL Metro Area","69.1%","± 0.9%"
"Panama City-Panama City Beach, FL Metro Area","62.9%","± 1.5%"
"Parkersburg-Vienna, WV Metro Area","67.6%","± 2.0%"
"Pensacola-Ferry Pass-Brent, FL Metro Area","64.3%","± 1.0%"
"Peoria, IL Metro Area","68.0%","± 0.9%"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","67.2%","± 0.3%"
"Phoenix-Mesa-Chandler, AZ Metro Area","71.2%","± 0.3%"
"Pinehurst-Southern Pines, NC Metro Area","60.5%","± 1.9%"
"Pittsburgh, PA Metro Area","67.6%","± 0.3%"
"Pittsfield, MA Metro Area","53.7%","± 1.4%"
"Pocatello, ID Metro Area","66.1%","± 2.1%"
"Ponce, PR Metro Area","64.8%","± 1.4%"
"Portland-South Portland, ME Metro Area","61.3%","± 0.8%"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","67.5%","± 0.3%"
"Port St. Lucie, FL Metro Area","68.4%","± 1.1%"
"Prescott Valley-Prescott, AZ Metro Area","62.1%","± 1.5%"
"Providence-Warwick, RI-MA Metro Area","66.8%","± 0.4%"
"Provo-Orem-Lehi, UT Metro Area","70.0%","± 0.6%"
"Pueblo, CO Metro Area","63.3%","± 1.4%"
"Punta Gorda, FL Metro Area","69.1%","± 2.0%"
"Racine-Mount Pleasant, WI Metro Area","72.5%","± 1.2%"
"Raleigh-Cary, NC Metro Area","70.3%","± 0.5%"
"Rapid City, SD Metro Area","59.5%","± 1.4%"
"Reading, PA Metro Area","72.7%","± 0.8%"
"Redding, CA Metro Area","60.8%","± 1.5%"
"Reno, NV Metro Area","71.7%","± 0.7%"
"Richmond, VA Metro Area","65.6%","± 0.5%"
"Riverside-San Bernardino-Ontario, CA Metro Area","67.7%","± 0.3%"
"Roanoke, VA Metro Area","67.1%","± 1.1%"
"Rochester, MN Metro Area","49.5%","± 1.2%"
"Rochester, NY Metro Area","61.6%","± 0.5%"
"Rockford, IL Metro Area","72.2%","± 0.9%"
"Rocky Mount, NC Metro Area","72.4%","± 1.4%"
"Rome, GA Metro Area","70.3%","± 1.8%"
"Sacramento-Roseville-Folsom, CA Metro Area","59.1%","± 0.4%"
"Saginaw, MI Metro Area","70.2%","± 1.1%"
"St. Cloud, MN Metro Area","65.0%","± 1.0%"
"St. George, UT Metro Area","66.4%","± 1.6%"
"St. Joseph, MO-KS Metro Area","69.0%","± 1.6%"
"St. Louis, MO-IL Metro Area","69.1%","± 0.4%"
"Salem, OR Metro Area","63.6%","± 0.9%"
"Salinas, CA Metro Area","65.9%","± 1.0%"
"Salisbury, MD Metro Area","63.3%","± 1.5%"
"Salt Lake City-Murray, UT Metro Area","69.8%","± 0.5%"
"San Angelo, TX Metro Area","61.6%","± 1.9%"
"San Antonio-New Braunfels, TX Metro Area","68.0%","± 0.4%"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","65.7%","± 0.3%"
"Sandusky, OH Metro Area","67.0%","± 1.6%"
"San Francisco-Oakland-Fremont, CA Metro Area","67.0%","± 0.3%"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","74.9%","± 0.4%"
"San Juan-Bayamón-Caguas, PR Metro Area","62.6%","± 0.5%"
"San Luis Obispo-Paso Robles, CA Metro Area","62.4%","± 1.3%"
"Santa Cruz-Watsonville, CA Metro Area","60.3%","± 1.4%"
"Santa Fe, NM Metro Area","50.0%","± 1.5%"
"Santa Maria-Santa Barbara, CA Metro Area","63.2%","± 0.8%"
"Santa Rosa-Petaluma, CA Metro Area","63.4%","± 0.9%"
"Savannah, GA Metro Area","68.8%","± 1.1%"
"Scranton--Wilkes-Barre, PA Metro Area","69.6%","± 0.8%"
"Seattle-Tacoma-Bellevue, WA Metro Area","68.8%","± 0.3%"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","68.8%","± 1.7%"
"Sebring, FL Metro Area","63.2%","± 2.4%"
"Sheboygan, WI Metro Area","75.2%","± 1.3%"
"Sherman-Denison, TX Metro Area","71.2%","± 1.8%"
"Shreveport-Bossier City, LA Metro Area","64.0%","± 1.0%"
"Sierra Vista-Douglas, AZ Metro Area","55.1%","± 1.8%"
"Sioux City, IA-NE-SD Metro Area","71.7%","± 1.3%"
"Sioux Falls, SD-MN Metro Area","67.2%","± 1.0%"
"Slidell-Mandeville-Covington, LA Metro Area","65.0%","± 1.4%"
"South Bend-Mishawaka, IN-MI Metro Area","68.4%","± 1.0%"
"Spartanburg, SC Metro Area","73.5%","± 1.3%"
"Spokane-Spokane Valley, WA Metro Area","63.7%","± 0.8%"
"Springfield, IL Metro Area","54.9%","± 1.1%"
"Springfield, MA Metro Area","63.3%","± 1.0%"
"Springfield, MO Metro Area","66.2%","± 0.9%"
"Springfield, OH Metro Area","69.6%","± 1.3%"
"State College, PA Metro Area","56.4%","± 1.5%"
"Staunton-Stuarts Draft, VA Metro Area","67.0%","± 1.6%"
"Stockton-Lodi, CA Metro Area","69.3%","± 0.8%"
"Sumter, SC Metro Area","63.8%","± 2.4%"
"Syracuse, NY Metro Area","60.8%","± 0.7%"
"Tallahassee, FL Metro Area","53.3%","± 1.1%"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","70.5%","± 0.4%"
"Terre Haute, IN Metro Area","67.1%","± 1.4%"
"Texarkana, TX-AR Metro Area","67.4%","± 1.7%"
"Toledo, OH Metro Area","68.8%","± 0.8%"
"Topeka, KS Metro Area","60.1%","± 1.1%"
"Traverse City, MI Metro Area","64.2%","± 1.3%"
"Trenton-Princeton, NJ Metro Area","65.9%","± 1.0%"
"Tucson, AZ Metro Area","63.8%","± 0.7%"
"Tulsa, OK Metro Area","69.8%","± 0.4%"
"Tuscaloosa, AL Metro Area","64.5%","± 1.5%"
"Twin Falls, ID Metro Area","67.2%","± 1.6%"
"Tyler, TX Metro Area","68.5%","± 1.5%"
"Urban Honolulu, HI Metro Area","57.7%","± 0.6%"
"Utica-Rome, NY Metro Area","58.8%","± 1.1%"
"Valdosta, GA Metro Area","68.2%","± 1.7%"
"Vallejo, CA Metro Area","65.2%","± 0.9%"
"Victoria, TX Metro Area","70.1%","± 1.9%"
"Vineland, NJ Metro Area","66.9%","± 2.0%"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","62.2%","± 0.5%"
"Visalia, CA Metro Area","65.3%","± 1.0%"
"Waco, TX Metro Area","67.6%","± 1.2%"
"Walla Walla, WA Metro Area","58.6%","± 2.2%"
"Warner Robins, GA Metro Area","60.2%","± 1.9%"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","56.9%","± 0.3%"
"Waterbury-Shelton, CT Metro Area","66.8%","± 1.0%"
"Waterloo-Cedar Falls, IA Metro Area","67.8%","± 1.2%"
"Watertown-Fort Drum, NY Metro Area","57.7%","± 1.9%"
"Wausau, WI Metro Area","70.2%","± 1.1%"
"Weirton-Steubenville, WV-OH Metro Area","68.2%","± 2.1%"
"Wenatchee-East Wenatchee, WA Metro Area","66.9%","± 1.9%"
"Wheeling, WV-OH Metro Area","69.8%","± 1.5%"
"Wichita, KS Metro Area","69.5%","± 0.7%"
"Wichita Falls, TX Metro Area","64.8%","± 1.3%"
"Wildwood-The Villages, FL Metro Area","69.4%","± 2.4%"
"Williamsport, PA Metro Area","67.4%","± 1.5%"
"Wilmington, NC Metro Area","66.1%","± 1.0%"
"Winchester, VA-WV Metro Area","64.7%","± 1.7%"
"Winston-Salem, NC Metro Area","68.7%","± 0.8%"
"Worcester, MA Metro Area","67.5%","± 0.6%"
"Yakima, WA Metro Area","67.3%","± 1.2%"
"York-Hanover, PA Metro Area","69.6%","± 0.9%"
"Youngstown-Warren, OH Metro Area","69.8%","± 0.9%"
"Yuba City, CA Metro Area","63.9%","± 1.8%"
"Yuma, AZ Metro Area","64.5%","± 1.7%"
