"Geographic Area Name","Median gross rent (2024)","MoE"
"Eastvale city, California","3,369","± 411"
"El Cajon city, California","2,013","± 102"
"Elk Grove city, California","2,352","± 160"
"El Monte city, California","1,787","± 60"
"Escondido city, California","2,230","± 72"
"Fairfield city, California","2,294","± 89"
"Folsom city, California","2,363","± 90"
"Fontana city, California","2,185","± 115"
"Fremont city, California","2,914","± 121"
"Fresno city, California","1,552","± 54"
"Fullerton city, California","2,215","± 80"
"Garden Grove city, California","2,184","± 95"
"Glendale city, California","2,221","± 88"
"Hawthorne city, California","1,853","± 64"
"Hayward city, California","2,333","± 77"
"Hemet city, California","1,683","± 159"
"Hesperia city, California","1,724","± 163"
"Huntington Beach city, California","2,507","± 102"
"Indio city, California","1,596","± 132"
"Inglewood city, California","1,856","± 95"
"Irvine city, California","3,091","± 166"
"Jurupa Valley city, California","1,921","± 187"
"Lake Elsinore city, California","2,193","± 159"
"Lake Forest city, California","2,791","± 251"
"Lakewood city, California","2,263","± 116"
"Lancaster city, California","1,931","± 135"
"Livermore city, California","2,722","± 198"
"Lodi city, California","1,755","± 184"
"Long Beach city, California","1,962","± 57"
"Los Angeles city, California","1,958","± 21"
"Lynwood city, California","1,664","± 123"
"Madera city, California","1,440","± 141"
"Manteca city, California","2,127","± 184"
"Menifee city, California","2,100","± 245"
"Merced city, California","1,628","± 118"
"Milpitas city, California","2,968","± 272"
"Mission Viejo city, California","3,193","± 306"
"Modesto city, California","1,822","± 76"
"Moreno Valley city, California","2,206","± 90"
"Mountain View city, California","3,325","± 200"
"Murrieta city, California","2,448","± 138"
"Napa city, California","2,752","± 412"
"Newport Beach city, California","3,208","± 172"
"Norwalk city, California","2,239","± 132"
"Oakland city, California","2,008","± 81"
"Oceanside city, California","2,370","± 100"
"Ontario city, California","2,250","± 89"
"Orange city, California","2,411","± 104"
"Oxnard city, California","2,111","± 163"
"Palmdale city, California","1,869","± 108"
"Palo Alto city, California","3,326","± 387"
"Pasadena city, California","2,191","± 97"
"Perris city, California","1,845","± 227"
"Pittsburg city, California","2,330","± 167"
"Pleasanton city, California","3,197","± 414"
"Pomona city, California","1,967","± 111"
"Rancho Cordova city, California","1,923","± 155"
"Rancho Cucamonga city, California","2,370","± 90"
"Redding city, California","1,471","± 114"
"Redlands city, California","2,115","± 155"
"Redondo Beach city, California","2,632","± 177"
"Redwood City city, California","2,982","± 268"
"Rialto city, California","1,895","± 133"
"Richmond city, California","2,134","± 237"
"Riverside city, California","2,060","± 90"
"Rocklin city, California","2,314","± 95"
"Roseville city, California","2,146","± 133"
"Sacramento city, California","1,846","± 48"
"Salinas city, California","1,972","± 102"
"San Bernardino city, California","1,621","± 107"
"San Buenaventura (Ventura) city, California","2,251","± 91"
"San Diego city, California","2,414","± 34"
"San Francisco city, California","2,448","± 59"
"San Jose city, California","2,674","± 70"
"San Leandro city, California","2,114","± 135"
"San Marcos city, California","2,616","± 171"
"San Mateo city, California","2,838","± 145"
"San Ramon city, California","3,041","± 433"
"Santa Ana city, California","2,184","± 69"
"Santa Barbara city, California","2,313","± 141"
"Santa Clara city, California","2,900","± 152"
"Santa Clarita city, California","2,596","± 170"
"Santa Maria city, California","2,010","± 129"
"Santa Monica city, California","2,450","± 161"
"Santa Rosa city, California","2,133","± 93"
"Simi Valley city, California","2,652","± 151"
"South Gate city, California","1,602","± 96"
"Stockton city, California","1,635","± 78"
"Sunnyvale city, California","2,889","± 106"
"Temecula city, California","2,575","± 239"
"Thousand Oaks city, California","2,793","± 225"
"Torrance city, California","2,263","± 122"
"Tracy city, California","2,498","± 214"
"Tulare city, California","1,633","± 210"
"Turlock city, California","1,652","± 109"
"Tustin city, California","2,604","± 162"
"Union City city, California","2,522","± 201"
"Upland city, California","1,959","± 143"
"Vacaville city, California","2,381","± 217"
"Vallejo city, California","2,104","± 143"
"Victorville city, California","1,798","± 231"
"Visalia city, California","1,628","± 81"
"Vista city, California","2,305","± 62"
"Walnut Creek city, California","2,509","± 196"
"West Covina city, California","2,296","± 115"
"Westminster city, California","2,159","± 87"
"Whittier city, California","2,047","± 174"
"Yorba Linda city, California","2,568","± 750"
"Yuba City city, California","1,532","± 186"
"Arvada city, Colorado","1,901","± 140"
"Aurora city, Colorado","1,932","± 72"
"Boulder city, Colorado","2,068","± 104"
"Broomfield city, Colorado","2,141","± 113"
"Castle Rock town, Colorado","2,010","± 203"
"Centennial city, Colorado","2,213","± 170"
"Colorado Springs city, Colorado","1,699","± 48"
"Commerce City city, Colorado","2,294","± 683"
"Denver city, Colorado","1,870","± 35"
"Fort Collins city, Colorado","1,720","± 68"
"Grand Junction city, Colorado","1,208","± 167"
"Greeley city, Colorado","1,441","± 88"
"Highlands Ranch CDP, Colorado","2,833","± 228"
"Lakewood city, Colorado","1,853","± 58"
"Longmont city, Colorado","1,834","± 73"
"Loveland city, Colorado","1,755","± 173"
"Parker town, Colorado","2,235","± 224"
"Pueblo city, Colorado","1,117","± 62"
"Thornton city, Colorado","2,075","± 120"
"Westminster city, Colorado","2,044","± 96"
"Bridgeport city, Connecticut","1,563","± 95"
"Danbury city, Connecticut","1,865","± 193"
"Hartford city, Connecticut","1,283","± 47"
"New Britain city, Connecticut","1,364","± 65"
"New Haven city, Connecticut","1,574","± 90"
"Norwalk city, Connecticut","2,031","± 136"
"Stamford city, Connecticut","2,442","± 165"
"Waterbury city, Connecticut","1,305","± 111"
"Wilmington city, Delaware","1,325","± 85"
"Washington city, District of Columbia","1,931","± 43"
"Alafaya CDP, Florida","2,113","± 160"
"Boca Raton city, Florida","2,690","± 214"
"Boynton Beach city, Florida","2,322","± 136"
"Brandon CDP, Florida","1,832","± 67"
"Cape Coral city, Florida","1,998","± 133"
"Clearwater city, Florida","1,752","± 97"
"Coral Springs city, Florida","2,248","± 128"
"Davie town, Florida","2,176","± 96"
"Daytona Beach city, Florida","1,533","± 117"
"Deerfield Beach city, Florida","2,084","± 95"
"Delray Beach city, Florida","2,196","± 206"
"Deltona city, Florida","2,019","± 224"
"Doral city, Florida","2,781","± 86"
"Fort Lauderdale city, Florida","1,953","± 101"
"Fort Myers city, Florida","1,765","± 71"
"Four Corners CDP, Florida","1,899","± 119"
"Gainesville city, Florida","1,366","± 73"
"Hialeah city, Florida","1,913","± 74"
"Hollywood city, Florida","1,886","± 100"
"Homestead city, Florida","1,764","± 132"
"Horizon West CDP, Florida","2,753","± 242"
"Jacksonville city, Florida","1,568","± 41"
"Kendall CDP, Florida","2,155","± 111"
"Kissimmee city, Florida","1,673","± 93"
"Lakeland city, Florida","1,447","± 111"
"Largo city, Florida","1,722","± 98"
"Lauderhill city, Florida","1,892","± 142"
"Lehigh Acres CDP, Florida","1,937","± 152"
"Melbourne city, Florida","1,669","± 61"
"Miami city, Florida","1,975","± 67"
"Miami Beach city, Florida","2,148","± 143"
"Miami Gardens city, Florida","2,022","± 162"
"Miramar city, Florida","2,360","± 139"
"North Port city, Florida","2,020","± 167"
"Ocala city, Florida","1,628","± 125"
"Orlando city, Florida","1,841","± 43"
"Palm Bay city, Florida","1,735","± 98"
"Palm Coast city, Florida","1,831","± 229"
"Pembroke Pines city, Florida","2,373","± 129"
"Pine Hills CDP, Florida","1,595","± 300"
"Plantation city, Florida","2,479","± 203"
"Poinciana CDP, Florida","2,021","± 203"
"Pompano Beach city, Florida","2,059","± 148"
"Port Charlotte CDP, Florida","1,859","± 190"
"Port Orange city, Florida","1,808","± 142"
"Port St. Lucie city, Florida","2,133","± 120"
"Riverview CDP, Florida","2,071","± 215"
"St. Cloud city, Florida","2,155","± 388"
"St. Petersburg city, Florida","1,805","± 73"
"Sanford city, Florida","1,726","± 121"
"Spring Hill CDP, Florida","1,665","± 178"
"Sunrise city, Florida","2,224","± 60"
"Tallahassee city, Florida","1,369","± 57"
"Tamarac city, Florida","2,137","± 100"
"Tampa city, Florida","1,898","± 71"
"Town 'n' Country CDP, Florida","1,827","± 69"
"Wesley Chapel CDP, Florida","2,070","± 229"
"Weston city, Florida","3,013","± 385"
"West Palm Beach city, Florida","1,897","± 100"
"Albany city, Georgia","964","± 55"
"Alpharetta city, Georgia","2,161","± 162"
"Athens-Clarke County unified government (balance), Georgia","1,249","± 81"
"Atlanta city, Georgia","1,765","± 41"
"Augusta-Richmond County consolidated government (balance), Georgia","1,328","± 70"
"Columbus city, Georgia","1,177","± 47"
"Johns Creek city, Georgia","2,431","± 225"
"Mableton city, Georgia","1,557","± 116"
"Macon-Bibb County, Georgia","1,132","± 60"
"Roswell city, Georgia","1,853","± 72"
"Sandy Springs city, Georgia","1,921","± 66"
"Savannah city, Georgia","1,519","± 86"
"South Fulton city, Georgia","1,828","± 99"
"Warner Robins city, Georgia","1,306","± 121"
"Urban Honolulu CDP, Hawaii","1,815","± 45"
"Boise City city, Idaho","1,535","± 66"
"Caldwell city, Idaho","1,451","± 138"
"Idaho Falls city, Idaho","1,237","± 89"
"Meridian city, Idaho","1,873","± 78"
"Nampa city, Idaho","1,497","± 104"
"Arlington Heights village, Illinois","1,813","± 170"
"Aurora city, Illinois","1,632","± 114"
"Bloomington city, Illinois","1,081","± 85"
"Bolingbrook village, Illinois","1,760","± 230"
"Champaign city, Illinois","1,190","± 87"
"Chicago city, Illinois","1,486","± 24"
"Cicero town, Illinois","1,278","± 114"
"Decatur city, Illinois","892","± 46"
"Elgin city, Illinois","1,597","± 91"
"Evanston city, Illinois","1,737","± 121"
"Joliet city, Illinois","1,278","± 102"
"Naperville city, Illinois","1,913","± 82"
"Palatine village, Illinois","1,673","± 116"
"Peoria city, Illinois","1,105","± 66"
"Rockford city, Illinois","985","± 46"
"Schaumburg village, Illinois","1,870","± 138"
"Skokie village, Illinois","1,570","± 145"
"Springfield city, Illinois","1,071","± 40"
"Waukegan city, Illinois","1,322","± 95"
"Bloomington city, Indiana","1,196","± 73"
"Carmel city, Indiana","1,782","± 65"
"Evansville city, Indiana","1,010","± 55"
"Fishers city, Indiana","1,712","± 190"
"Fort Wayne city, Indiana","1,051","± 34"
"Gary city, Indiana","968","± 81"
"Greenwood city, Indiana","1,330","± 103"
"Hammond city, Indiana","1,232","± 86"
"Indianapolis city (balance), Indiana","1,219","± 33"
"Lafayette city, Indiana","1,132","± 52"
"Muncie city, Indiana","959","± 81"
"Noblesville city, Indiana","1,475","± 99"
"South Bend city, Indiana","1,113","± 62"
"Ames city, Iowa","956","± 28"
"Ankeny city, Iowa","1,398","± 88"
"Cedar Rapids city, Iowa","1,005","± 74"
"Davenport city, Iowa","1,041","± 83"
"Des Moines city, Iowa","1,107","± 40"
"Iowa City city, Iowa","1,106","± 134"
"Sioux City city, Iowa","992","± 73"
"Waterloo city, Iowa","1,005","± 67"
"West Des Moines city, Iowa","1,325","± 73"
"Kansas City city, Kansas","1,232","± 73"
"Lawrence city, Kansas","1,106","± 61"
"Olathe city, Kansas","1,295","± 113"
"Overland Park city, Kansas","1,591","± 75"
"Shawnee city, Kansas","1,449","± 95"
"Topeka city, Kansas","1,018","± 58"
"Wichita city, Kansas","989","± 39"
"Bowling Green city, Kentucky","1,092","± 83"
"Lexington-Fayette urban county, Kentucky","1,281","± 46"
"Louisville/Jefferson County metro government (balance), Kentucky","1,144","± 35"
"Baton Rouge city, Louisiana","1,081","± 51"
"Kenner city, Louisiana","1,212","± 92"
"Lafayette city, Louisiana","1,042","± 79"
"Lake Charles city, Louisiana","1,026","± 80"
"Metairie CDP, Louisiana","1,186","± 65"
"New Orleans city, Louisiana","1,310","± 43"
"Shreveport city, Louisiana","964","± 44"
"Portland city, Maine","1,711","± 71"
"Baltimore city, Maryland","1,345","± 41"
"Bethesda CDP, Maryland","2,364","± 227"
"Columbia CDP, Maryland","2,139","± 157"
"Ellicott City CDP, Maryland","1,996","± 354"
"Frederick city, Maryland","1,837","± 73"
"Gaithersburg city, Maryland","2,002","± 172"
"Germantown CDP, Maryland","2,188","± 116"
"Glen Burnie CDP, Maryland","1,657","± 99"
"Rockville city, Maryland","2,291","± 124"
"Silver Spring CDP, Maryland","1,914","± 100"
"Waldorf CDP, Maryland","1,723","± 251"
"Boston city, Massachusetts","2,196","± 68"
"Brockton city, Massachusetts","1,700","± 148"
"Cambridge city, Massachusetts","2,746","± 136"
"Fall River city, Massachusetts","1,273","± 92"
"Framingham city, Massachusetts","2,112","± 145"
"Haverhill city, Massachusetts","1,822","± 134"
"Lawrence city, Massachusetts","1,737","± 96"
"Lowell city, Massachusetts","1,614","± 78"
"Lynn city, Massachusetts","1,789","± 191"
"Malden city, Massachusetts","2,314","± 179"
"New Bedford city, Massachusetts","1,225","± 83"
"Newton city, Massachusetts","2,324","± 211"
"Quincy city, Massachusetts","2,162","± 111"
"Somerville city, Massachusetts","2,575","± 171"
"Springfield city, Massachusetts","1,080","± 174"
"Waltham city, Massachusetts","2,378","± 265"
"Worcester city, Massachusetts","1,614","± 79"
"Ann Arbor city, Michigan","1,723","± 70"
"Dearborn city, Michigan","1,384","± 252"
"Detroit city, Michigan","1,091","± 31"
"Farmington Hills city, Michigan","1,554","± 105"
"Flint city, Michigan","964","± 51"
"Grand Rapids city, Michigan","1,362","± 55"
"Kalamazoo city, Michigan","1,107","± 96"
"Lansing city, Michigan","1,003","± 57"
"Livonia city, Michigan","1,324","± 72"
"Novi city, Michigan","1,696","± 156"
"Rochester Hills city, Michigan","1,710","± 155"
"Southfield city, Michigan","1,388","± 82"
"Sterling Heights city, Michigan","1,443","± 172"
"Troy city, Michigan","1,615","± 117"
"Warren city, Michigan","1,258","± 80"
"Westland city, Michigan","1,202","± 76"
"Wyoming city, Michigan","1,255","± 113"
"Blaine city, Minnesota","1,479","± 109"
"Bloomington city, Minnesota","1,560","± 98"
"Brooklyn Park city, Minnesota","1,279","± 173"
"Duluth city, Minnesota","1,077","± 110"
"Eagan city, Minnesota","1,689","± 70"
"Lakeville city, Minnesota","1,896","± 208"
"Maple Grove city, Minnesota","1,822","± 110"
"Minneapolis city, Minnesota","1,340","± 56"
"Plymouth city, Minnesota","1,907","± 157"
"Rochester city, Minnesota","1,500","± 134"
"St. Cloud city, Minnesota","1,000","± 193"
"St. Paul city, Minnesota","1,247","± 39"
"Woodbury city, Minnesota","2,121","± 144"
"Gulfport city, Mississippi","1,131","± 52"
"Jackson city, Mississippi","1,101","± 66"
"Columbia city, Missouri","1,161","± 58"
"Independence city, Missouri","1,177","± 90"
"Kansas City city, Missouri","1,292","± 37"
"Lee's Summit city, Missouri","1,464","± 127"
"O'Fallon city, Missouri","1,528","± 202"
"St. Charles city, Missouri","1,380","± 103"
"St. Joseph city, Missouri","890","± 53"
"St. Louis city, Missouri","1,044","± 49"
"Springfield city, Missouri","1,007","± 35"
"Billings city, Montana","1,182","± 132"
"Missoula city, Montana","1,331","± 70"
"Lincoln city, Nebraska","1,122","± 35"
"Omaha city, Nebraska","1,229","± 32"
"Enterprise CDP, Nevada","2,090","± 93"
"Henderson city, Nevada","1,863","± 55"
"Las Vegas city, Nevada","1,688","± 36"
"North Las Vegas city, Nevada","1,902","± 82"
"Paradise CDP, Nevada","1,419","± 47"
"Reno city, Nevada","1,654","± 47"
"Sparks city, Nevada","1,781","± 130"
"Spring Valley CDP, Nevada","1,814","± 44"
"Sunrise Manor CDP, Nevada","1,579","± 63"
"Manchester city, New Hampshire","1,705","± 79"
"Nashua city, New Hampshire","1,772","± 110"
"Bayonne city, New Jersey","1,799","± 118"
"Camden city, New Jersey","1,284","± 114"
"Clifton city, New Jersey","1,774","± 209"
"East Orange city, New Jersey","1,446","± 116"
"Elizabeth city, New Jersey","1,632","± 99"
"Jersey City city, New Jersey","2,182","± 104"
"Lakewood CDP, New Jersey","1,763","± 134"
"Newark city, New Jersey","1,475","± 69"
"Passaic city, New Jersey","1,586","± 86"
"Paterson city, New Jersey","1,650","± 53"
"Toms River CDP, New Jersey","1,855","± 190"
"Trenton city, New Jersey","1,390","± 119"
"Union City city, New Jersey","1,593","± 84"
"Albuquerque city, New Mexico","1,227","± 46"
"Las Cruces city, New Mexico","1,121","± 135"
"Rio Rancho city, New Mexico","1,479","± 193"
"Santa Fe city, New Mexico","1,693","± 108"
"Albany city, New York","1,317","± 106"
"Buffalo city, New York","1,142","± 38"
"Cheektowaga CDP, New York","1,113","± 60"
"Mount Vernon city, New York","1,735","± 75"
"New Rochelle city, New York","1,972","± 161"
"New York city, New York","1,811","± 12"
"Rochester city, New York","1,090","± 52"
"Schenectady city, New York","1,212","± 81"
"Syracuse city, New York","1,081","± 39"
"Yonkers city, New York","1,789","± 74"
"Apex town, North Carolina","2,038","± 156"
"Asheville city, North Carolina","1,611","± 93"
"Cary town, North Carolina","1,820","± 58"
"Charlotte city, North Carolina","1,720","± 28"
"Concord city, North Carolina","1,596","± 129"
"Durham city, North Carolina","1,670","± 39"
"Fayetteville city, North Carolina","1,372","± 33"
"Gastonia city, North Carolina","1,362","± 81"
"Greensboro city, North Carolina","1,314","± 51"
"Greenville city, North Carolina","1,000","± 76"
"High Point city, North Carolina","1,199","± 80"
"Huntersville town, North Carolina","1,870","± 139"
"Jacksonville city, North Carolina","1,398","± 62"
"Raleigh city, North Carolina","1,661","± 41"
"Wilmington city, North Carolina","1,541","± 81"
"Winston-Salem city, North Carolina","1,271","± 69"
"Bismarck city, North Dakota","928","± 186"
"Fargo city, North Dakota","976","± 38"
"Akron city, Ohio","968","± 41"
"Canton city, Ohio","844","± 49"
"Cincinnati city, Ohio","1,115","± 37"
"Cleveland city, Ohio","961","± 35"
"Columbus city, Ohio","1,383","± 20"
"Dayton city, Ohio","1,042","± 57"
"Lorain city, Ohio","1,004","± 78"
"Parma city, Ohio","1,090","± 60"
"Toledo city, Ohio","908","± 42"
"Broken Arrow city, Oklahoma","1,367","± 40"
"Edmond city, Oklahoma","1,276","± 113"
"Lawton city, Oklahoma","999","± 36"
"Norman city, Oklahoma","1,090","± 50"
"Oklahoma City city, Oklahoma","1,178","± 27"
"Tulsa city, Oklahoma","1,099","± 20"
"Beaverton city, Oregon","1,934","± 80"
"Bend city, Oregon","1,962","± 131"
"Eugene city, Oregon","1,492","± 82"
"Gresham city, Oregon","1,638","± 61"
"Hillsboro city, Oregon","1,965","± 89"
"Medford city, Oregon","1,393","± 68"
"Portland city, Oregon","1,648","± 34"
"Salem city, Oregon","1,507","± 84"
"Allentown city, Pennsylvania","1,391","± 79"
"Bethlehem city, Pennsylvania","1,520","± 132"
"Erie city, Pennsylvania","808","± 54"
"Philadelphia city, Pennsylvania","1,500","± 39"
"Pittsburgh city, Pennsylvania","1,304","± 59"
"Reading city, Pennsylvania","1,119","± 101"
"Scranton city, Pennsylvania","1,102","± 74"
"Cranston city, Rhode Island","1,458","± 206"
"Pawtucket city, Rhode Island","1,229","± 91"
"Providence city, Rhode Island","1,429","± 117"
"Warwick city, Rhode Island","1,499","± 375"
"Charleston city, South Carolina","1,887","± 86"
"Columbia city, South Carolina","1,249","± 99"
"Greenville city, South Carolina","1,404","± 90"
"Mount Pleasant town, South Carolina","2,271","± 365"
"North Charleston city, South Carolina","1,519","± 105"
"Rock Hill city, South Carolina","1,421","± 104"
"Rapid City city, South Dakota","1,210","± 115"
"Sioux Falls city, South Dakota","1,105","± 47"
"Chattanooga city, Tennessee","1,396","± 49"
"Clarksville city, Tennessee","1,356","± 65"
"Franklin city, Tennessee","2,111","± 106"
"Jackson city, Tennessee","1,316","± 130"
"Johnson City city, Tennessee","1,107","± 84"
"Knoxville city, Tennessee","1,289","± 74"
"Memphis city, Tennessee","1,263","± 31"
"Murfreesboro city, Tennessee","1,680","± 86"
"Nashville-Davidson metropolitan government (balance), Tennessee","1,669","± 40"
"Abilene city, Texas","1,208","± 59"
"Allen city, Texas","2,046","± 168"
"Amarillo city, Texas","1,123","± 54"
"Arlington city, Texas","1,594","± 53"
"Atascocita CDP, Texas","1,518","± 243"
"Austin city, Texas","1,770","± 25"
"Baytown city, Texas","1,354","± 102"
"Beaumont city, Texas","1,230","± 87"
"Brownsville city, Texas","982","± 73"
"Bryan city, Texas","1,217","± 70"
"Carrollton city, Texas","1,828","± 76"
"Cedar Park city, Texas","1,921","± 137"
"College Station city, Texas","1,223","± 92"
"Conroe city, Texas","1,435","± 50"
"Corpus Christi city, Texas","1,269","± 69"
"Dallas city, Texas","1,599","± 34"
"Denton city, Texas","1,568","± 94"
"Edinburg city, Texas","1,086","± 63"
"El Paso city, Texas","1,066","± 40"
"Flower Mound town, Texas","2,236","± 229"
"Fort Worth city, Texas","1,630","± 39"
"Frisco city, Texas","2,200","± 146"
"Garland city, Texas","1,679","± 58"
"Georgetown city, Texas","1,787","± 80"
"Grand Prairie city, Texas","1,744","± 60"
"Harlingen city, Texas","1,043","± 114"
"Houston city, Texas","1,408","± 17"
"Irving city, Texas","1,734","± 48"
"Killeen city, Texas","1,225","± 56"
"Kyle city, Texas","1,863","± 131"
"Laredo city, Texas","1,062","± 69"
"League City city, Texas","1,594","± 155"
"Leander city, Texas","2,087","± 145"
"Lewisville city, Texas","1,746","± 42"
"Longview city, Texas","1,185","± 74"
"Lubbock city, Texas","1,236","± 55"
"McAllen city, Texas","970","± 36"
"McKinney city, Texas","1,900","± 75"
"Mansfield city, Texas","2,033","± 204"
"Mesquite city, Texas","1,604","± 109"
"Midland city, Texas","1,632","± 145"
"Mission city, Texas","1,026","± 103"
"Missouri City city, Texas","2,025","± 187"
"New Braunfels city, Texas","1,682","± 91"
"North Richland Hills city, Texas","1,770","± 100"
"Odessa city, Texas","1,384","± 79"
"Pasadena city, Texas","1,170","± 53"
"Pearland city, Texas","1,892","± 134"
"Pflugerville city, Texas","2,135","± 288"
"Pharr city, Texas","935","± 74"
"Plano city, Texas","1,904","± 54"
"Richardson city, Texas","1,897","± 81"
"Round Rock city, Texas","1,826","± 84"
"Rowlett city, Texas","1,919","± 158"
"San Angelo city, Texas","1,201","± 92"
"San Antonio city, Texas","1,389","± 25"
"San Marcos city, Texas","1,285","± 89"
"Spring CDP, Texas","1,684","± 86"
"Sugar Land city, Texas","2,182","± 219"
"Temple city, Texas","1,324","± 104"
"The Woodlands CDP, Texas","1,918","± 133"
"Tyler city, Texas","1,291","± 104"
"Victoria city, Texas","1,123","± 90"
"Waco city, Texas","1,254","± 101"
"Wichita Falls city, Texas","1,083","± 68"
"Layton city, Utah","1,601","± 205"
"Lehi city, Utah","2,037","± 157"
"Ogden city, Utah","1,479","± 113"
"Orem city, Utah","1,416","± 106"
"Provo city, Utah","1,255","± 127"
"St. George city, Utah","1,691","± 151"
"Salt Lake City city, Utah","1,440","± 49"
"Sandy city, Utah","1,731","± 88"
"South Jordan city, Utah","2,293","± 148"
"West Jordan city, Utah","1,818","± 160"
"West Valley City city, Utah","1,545","± 136"
"Alexandria city, Virginia","2,110","± 78"
"Arlington CDP, Virginia","2,347","± 54"
"Centreville CDP, Virginia","2,309","± 151"
"Chesapeake city, Virginia","1,630","± 77"
"Dale City CDP, Virginia","1,850","± 211"
"Hampton city, Virginia","1,521","± 88"
"Lynchburg city, Virginia","1,162","± 74"
"Newport News city, Virginia","1,437","± 38"
"Norfolk city, Virginia","1,417","± 63"
"Portsmouth city, Virginia","1,282","± 89"
"Reston CDP, Virginia","2,387","± 186"
"Richmond city, Virginia","1,451","± 49"
"Roanoke city, Virginia","1,043","± 130"
"Suffolk city, Virginia","1,660","± 111"
"Virginia Beach city, Virginia","1,753","± 38"
"Auburn city, Washington","1,785","± 122"
"Bellevue city, Washington","2,496","± 104"
"Bellingham city, Washington","1,587","± 114"
"Everett city, Washington","1,838","± 113"
"Federal Way city, Washington","1,907","± 128"
"Kennewick city, Washington","1,280","± 92"
"Kent city, Washington","1,991","± 107"
"Kirkland city, Washington","2,412","± 133"
"Marysville city, Washington","2,033","± 200"
"Pasco city, Washington","1,377","± 159"
"Redmond city, Washington","2,396","± 101"
"Renton city, Washington","2,096","± 135"
"Sammamish city, Washington","3,200","± 375"
"Seattle city, Washington","2,007","± 55"
"Shoreline city, Washington","1,907","± 153"
"South Hill CDP, Washington","2,374","± 193"
"Spokane city, Washington","1,341","± 59"
"Spokane Valley city, Washington","1,573","± 96"
"Tacoma city, Washington","1,723","± 47"
"Vancouver city, Washington","1,767","± 43"
"Yakima city, Washington","1,101","± 87"
"Appleton city, Wisconsin","1,210","± 94"
"Eau Claire city, Wisconsin","1,196","± 58"
"Green Bay city, Wisconsin","1,013","± 78"
"Janesville city, Wisconsin","993","± 122"
"Kenosha city, Wisconsin","1,263","± 79"
"Madison city, Wisconsin","1,484","± 37"
"Milwaukee city, Wisconsin","1,081","± 25"
"Oshkosh city, Wisconsin","995","± 72"
"Racine city, Wisconsin","1,215","± 105"
"Waukesha city, Wisconsin","1,232","± 95"
"Cheyenne city, Wyoming","1,178","± 81"
"Bayamón zona urbana, Puerto Rico","733","± 59"
"Caguas zona urbana, Puerto Rico","642","± 194"
"Carolina zona urbana, Puerto Rico","665","± 61"
