Region,"Median value (dollars)","MoE"
"Columbia, MO Metro Area","242,500","± 4,992"
"Columbia, SC Metro Area","213,400","± 2,579"
"Columbus, GA-AL Metro Area","184,900","± 4,301"
"Columbus, IN Metro Area","221,100","± 8,046"
"Columbus, OH Metro Area","274,300","± 1,647"
"Corpus Christi, TX Metro Area","195,400","± 3,288"
"Corvallis, OR Metro Area","481,700","± 10,022"
"Crestview-Fort Walton Beach-Destin, FL Metro Area","333,800","± 7,168"
"Dallas-Fort Worth-Arlington, TX Metro Area","330,300","± 1,213"
"Dalton, GA Metro Area","190,800","± 5,576"
"Daphne-Fairhope-Foley, AL Metro Area","287,000","± 6,910"
"Davenport-Moline-Rock Island, IA-IL Metro Area","170,000","± 2,447"
"Dayton-Kettering-Beavercreek, OH Metro Area","186,200","± 2,148"
"Decatur, AL Metro Area","185,000","± 5,261"
"Decatur, IL Metro Area","121,800","± 3,571"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","287,200","± 3,106"
"Denver-Aurora-Centennial, CO Metro Area","570,300","± 2,129"
"Des Moines-West Des Moines, IA Metro Area","252,400","± 3,032"
"Detroit-Warren-Dearborn, MI Metro Area","237,100","± 1,122"
"Dothan, AL Metro Area","163,700","± 4,059"
"Dover, DE Metro Area","290,600","± 5,081"
"Dubuque, IA Metro Area","226,100","± 4,218"
"Duluth, MN-WI Metro Area","208,900","± 2,988"
"Durham-Chapel Hill, NC Metro Area","359,400","± 4,563"
"Eagle Pass, TX Metro Area","151,500","± 11,883"
"Eau Claire, WI Metro Area","240,700","± 4,373"
"El Centro, CA Metro Area","279,500","± 8,144"
"Elizabethtown, KY Metro Area","201,100","± 6,924"
"Elkhart-Goshen, IN Metro Area","194,400","± 5,317"
"Elmira, NY Metro Area","132,100","± 5,852"
"El Paso, TX Metro Area","167,000","± 2,002"
"Enid, OK Metro Area","149,800","± 7,595"
"Erie, PA Metro Area","169,500","± 3,756"
"Eugene-Springfield, OR Metro Area","395,800","± 5,054"
"Evansville, IN Metro Area","190,800","± 3,607"
"Fairbanks-College, AK Metro Area","282,500","± 8,291"
"Fargo, ND-MN Metro Area","276,600","± 5,105"
"Farmington, NM Metro Area","185,100","± 4,661"
"Fayetteville, NC Metro Area","185,900","± 3,200"
"Fayetteville-Springdale-Rogers, AR Metro Area","273,400","± 4,200"
"Flagstaff, AZ Metro Area","413,200","± 16,076"
"Flint, MI Metro Area","172,900","± 3,112"
"Florence, SC Metro Area","158,800","± 5,459"
"Florence-Muscle Shoals, AL Metro Area","175,800","± 5,297"
"Fond du Lac, WI Metro Area","209,800","± 5,504"
"Fort Collins-Loveland, CO Metro Area","532,200","± 7,010"
"Fort Smith, AR-OK Metro Area","160,100","± 4,013"
"Fort Wayne, IN Metro Area","194,000","± 2,602"
"Fresno, CA Metro Area","363,300","± 2,856"
"Gadsden, AL Metro Area","160,600","± 4,895"
"Gainesville, FL Metro Area","245,800","± 5,291"
"Gainesville, GA Metro Area","313,600","± 8,352"
"Gettysburg, PA Metro Area","256,100","± 4,794"
"Glens Falls, NY Metro Area","218,600","± 4,343"
"Goldsboro, NC Metro Area","162,700","± 7,415"
"Grand Forks, ND-MN Metro Area","232,900","± 4,336"
"Grand Island, NE Metro Area","201,600","± 5,997"
"Grand Junction, CO Metro Area","349,400","± 6,475"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","261,600","± 2,411"
"Grants Pass, OR Metro Area","383,100","± 9,807"
"Great Falls, MT Metro Area","243,300","± 4,953"
"Greeley, CO Metro Area","444,500","± 4,176"
"Green Bay, WI Metro Area","238,700","± 2,923"
"Greensboro-High Point, NC Metro Area","207,600","± 2,894"
"Greenville, NC Metro Area","194,300","± 6,747"
"Greenville-Anderson-Greer, SC Metro Area","242,700","± 2,423"
"Guayama, PR Metro Area","97,900","± 2,955"
"Gulfport-Biloxi, MS Metro Area","192,000","± 3,278"
"Hagerstown-Martinsburg, MD-WV Metro Area","258,300","± 4,042"
"Hammond, LA Metro Area","204,600","± 7,651"
"Hanford-Corcoran, CA Metro Area","305,700","± 8,567"
"Harrisburg-Carlisle, PA Metro Area","239,100","± 2,274"
"Harrisonburg, VA Metro Area","284,800","± 6,007"
"Hartford-West Hartford-East Hartford, CT Metro Area","309,300","± 2,730"
"Hattiesburg, MS Metro Area","182,400","± 5,631"
"Helena, MT Metro Area","363,400","± 8,390"
"Hickory-Lenoir-Morganton, NC Metro Area","193,400","± 3,807"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","393,100","± 8,455"
"Hinesville, GA Metro Area","183,500","± 7,939"
"Homosassa Springs, FL Metro Area","223,200","± 5,572"
"Hot Springs, AR Metro Area","176,400","± 7,178"
"Houma-Bayou Cane-Thibodaux, LA Metro Area","189,900","± 4,657"
"Houston-Pasadena-The Woodlands, TX Metro Area","275,200","± 1,283"
"Huntington-Ashland, WV-KY-OH Metro Area","149,000","± 3,686"
"Huntsville, AL Metro Area","265,000","± 4,853"
"Idaho Falls, ID Metro Area","325,000","± 6,752"
"Indianapolis-Carmel-Greenwood, IN Metro Area","244,000","± 1,676"
"Iowa City, IA Metro Area","280,400","± 5,503"
"Ithaca, NY Metro Area","271,500","± 11,485"
"Jackson, MI Metro Area","182,900","± 4,220"
"Jackson, MS Metro Area","188,500","± 3,737"
"Jackson, TN Metro Area","168,600","± 4,488"
"Jacksonville, FL Metro Area","308,900","± 3,636"
"Jacksonville, NC Metro Area","219,500","± 4,806"
"Janesville-Beloit, WI Metro Area","215,900","± 3,496"
"Jefferson City, MO Metro Area","203,900","± 4,995"
"Johnson City, TN Metro Area","199,100","± 5,055"
"Johnstown, PA Metro Area","115,900","± 3,087"
"Jonesboro, AR Metro Area","181,200","± 6,069"
"Joplin, MO-KS Metro Area","157,000","± 3,790"
"Kahului-Wailuku, HI Metro Area","858,600","± 11,062"
"Kalamazoo-Portage, MI Metro Area","227,500","± 3,058"
"Kankakee, IL Metro Area","185,700","± 4,393"
"Kansas City, MO-KS Metro Area","265,400","± 1,712"
"Kennewick-Richland, WA Metro Area","362,200","± 5,163"
"Kenosha, WI Metro Area","247,800","± 4,931"
"Killeen-Temple, TX Metro Area","215,000","± 3,668"
"Kingsport-Bristol, TN-VA Metro Area","182,500","± 3,006"
"Kingston, NY Metro Area","315,100","± 8,636"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","364,400","± 3,230"
"Knoxville, TN Metro Area","255,300","± 3,104"
"Kokomo, IN Metro Area","151,500","± 5,713"
"La Crosse-Onalaska, WI-MN Metro Area","235,300","± 3,879"
"Lafayette, LA Metro Area","206,900","± 3,876"
"Lafayette-West Lafayette, IN Metro Area","204,300","± 4,404"
"Lake Charles, LA Metro Area","198,900","± 5,360"
"Lake Havasu City-Kingman, AZ Metro Area","253,200","± 7,812"
"Lakeland-Winter Haven, FL Metro Area","240,000","± 2,999"
"Lancaster, PA Metro Area","279,400","± 2,570"
"Lansing-East Lansing, MI Metro Area","205,400","± 2,402"
"Laredo, TX Metro Area","178,900","± 3,461"
"Las Cruces, NM Metro Area","205,400","± 5,080"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","400,800","± 2,487"
"Lawrence, KS Metro Area","281,600","± 10,320"
"Lawton, OK Metro Area","151,500","± 5,607"
"Lebanon, PA Metro Area","227,300","± 4,031"
"Lewiston, ID-WA Metro Area","289,400","± 8,290"
"Lewiston-Auburn, ME Metro Area","232,000","± 5,152"
"Lexington-Fayette, KY Metro Area","258,900","± 4,047"
"Lexington Park, MD Metro Area","414,100","± 7,676"
"Lima, OH Metro Area","158,400","± 4,045"
"Lincoln, NE Metro Area","257,500","± 3,502"
"Little Rock-North Little Rock-Conway, AR Metro Area","199,300","± 3,158"
"Logan, UT-ID Metro Area","386,700","± 7,303"
"Longview, TX Metro Area","178,200","± 3,768"
"Longview-Kelso, WA Metro Area","367,400","± 8,425"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","825,300","± 2,278"
"Louisville/Jefferson County, KY-IN Metro Area","236,400","± 1,890"
"Lubbock, TX Metro Area","188,700","± 3,914"
"Lynchburg, VA Metro Area","224,600","± 3,847"
"Macon-Bibb County, GA Metro Area","172,300","± 4,998"
"Madison, WI Metro Area","344,600","± 3,285"
"Manchester-Nashua, NH Metro Area","385,500","± 4,556"
"Manhattan, KS Metro Area","212,600","± 6,917"
"Mankato, MN Metro Area","255,000","± 5,010"
"Mansfield, OH Metro Area","154,000","± 5,070"
"Mayagüez, PR Metro Area","108,900","± 2,075"
"McAllen-Edinburg-Mission, TX Metro Area","124,000","± 2,423"
"Medford, OR Metro Area","400,200","± 7,188"
"Memphis, TN-MS-AR Metro Area","228,100","± 2,631"
"Merced, CA Metro Area","368,400","± 6,118"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","405,600","± 2,230"
"Michigan City-La Porte, IN Metro Area","180,700","± 4,983"
"Midland, MI Metro Area","184,300","± 5,068"
"Midland, TX Metro Area","290,300","± 6,927"
"Milwaukee-Waukesha, WI Metro Area","283,800","± 1,819"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","354,400","± 1,011"
"Minot, ND Metro Area","247,900","± 6,556"
"Missoula, MT Metro Area","417,300","± 12,281"
"Mobile, AL Metro Area","176,600","± 3,645"
"Modesto, CA Metro Area","426,600","± 3,443"
"Monroe, LA Metro Area","163,000","± 4,410"
"Monroe, MI Metro Area","215,700","± 4,617"
"Montgomery, AL Metro Area","181,400","± 3,241"
"Morgantown, WV Metro Area","226,800","± 5,655"
"Morristown, TN Metro Area","198,000","± 6,385"
"Mount Vernon-Anacortes, WA Metro Area","486,200","± 7,623"
"Muncie, IN Metro Area","127,600","± 4,570"
"Muskegon-Norton Shores, MI Metro Area","180,900","± 3,836"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","260,500","± 4,930"
"Napa, CA Metro Area","838,800","± 12,579"
"Naples-Marco Island, FL Metro Area","486,800","± 8,758"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","376,800","± 2,010"
"New Haven, CT Metro Area","328,300","± 4,087"
"New Orleans-Metairie, LA Metro Area","248,000","± 2,229"
"New York-Newark-Jersey City, NY-NJ Metro Area","587,400","± 1,207"
"Niles, MI Metro Area","211,400","± 3,842"
"North Port-Bradenton-Sarasota, FL Metro Area","367,700","± 3,402"
"Norwich-New London-Willimantic, CT Metro Area","293,900","± 4,051"
"Ocala, FL Metro Area","220,800","± 4,313"
"Odessa, TX Metro Area","190,500","± 8,396"
"Ogden, UT Metro Area","437,700","± 3,249"
"Oklahoma City, OK Metro Area","214,700","± 1,943"
"Olympia-Lacey-Tumwater, WA Metro Area","451,500","± 5,096"
"Omaha, NE-IA Metro Area","248,100","± 1,805"
"Orlando-Kissimmee-Sanford, FL Metro Area","338,500","± 2,337"
"Oshkosh-Neenah, WI Metro Area","208,600","± 4,601"
"Owensboro, KY Metro Area","182,100","± 4,789"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","768,400","± 6,230"
"Paducah, KY-IL Metro Area","160,500","± 6,546"
"Palm Bay-Melbourne-Titusville, FL Metro Area","304,400","± 4,914"
"Panama City-Panama City Beach, FL Metro Area","263,500","± 6,549"
"Parkersburg-Vienna, WV Metro Area","151,600","± 6,105"
"Pensacola-Ferry Pass-Brent, FL Metro Area","260,500","± 4,648"
"Peoria, IL Metro Area","160,500","± 2,499"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","326,700","± 1,400"
"Phoenix-Mesa-Chandler, AZ Metro Area","401,400","± 1,981"
"Pinehurst-Southern Pines, NC Metro Area","315,300","± 11,354"
"Pittsburgh, PA Metro Area","204,500","± 1,294"
"Pittsfield, MA Metro Area","283,800","± 5,711"
"Pocatello, ID Metro Area","267,200","± 7,349"
"Ponce, PR Metro Area","103,100","± 1,479"
"Portland-South Portland, ME Metro Area","379,500","± 4,241"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","526,500","± 3,299"
"Port St. Lucie, FL Metro Area","325,300","± 5,304"
"Prescott Valley-Prescott, AZ Metro Area","392,900","± 7,576"
"Providence-Warwick, RI-MA Metro Area","385,900","± 2,419"
"Provo-Orem-Lehi, UT Metro Area","487,200","± 3,578"
"Pueblo, CO Metro Area","271,800","± 5,598"
"Punta Gorda, FL Metro Area","291,000","± 5,597"
"Racine-Mount Pleasant, WI Metro Area","239,400","± 5,472"
"Raleigh-Cary, NC Metro Area","381,000","± 3,041"
"Rapid City, SD Metro Area","274,200","± 5,178"
"Reading, PA Metro Area","239,700","± 2,406"
"Redding, CA Metro Area","347,200","± 6,603"
"Reno, NV Metro Area","474,000","± 5,047"
"Richmond, VA Metro Area","325,800","± 2,471"
"Riverside-San Bernardino-Ontario, CA Metro Area","493,600","± 2,115"
"Roanoke, VA Metro Area","236,300","± 3,758"
"Rochester, MN Metro Area","284,600","± 3,554"
"Rochester, NY Metro Area","190,100","± 1,336"
"Rockford, IL Metro Area","162,600","± 2,119"
"Rocky Mount, NC Metro Area","153,000","± 5,212"
"Rome, GA Metro Area","194,100","± 8,956"
"Sacramento-Roseville-Folsom, CA Metro Area","559,000","± 2,628"
"Saginaw, MI Metro Area","139,400","± 3,790"
"St. Cloud, MN Metro Area","254,200","± 4,399"
"St. George, UT Metro Area","465,600","± 8,433"
"St. Joseph, MO-KS Metro Area","162,100","± 5,391"
"St. Louis, MO-IL Metro Area","232,100","± 1,247"
"Salem, OR Metro Area","389,800","± 4,360"
"Salinas, CA Metro Area","723,100","± 10,176"
"Salisbury, MD Metro Area","228,300","± 5,149"
"Salt Lake City-Murray, UT Metro Area","478,200","± 2,724"
"San Angelo, TX Metro Area","186,300","± 5,122"
"San Antonio-New Braunfels, TX Metro Area","258,700","± 1,785"
"San Diego-Chula Vista-Carlsbad, CA Metro Area","791,600","± 4,893"
"Sandusky, OH Metro Area","189,400","± 3,812"
"San Francisco-Oakland-Fremont, CA Metro Area","1,113,800","± 4,329"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","1,342,700","± 14,716"
"San Juan-Bayamón-Caguas, PR Metro Area","138,700","± 781"
"San Luis Obispo-Paso Robles, CA Metro Area","777,200","± 13,684"
"Santa Cruz-Watsonville, CA Metro Area","1,015,200","± 15,187"
"Santa Fe, NM Metro Area","416,900","± 9,394"
"Santa Maria-Santa Barbara, CA Metro Area","735,700","± 11,340"
"Santa Rosa-Petaluma, CA Metro Area","779,000","± 8,876"
"Savannah, GA Metro Area","271,100","± 5,132"
"Scranton--Wilkes-Barre, PA Metro Area","176,500","± 2,393"
"Seattle-Tacoma-Bellevue, WA Metro Area","673,500","± 2,926"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","314,700","± 8,549"
"Sebring, FL Metro Area","177,900","± 7,281"
"Sheboygan, WI Metro Area","218,400","± 4,278"
"Sherman-Denison, TX Metro Area","228,300","± 8,150"
"Shreveport-Bossier City, LA Metro Area","187,300","± 3,718"
"Sierra Vista-Douglas, AZ Metro Area","207,400","± 5,633"
"Sioux City, IA-NE-SD Metro Area","179,100","± 3,268"
"Sioux Falls, SD-MN Metro Area","274,800","± 3,933"
"Slidell-Mandeville-Covington, LA Metro Area","272,200","± 4,773"
"South Bend-Mishawaka, IN-MI Metro Area","183,800","± 2,817"
"Spartanburg, SC Metro Area","207,900","± 3,554"
"Spokane-Spokane Valley, WA Metro Area","365,700","± 3,389"
"Springfield, IL Metro Area","171,100","± 3,140"
"Springfield, MA Metro Area","276,300","± 2,749"
"Springfield, MO Metro Area","213,400","± 3,055"
"Springfield, OH Metro Area","155,900","± 4,045"
"State College, PA Metro Area","308,100","± 8,257"
"Staunton-Stuarts Draft, VA Metro Area","264,400","± 5,349"
"Stockton-Lodi, CA Metro Area","494,500","± 4,724"
"Sumter, SC Metro Area","159,500","± 8,380"
"Syracuse, NY Metro Area","175,300","± 2,099"
"Tallahassee, FL Metro Area","249,900","± 4,547"
"Tampa-St. Petersburg-Clearwater, FL Metro Area","306,100","± 2,535"
"Terre Haute, IN Metro Area","132,000","± 3,142"
"Texarkana, TX-AR Metro Area","150,800","± 7,228"
"Toledo, OH Metro Area","168,500","± 2,084"
"Topeka, KS Metro Area","172,200","± 3,715"
"Traverse City, MI Metro Area","286,500","± 5,294"
"Trenton-Princeton, NJ Metro Area","351,000","± 6,540"
"Tucson, AZ Metro Area","286,900","± 2,794"
"Tulsa, OK Metro Area","204,400","± 1,957"
"Tuscaloosa, AL Metro Area","217,100","± 4,322"
"Twin Falls, ID Metro Area","284,200","± 7,549"
"Tyler, TX Metro Area","220,800","± 6,036"
"Urban Honolulu, HI Metro Area","873,000","± 6,770"
"Utica-Rome, NY Metro Area","163,400","± 2,953"
"Valdosta, GA Metro Area","182,300","± 6,065"
"Vallejo, CA Metro Area","589,600","± 5,068"
"Victoria, TX Metro Area","196,500","± 8,073"
"Vineland, NJ Metro Area","205,600","± 4,394"
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","318,000","± 2,137"
"Visalia, CA Metro Area","303,000","± 6,300"
"Waco, TX Metro Area","209,600","± 4,974"
"Walla Walla, WA Metro Area","375,600","± 12,697"
"Warner Robins, GA Metro Area","202,800","± 6,557"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","553,000","± 2,118"
"Waterbury-Shelton, CT Metro Area","290,800","± 3,734"
"Waterloo-Cedar Falls, IA Metro Area","186,100","± 3,106"
"Watertown-Fort Drum, NY Metro Area","181,000","± 4,352"
"Wausau, WI Metro Area","205,500","± 4,043"
"Weirton-Steubenville, WV-OH Metro Area","121,400","± 2,808"
"Wenatchee-East Wenatchee, WA Metro Area","434,900","± 10,626"
"Wheeling, WV-OH Metro Area","149,300","± 4,402"
"Wichita, KS Metro Area","188,200","± 2,384"
"Wichita Falls, TX Metro Area","144,700","± 4,531"
"Wildwood-The Villages, FL Metro Area","356,000","± 8,554"
"Williamsport, PA Metro Area","195,600","± 4,291"
"Wilmington, NC Metro Area","328,000","± 5,263"
"Winchester, VA-WV Metro Area","322,600","± 7,965"
"Winston-Salem, NC Metro Area","213,300","± 3,145"
"Worcester, MA Metro Area","390,700","± 3,366"
"Yakima, WA Metro Area","281,100","± 6,099"
"York-Hanover, PA Metro Area","235,000","± 2,604"
"Youngstown-Warren, OH Metro Area","134,600","± 2,366"
"Yuba City, CA Metro Area","390,800","± 8,168"
"Yuma, AZ Metro Area","195,700","± 4,050"
